name,id,datasource,data_source_categories,datamodel,datasource_macro,sourcetype,search,journey,category,killchain,usecase
Credential Dumping via Symlink to Shadow Copy,detection_cred_dump_via_symlink_shadowcopy,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Adversary Tactics|,Actions On Objectives,Advanced Threat Detection
Web Servers Executing Suspicious Processes,detection_web_servers_executing_suspicious_processes,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_4,Web Attack,Actions On Objectives,Application Security
Create Remote Thread into LSASS,detection_create_remote_thread_into_lsass,Windows Security,VendorSpecific-winsec,,,,,Stage_1,Adversary Tactics|,Actions On Objectives,Advanced Threat Detection
Access LSASS Memory for Dump Creation,detection_access_lsass_memory_for_dump_creation,Windows Security,VendorSpecific-winsec,,,,,Stage_1,Adversary Tactics|,Actions On Objectives,Advanced Threat Detection
Processes launching netsh,detection_process_launching_netsh,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Abuse,Actions On Objectives,Other
Attempted Credential Dump From Registry via Reg.exe,detection_attempted_credential_dump_from_registry_via_reg,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Adversary Tactics|,Actions On Objectives,Advanced Threat Detection
WMI Temporary Event Subscription,detection_wmi_temp_event_subscription,Windows Security,VendorSpecific-winsec,,,,,Stage_1,Adversary Tactics|,Actions On Objectives,Advanced Threat Detection
Detect processes used for System Network Configuration Discovery,detection_sncd_processes,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Malware|,Installation|Command and Control|Actions On Objectives,Security Monitoring
Suspicious Changes to File Associations,detection_change_file_association,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange|DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Malware,Actions On Objectives,Security Monitoring
Disabling Remote User Account Control,detection_disable_remote_uac,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_3,Endpoint Compromise,Actions On Objectives,Advanced Threat Detection
Shim Database Installation With Suspicious Parameters,detection_shim_database_installation,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Endpoint Compromise,Actions On Objectives,Advanced Threat Detection
Suspicious LNK file launching a process,detection_lnk_executing_a_process,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Adversary Tactics|,Installation|Actions On Objectives,Advanced Threat Detection
Samsam Test File Write,detection_samsam_test_file_write,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_3,Malware|,Delivery,Security Monitoring
Monitor Registry Keys for Print Monitors,detection_port_monitor_via_registry,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_3,Endpoint Compromise,Actions On Objectives,Advanced Threat Detection
Spectre and Meltdown Vulnerable Systems,detection_spectre_meltdown_vulnerabilities,Vulnerability Detection,DS018VulnerabilityDetection-ET01SigDetected,,,,,Stage_4,Vulnerability,None,Security Monitoring
Registry Keys for Creating SHIM Databases,detection_malicious_application_shimming_via_registry,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_3,Endpoint Compromise,Actions On Objectives,Advanced Threat Detection
Monitor Web Traffic For Brand Abuse,detection_brand_abuse_web,Web Proxy|Web Server,DS014WebServer-ET01Access|DS005WebProxyRequest-ET01Requested,,,,,Stage_3,Operations,Delivery,Security Monitoring
