"CLIENT_IP","CLIENT_NAME","EVENT_TYPE","QUERY_OPERATION","QUERY_TABLE","REQUEST_ID","ROWS_PROCESSED","RUN_TIME","SESSION_KEY","USER_ID","_time"
"185.51.118.240",,Report,,,"ANONREQUEST_18",,353,"ANONKEY_2695",0054000000432CD,"1478014291.646"
"58.252.136.35",,RestApi,,,"ANONREQUEST_19","",69,"",0054000000432CD,"1478014296.517"
"185.51.118.240",,Report,,,"ANONREQUEST_20",,414,"ANONKEY_2695",0054000000432CD,"1478014308.466"
"185.51.118.240",,URI,,,"ANONREQUEST_21",,1448,"ANONKEY_2695",0054000000432CD,"1478014324.584"
"185.51.118.240",,URI,,,"ANONREQUEST_22",,7,"ANONKEY_2695",0054000000432CD,"1478014325.182"
"185.51.118.240",,URI,,,"ANONREQUEST_23",,4,"ANONKEY_4693",0054000000432CD,"1478014325.309"
"185.51.118.240",,URI,,,"ANONREQUEST_24",,17,"ANONKEY_4693",0054000000432CD,"1478014326.019"
"58.252.136.35",,RestApi,,,"ANONREQUEST_25","",53,"",0054000000432CD,"1478015706.790"
,,Logout,,,"",,,"",00540000003zoEc,"1478018721.495"
"213.11.234.207",,Login,,,"ANONREQUEST_26",,197,"",00533000007aBCe,"1478025382.659"
"213.11.234.207",,URI,,,"ANONREQUEST_27",,116,"ANONKEY_930",00533000007aBCe,"1478025383.128"
"213.11.234.207",,URI,,,"ANONREQUEST_28",,45,"ANONKEY_1835",00533000007aBCe,"1478025387.504"
"213.11.234.207",,URI,,,"ANONREQUEST_29",,87,"ANONKEY_3622",00533000007aBCe,"1478025388.994"
"213.11.234.207",,URI,,,"ANONREQUEST_30",,8,"ANONKEY_3622",00533000007aBCe,"1478025391.162"
"213.11.234.207",,URI,,,"ANONREQUEST_31",,18,"ANONKEY_3622",00533000007aBCe,"1478025392.273"
"213.11.234.207",,URI,,,"ANONREQUEST_32",,19,"ANONKEY_3622",00533000007aBCe,"1478025393.006"
"213.11.234.207",,URI,,,"ANONREQUEST_33",,262,"ANONKEY_3026",00533000007aBCe,"1478025394.000"
"213.11.234.207",,URI,,,"ANONREQUEST_34",,387,"ANONKEY_3026",00533000007aBCe,"1478025395.037"
"213.11.234.207",,URI,,,"ANONREQUEST_35",,22,"ANONKEY_3026",00533000007aBCe,"1478025395.040"
"213.11.234.207",,URI,,,"ANONREQUEST_36",,42,"ANONKEY_3026",00533000007aBCe,"1478025395.733"
"213.11.234.207",,URI,,,"ANONREQUEST_37",,86,"ANONKEY_3026",00533000007aBCe,"1478025395.796"
"213.11.234.207",,URI,,,"ANONREQUEST_38",,91,"ANONKEY_3026",00533000007aBCe,"1478025395.848"
"213.11.234.207",,URI,,,"ANONREQUEST_75039",,557,"ANONKEY_3026",00533000007aBCe,"1478025492.689"
