Industry,IndustryAlias
Aerospace,"*aerospace*"
Automotive,"*automotive*"
Automotive,"*automobile*"
Aviation,"*aviation*"
Aviation,"*airline*"
Banking,"*banking*"
Banking,"*bank*"
Biotechnology,"*biotechnology*"
Chemical,"*chemical*"
Chemical,"*chemistry*"
Consulting,"*consulting*"
"Critical Infrastructure","*critical infrastructure*"
"Critical Infrastructure","*water*"
"Critical Infrastructure","*pipeline*"
"Critical Infrastructure","*hydro*"
Defense,"*defense*"
Defense,"*military*"
Education,"*education*"
Education,"*university*"
Education,"*universities*"
Education,"*school*"
Education,"*academic*"
"Electronics And Hardware","*electronics and hardware*"
"Electronics And Hardware","*electronics*"
"Electronics And Hardware","*semiconductor*"
"Electronics And Hardware","*semi-conductor*"
Energy,"*energy*"
Energy,"*power*"
Financial,"*financial*"
Financial,"*investment firm*"
Food,"*food*"
Food,"*restaurant*"
Food,"*hospitality*"
Gambling,"*gambling*"
Government,"*government*"
Government,"*ministries*"
Government,"*ministry*"
Government,"*presidential*"
Government,"*election*"
Healthcare,"*healthcare*"
Healthcare,"*health care*"
Healthcare,"*medical*"
Hospital,"*hospital *"
Hospital,"*healthcare*"
Hospital,"*health care*"
"Human Rights","*human rights*"
"Humanitarian Aid","*humanitarian aid*"
"Information And Communications Technology","*information and communications technology*"
"Information And Communications Technology","*technology*"
"Information And Communications Technology","*high tech*"
"Information And Communications Technology","*high-tech*"
"Legal Services","*legal services*"
"Legal Services","*law*"
Lodging,"*lodging*"
Lodging,"*hotel*"
Lodging,"*travel*"
Lodging,"*hospitality*"
"Logistics And Shipping","*logistics and shipping*"
"Logistics And Shipping","*maritime*"
Manufacturing,"*manufacturing*"
Manufacturing,"*engineering*"
Manufacturing,"*manufacturers*"
Maritime,"*maritime*"
Maritime,"*shipping*"
Media,"*media*"
Media,"*sony*"
Mining,"*mining*"
Nonprofit,"*nonprofit*"
Nonprofit,"*non-government*"
Nonprofit,"*nongovernmental*"
Nonprofit,"*ngos*"
Nuclear,"*nuclear*"
Petroleum,"*petroleum*"
Petroleum,"*oil*"
Pharmaceutical,"*pharmaceutical*"
Research,"*university*"
Research,"*universities*"
Research,"*research institute*"
Retail,"*retail*"
Telecommunications,"*telecommunications*"
Telecommunications,"*telco*"
Telecommunications,"*telecom*"
"Think Tank","*think tank*"
"Think Tank","*trade policy*"
Transportation,"*transportation*"
"Video Game","*video game*"
"Video Game","*gaming*"
Water,"*water*"
Water,"*hydro*"
