data_source,data_source_category,data_source_categories,dsid,eventtypeId,securityDataJourney_data_source,securityDataJourney
Email,Email Access/Open,Email > Email Access/Open,DS001MAIL,DS001MAIL-ET01Access,full email logs,Level_2
Email,Incoming Messages,Email > Incoming Messages,DS001MAIL,DS001MAIL-ET02Receive,full email logs,Level_2
Email,Outgoing Messages,Email > Outgoing Messages,DS001MAIL,DS001MAIL-ET03Send,full email logs,Level_2
DNS,Paired DNS Queries and Responses,DNS > Paired DNS Queries and Responses,DS002DNS,DS002DNS-ET01Query,DNS (external),Level_2
DNS,DNS Queries,DNS > DNS Queries,DS002DNS,DS002DNS-ET01QueryRequest,DNS (external),Level_2
DNS,DNS Responses,DNS > DNS Responses,DS002DNS,DS002DNS-ET01QueryResponse,DNS (external),Level_2
Authentication,Successful Authentication,Authentication > Successful Authentication,DS003Authentication,DS003Authentication-ET01Success,"Directory Servcies (MS-AD, Azure AD, SSO, etc.)",Level_1
Authentication,Successful Default Authentication,Authentication > Successful Default Authentication,DS003Authentication,DS003Authentication-ET01SuccessDefault,"Directory Servcies (MS-AD, Azure AD, SSO, etc.)",Level_1
Authentication,Successful Insecure Authentication,Authentication > Successful Insecure Authentication,DS003Authentication,DS003Authentication-ET01SuccessInsecure,"Directory Servcies (MS-AD, Azure AD, SSO, etc.)",Level_1
Authentication,Failed Authentication,Authentication > Failed Authentication,DS003Authentication,DS003Authentication-ET02Failure,"Directory Servcies (MS-AD, Azure AD, SSO, etc.)",Level_1
Authentication,Authentication with Failed Two Factor,Authentication > Authentication with Failed Two Factor,DS003Authentication,DS003Authentication-ET02FailureBadFactor,"Directory Servcies (MS-AD, Azure AD, SSO, etc.)",Level_1
Authentication,Authentication with an Unknown Failure,Authentication > Authentication with an Unknown Failure,DS003Authentication,DS003Authentication-ET02FailureError,"Directory Servcies (MS-AD, Azure AD, SSO, etc.)",Level_1
Authentication,Authentication Against Unknown Accounts,Authentication > Authentication Against Unknown Accounts,DS003Authentication,DS003Authentication-ET02FailureUnknownAccount,"Directory Servcies (MS-AD, Azure AD, SSO, etc.)",Level_1
Anti-Virus or Anti-Malware,Malware Detected,Anti-Virus or Anti-Malware > Malware Detected,DS004EndPointAntiMalware,DS004EndPointAntiMalware-ET01SigDetected,Anti-Virus,Level_1
Anti-Virus or Anti-Malware,Malware Definition Updates,Anti-Virus or Anti-Malware > Malware Definition Updates,DS004EndPointAntiMalware,DS004EndPointAntiMalware-ET02UpdatedSig,Anti-Virus,Level_1
Anti-Virus or Anti-Malware,Detection Engine Updated,Anti-Virus or Anti-Malware > Detection Engine Updated,DS004EndPointAntiMalware,DS004EndPointAntiMalware-ET03UpdatedEng,Anti-Virus,Level_1
Web Proxy,Proxy Requests,Web Proxy > Proxy Requests,DS005WebProxyRequest,DS005WebProxyRequest-ET01Requested,Firewall (f),Level_2
Web Proxy,Application Awareness,Web Proxy > Application Awareness,DS005WebProxyRequest,DS005WebProxyRequest-ET01RequestedWebAppAware,Firewall (f),Level_2
User Activity Audit,List Activity,User Activity Audit > List Activity,DS006UserActivity,DS006UserActivity-ET01List,Directory Services (+ enrichment),Level_2
User Activity Audit,Read Activity,User Activity Audit > Read Activity,DS006UserActivity,DS006UserActivity-ET02Read,Directory Services (+ enrichment),Level_2
User Activity Audit,Create Activity,User Activity Audit > Create Activity,DS006UserActivity,DS006UserActivity-ET03Create,Directory Services (+ enrichment),Level_2
User Activity Audit,Update Activity,User Activity Audit > Update Activity,DS006UserActivity,DS006UserActivity-ET04Update,Directory Services (+ enrichment),Level_2
User Activity Audit,Delete Activity,User Activity Audit > Delete Activity,DS006UserActivity,DS006UserActivity-ET05Delete,Directory Services (+ enrichment),Level_2
User Activity Audit,Search events,User Activity Audit > Search events,DS006UserActivity,DS006UserActivity-ET06Search,Directory Services (+ enrichment),Level_2
User Activity Audit,Execute As Events,User Activity Audit > Execute As Events,DS006UserActivity,DS006UserActivity-ET07ExecuteAs,Directory Services (+ enrichment),Level_2
Generic Audit Log,Clearing Audit Log,Generic Audit Log > Clearing Audit Log,DS007AuditTrail,DS007AuditTrail-ET01Clear,Audit Trails,Level_2
Generic Audit Log,Altering Audit Log,Generic Audit Log > Altering Audit Log,DS007AuditTrail,DS007AuditTrail-ET02Alter,Audit Trails,Level_2
Generic Audit Log,Time Sync Events,Generic Audit Log > Time Sync Events,DS007AuditTrail,DS007AuditTrail-ET03TimeSync,Audit Trails,Level_2
HR System,Joined Users,HR System > Joined Users,DS008HRMasterData,DS008HRMasterData-ET01Joined,Identity Data HR Data (Service/NHA/Admin/etc),Level_3
HR System,Separation Notice Given,HR System > Separation Notice Given,DS008HRMasterData,DS008HRMasterData-ET02SeparationNotice,Identity Data HR Data (Service/NHA/Admin/etc),Level_3
HR System,Immediate Separate Events,HR System > Immediate Separate Events,DS008HRMasterData,DS008HRMasterData-ET03SeperationImmediate,Identity Data HR Data (Service/NHA/Admin/etc),Level_3
HR System,Identity Record,HR System > Identity Record,DS008HRMasterData,DS008HRMasterData-ET01Identity,Identity Data HR Data (Service/NHA/Admin/etc),Level_3
HR System,Identity Record,HR System > Identity Record,DS008HRMasterData,DS008HRMasterData-ET01Asset,Identity Data HR Data (Service/NHA/Admin/etc),Level_3
HR System,Events from Expired Identity,HR System > Events from Expired Identity,DS008HRMasterData,DS008HRMasterData-ET01ExpiredIdentity,Identity Data HR Data (Service/NHA/Admin/etc),Level_3
Endpoint Detection and Response,Object Change,Endpoint Detection and Response > Object Change,DS009EndPointIntel,DS009EndPointIntel-ET01ObjectChange,Client EDR (alerts only),Level_1
Endpoint Detection and Response,Process Launch,Endpoint Detection and Response > Process Launch,DS009EndPointIntel,DS009EndPointIntel-ET01ProcessLaunch,Client EDR (alerts only),Level_1
Endpoint Detection and Response,Process Launch with CLI,Endpoint Detection and Response > Process Launch with CLI,DS009EndPointIntel,DS009EndPointIntel-ET03ProcessLaunchwithCLI,Server EDR (Full logs),Level_3
Endpoint Detection and Response,Process Launch with Executable Hash,Endpoint Detection and Response > Process Launch with Executable Hash,DS009EndPointIntel,DS009EndPointIntel-ET04ProcessLaunchWithHash,Server EDR (Full logs),Level_3
