EventCode,EventType,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype,user
4624,0,Info,1003142392,"1471795424.000","anon_ComputerName_10","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,142180060,"1471798468.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,240841870,"1471798745.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,69043257,"1471799691.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,69044266,"1471800347.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142187798,"1471802142.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4648,0,Info,2356689,"1471802767.000","anon_ComputerName_22","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,2486960130,"1471803027.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,69052107,"1471805075.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142193382,"1471805452.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142194025,"1471805803.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142195201,"1471806452.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142200630,"1471809437.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142220732,"1471820404.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2487319228,"1471825737.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4768,0,Info,69100710,"1471831869.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,69105389,"1471834315.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142252200,"1471835252.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142263832,"1471840988.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142272843,"1471845765.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,69140479,"1471853342.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,142292817,"1471853935.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,107912812,"1471857375.000","anon_ComputerName_14","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,1003514987,"1471857378.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,142302785,"1471858983.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142304498,"1471859920.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2487931948,"1471861658.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,69157082,"1471862941.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,118543578,"1471864163.000","anon_ComputerName_12","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,551081234,"1471864163.000","anon_ComputerName_15","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,142314597,"1471865465.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,142316567,"1471866545.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1003588909,"1471870707.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,142325283,"1471871239.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,121156299,"1471871484.000","anon_ComputerName_11","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,142326540,"1471871886.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2488158167,"1471874699.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142339050,"1471877306.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2488216291,"1471877969.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142341914,"1471878187.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488222200,"1471878261.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488230957,"1471878781.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488260510,"1471880432.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4648,0,Info,241120359,"1471881874.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,118576259,"1471882178.000","anon_ComputerName_12","WinEventLog:Security","WinEventLog:Security",bob
