"_time",host,Image,TargetFilename,EventCode
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\@Please_Read_Me@.txt",2
"2017-05-22T00:01:00.000+0000","carlos-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\@Please_Read_Me@.txt",2
"2017-05-22T00:06:00.000+0000","alice-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\@Please_Read_Me@.txt",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\3389.tmp",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\D7E0.tmp",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\TaskData\Tor\zlib1.dll",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\TaskData\Tor\tor.exe",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\TaskData\Tor\ssleay32.dll",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\TaskData\Tor\libssp-0.dll",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\TaskData\Tor\libgcc_s_sjlj-1.dll",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\TaskData\Tor\libevent_extra-2-0-5.dll",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\TaskData\Tor\libevent_core-2-0-5.dll",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\TaskData\Tor\libevent-2-0-5.dll",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe","C:\ProgramData\wnlvipnvf933\TaskData\Tor\libeay32.dll",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\Downloads\add-on-for-microsoft-sysmon_600\add-on-for-microsoft-sysmon_600\TA-microsoft-sysmon\lookups\eventcode.csv.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@youtube[1].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@www.msn[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@www.linkedin[1].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@www.googleadservices[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@www.bing[1].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@scorecardresearch[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@msn[1].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@microsoft[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@linkedin[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@google[5].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@google[3].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@google[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@google[1].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@doubleclick[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@c1.microsoft[1].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@c.msn[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@c.bing[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@bing[1].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@atwola[1].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@at.atwola[1].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@api.bing[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@advertising[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Roaming\Microsoft\Windows\Cookies\Low\bob@adnxs[2].txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Service Worker\CacheStorage\28da9c56fde4021055a681112c092453f74d8dd8\index.txt.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\pkedcjkdefgpdelpbcmbmeomcjbeemfm\5817.313.0.5_0\cast_setup\cast_app_redirect.js.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\nmmhkkegccagdldgiimedpiccmgmieda\1.0.0.2_0\images\topbar_floating_button_pressed.png.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\nmmhkkegccagdldgiimedpiccmgmieda\1.0.0.2_0\images\topbar_floating_button_maximize.png.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\nmmhkkegccagdldgiimedpiccmgmieda\1.0.0.2_0\images\topbar_floating_button_hover.png.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\nmmhkkegccagdldgiimedpiccmgmieda\1.0.0.2_0\images\topbar_floating_button_close.png.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\nmmhkkegccagdldgiimedpiccmgmieda\1.0.0.2_0\images\topbar_floating_button.png.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\nmmhkkegccagdldgiimedpiccmgmieda\1.0.0.2_0\images\icon_16.png.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\ghbmnnjooekpmoecnnnilnnbdlolhkhi\1.4_1\page_embed_script.js.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\felcaaldnbdncclmgdcncolpebgiejap\1.1_0\main.js.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\felcaaldnbdncclmgdcncolpebgiejap\1.1_0\icon_16.png.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\aohghmighlieiainnegkcijnfilokake\0.9_0\main.js.WNCRYT",2
"2017-05-22T00:00:00.000+0000","bob-PC","C:\ProgramData\wnlvipnvf933\tasksche.exe","C:\Users\bob\AppData\Local\Google\Chrome\User Data\Default\Extensions\aohghmighlieiainnegkcijnfilokake\0.9_0\icon_16.png.WNCRYT",2
