"_time",accountId,awsRegion,eventName,sourcetype,"src_ip",user,userAgent
"1515603462.000",179022047600,"eu-west-2",ListFunctions20150331,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515604996.000",684311760400,"us-east-1",GetCallerIdentity,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-104-generic Botocore/1.5.95"
"1515606392.000",576106252800,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515606392.000",41891115200,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515606427.000",111589815029,"us-west-2",AuthorizeSecurityGroupEgress,"aws:cloudtrail","74.207.253.34",edith,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515606452.000",494924884400,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515606453.000",673826036800,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515607112.000",207159256800,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515607163.000",11824417200,"us-east-1",GetCallerIdentity,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515607163.000",571257024800,"us-east-1",GetCallerIdentity,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515607172.000",508802904800,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515607172.000",63984577200,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515607232.000",292034581200,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1515607240.000",789422959200,"us-east-1",GetCallerIdentity,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-104-generic Botocore/1.5.95"
"1515607276.000",726050964800,"us-east-1",ListDistributions,"aws:cloudtrail","86.1.123.21",bob,"Boto/2.47.0 Python/2.7.13 Linux/4.4.0-104-generic"
"1515607276.000",805512308400,"us-east-1",ListDistributions,"aws:cloudtrail","86.1.123.21",bob,"Boto/2.47.0 Python/2.7.13 Linux/4.4.0-104-generic"
