datamodel,modelName,nodeName,tags,"_timediff",app,"data_source_category",version
"Alerts.Alerts",Alerts,Alerts,alert,,"Splunk_SA_CIM","DS020HostIntrustionDetection-ET01SigDetected","5.2.0"
Alerts,Alerts,,alert,,"Splunk_SA_CIM","DS020HostIntrustionDetection-ET01SigDetected","5.2.0"
"Application_State.All_Application_State","Application_State","All_Application_State",,,"Splunk_SA_CIM",,"5.2.0"
"Application_State.Ports","Application_State",Ports,"listening,port",,"Splunk_SA_CIM",,"5.2.0"
"Application_State.Processes","Application_State",Processes,"process,report",,"Splunk_SA_CIM",,"5.2.0"
"Application_State.Services","Application_State",Services,"service,report",,"Splunk_SA_CIM",,"5.2.0"
"Application_State","Application_State",,,,"Splunk_SA_CIM",,"5.2.0"
"Authentication.Authentication",Authentication,Authentication,authentication,,"Splunk_SA_CIM","DS003Authentication-ET01Success|DS003Authentication-ET01SuccessDefault|DS003Authentication-ET01SuccessInsecure|DS003Authentication-ET02Failure|DS003Authentication-ET02FailureBadFactor|DS003Authentication-ET02FailureError|DS003Authentication-ET02FailureUnknownAccount","5.2.0"
"Authentication.Failed_Authentication",Authentication,"Failed_Authentication",authentication,,"Splunk_SA_CIM","DS003Authentication-ET02Failure","5.2.0"
"Authentication.Successful_Authentication",Authentication,"Successful_Authentication",authentication,,"Splunk_SA_CIM","DS003Authentication-ET01Success","5.2.0"
"Authentication.Default_Authentication",Authentication,"Default_Authentication","authentication,default",,"Splunk_SA_CIM",,"5.2.0"
"Authentication.Failed_Default_Authentication",Authentication,"Failed_Default_Authentication","authentication,default",,"Splunk_SA_CIM",,"5.2.0"
"Authentication.Successful_Default_Authentication",Authentication,"Successful_Default_Authentication","authentication,default",,"Splunk_SA_CIM","DS003Authentication-ET01SuccessDefault","5.2.0"
"Authentication.Insecure_Authentication",Authentication,"Insecure_Authentication","authentication,insecure",,"Splunk_SA_CIM","DS003Authentication-ET01SuccessInsecure","5.2.0"
"Authentication.Privileged_Authentication",Authentication,"Privileged_Authentication","authentication,privileged",,"Splunk_SA_CIM",,"5.2.0"
"Authentication.Failed_Privileged_Authentication",Authentication,"Failed_Privileged_Authentication","authentication,privileged",,"Splunk_SA_CIM",,"5.2.0"
"Authentication.Successful_Privileged_Authentication",Authentication,"Successful_Privileged_Authentication","authentication,privileged",,"Splunk_SA_CIM",,"5.2.0"
Authentication,Authentication,,authentication,,"Splunk_SA_CIM","DS003Authentication-ET01Success|DS003Authentication-ET01SuccessDefault|DS003Authentication-ET01SuccessInsecure|DS003Authentication-ET02Failure|DS003Authentication-ET02FailureBadFactor|DS003Authentication-ET02FailureError|DS003Authentication-ET02FailureUnknownAccount","5.2.0"
"Certificates.All_Certificates",Certificates,"All_Certificates",certificate,,"Splunk_SA_CIM","DS041Certificates-ET01All","5.2.0"
"Certificates.SSL",Certificates,SSL,"certificate,ssl",,"Splunk_SA_CIM",,"5.2.0"
Certificates,Certificates,,certificate,,"Splunk_SA_CIM","DS041Certificates-ET01All","5.2.0"
