Type,Description,TechniqueIdCombined,Technique,"Data_Component","Data_Component_Description"
Detection,,"T1003.008","/etc/passwd and /etc/shadow","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1003.008","/etc/passwd and /etc/shadow","File Access","Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
Detection,,"T1557.002","ARP Cache Poisoning","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,"T1557.002","ARP Cache Poisoning","Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,"T1558.004","AS-REP Roasting","Active Directory Credential Request","A user requested active directory credentials, such as a ticket or token (ex: Windows EID 4769)"
Detection,,T1548,"Abuse Elevation Control Mechanism","Process Metadata","Contextual data about a running process, which may include information such as environment variables, image name, user/owner, etc."
Detection,,T1548,"Abuse Elevation Control Mechanism","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1548,"Abuse Elevation Control Mechanism","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,T1548,"Abuse Elevation Control Mechanism","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1548,"Abuse Elevation Control Mechanism","File Metadata","Contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, etc."
Detection,,T1548,"Abuse Elevation Control Mechanism","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,T1548,"Abuse Elevation Control Mechanism","OS API Execution","Operating system function/method calls executed by a process"
Detection,,T1134,"Access Token Manipulation","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1134,"Access Token Manipulation","Process Metadata","Contextual data about a running process, which may include information such as environment variables, image name, user/owner, etc."
Detection,,T1134,"Access Token Manipulation","OS API Execution","Operating system function/method calls executed by a process"
Detection,,T1134,"Access Token Manipulation","User Account Metadata","Contextual data about an account, which may include a username, user ID, environmental data, etc."
Detection,,T1134,"Access Token Manipulation","Active Directory Object Modification","Changes made to an active directory object (ex: Windows EID 5163 or 5136)"
Detection,,T1134,"Access Token Manipulation","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1546.008","Accessibility Features","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1546.008","Accessibility Features","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,"T1546.008","Accessibility Features","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1546.008","Accessibility Features","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,"T1546.008","Accessibility Features","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,T1531,"Account Access Removal","User Account Deletion","Removal of an account (ex: Windows EID 4726 or /var/log access/authentication logs)"
Detection,,T1531,"Account Access Removal","User Account Modification","Changes made to an account, such as permissions and/or membership in specific groups (ex: Windows EID 4738 or /var/log access/authentication logs)"
Detection,,T1531,"Account Access Removal","Active Directory Object Modification","Changes made to an active directory object (ex: Windows EID 5163 or 5136)"
Detection,,T1087,"Account Discovery","User Account Metadata","Contextual data about an account, which may include a username, user ID, environmental data, etc."
Detection,,T1087,"Account Discovery","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1087,"Account Discovery","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1087,"Account Discovery","File Access","Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
Detection,,T1098,"Account Manipulation","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,T1098,"Account Manipulation","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1098,"Account Manipulation","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1098,"Account Manipulation","Group Modification","Changes made to a group, such as membership, name, or permissions (ex: Windows EID 4728 or 4732, AWS IAM UpdateGroup)"
Detection,,T1098,"Account Manipulation","User Account Modification","Changes made to an account, such as permissions and/or membership in specific groups (ex: Windows EID 4738 or /var/log access/authentication logs)"
Detection,,T1098,"Account Manipulation","Active Directory Object Modification","Changes made to an active directory object (ex: Windows EID 5163 or 5136)"
Detection,,T1583,"Acquire Infrastructure","Response Metadata","Contextual data about an Internet-facing resource gathered from a scan, such as running services or ports"
Detection,,T1583,"Acquire Infrastructure","Response Content","Logged network traffic in response to a scan showing both protocol header and body values"
Detection,,T1583,"Acquire Infrastructure","Active DNS","Queried domain name system (DNS) registry data highlighting current domain to IP address resolutions (ex: dig/nslookup queries)"
Detection,,T1583,"Acquire Infrastructure","Passive DNS","Logged domain name system (DNS) data highlighting timelines of domain to IP address resolutions (ex: passive DNS)"
Detection,,T1583,"Acquire Infrastructure","Domain Registration","Information about domain name assignments and other domain metadata (ex: WHOIS)"
Detection,,T1595,"Active Scanning","Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,T1595,"Active Scanning","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,"T1547.014","Active Setup","Windows Registry Key Creation","Initial construction of a new Registry Key (ex: Windows EID 4656 or Sysmon EID 12)"
Detection,,"T1547.014","Active Setup","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,"T1547.014","Active Setup","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1547.014","Active Setup","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1098.003","Add Office 365 Global Administrator Role","User Account Modification","Changes made to an account, such as permissions and/or membership in specific groups (ex: Windows EID 4738 or /var/log access/authentication logs)"
Detection,,"T1137.006","Add-ins","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1137.006","Add-ins","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1137.006","Add-ins","Windows Registry Key Creation","Initial construction of a new Registry Key (ex: Windows EID 4656 or Sysmon EID 12)"
Detection,,"T1137.006","Add-ins","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,"T1137.006","Add-ins","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,"T1137.006","Add-ins","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,"T1098.001","Additional Cloud Credentials","User Account Modification","Changes made to an account, such as permissions and/or membership in specific groups (ex: Windows EID 4738 or /var/log access/authentication logs)"
Detection,,"T1098.001","Additional Cloud Credentials","Active Directory Object Modification","Changes made to an active directory object (ex: Windows EID 5163 or 5136)"
Detection,,T1557,"Adversary-in-the-Middle","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,T1557,"Adversary-in-the-Middle","Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,T1557,"Adversary-in-the-Middle","Service Creation","Initial construction of a new service/daemon (ex: Windows EID 4697 or /var/log daemon logs)"
Detection,,T1557,"Adversary-in-the-Middle","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,"T1546.009","AppCert DLLs","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1546.009","AppCert DLLs","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,"T1546.009","AppCert DLLs","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1546.009","AppCert DLLs","Module Load","Attaching a module into the memory of a process/program, typically to access shared resources/features provided by the module (ex: Sysmon EID 7)"
Detection,,"T1546.010","AppInit DLLs","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1546.010","AppInit DLLs","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,"T1546.010","AppInit DLLs","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1546.010","AppInit DLLs","Module Load","Attaching a module into the memory of a process/program, typically to access shared resources/features provided by the module (ex: Sysmon EID 7)"
Detection,,"T1059.002",AppleScript,"Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1059.002",AppleScript,"Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1059.002",AppleScript,"OS API Execution","Operating system function/method calls executed by a process"
Detection,,"T1550.001","Application Access Token","Web Credential Usage","An attempt by a user to gain access to a network or computing resource by providing web credentials (ex: Windows EID 1202)"
Detection,,"T1550.001","Application Access Token","Application Log Content","Logging, messaging, and other artifacts provided by third-party services (ex: metrics, errors, and/or alerts from mail/web applications)"
