Matrix,TacticId,Tactic,"Tactic_Order",TechniqueId,Technique,"Technique_Order","Sub_TechniqueId","Sub_Technique","Sub_Technique_Order",TechniqueIdCombined,"Threat_Groups",Platforms,"Data_Sources",Software,Version
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1078,"Valid Accounts",1,"-","-",,T1078,"PittyTiger|Carbanak|FIN8|menuPass|Dragonfly 2.0|FIN4|APT33|FIN5|APT28|FIN10|Suckfly|FIN6|Threat Group-3390|APT18|Night Dragon|OilRig|APT39|TEMP.Veles|GALLIUM|APT41|Silence|Wizard Spider|Sandworm Team|Chimera|Operation Wocao|Fox Kitten|UNC2452|Silent Librarian|APT29|Leviathan|FIN7","Windows|Azure AD|Office 365|SaaS|IaaS|Linux|macOS|Google Workspace|Containers","Logon Session: Logon Session Metadata|User Account: User Account Authentication|Logon Session: Logon Session Creation","SeaDuke|Duqu|Linux Rabbit|Industroyer|Dtrack|Kinsing",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1078,"Valid Accounts",1,"T1078.001","Default Accounts",1,"T1078.001","-","Windows|Azure AD|Office 365|SaaS|IaaS|Linux|macOS|Google Workspace|Containers","User Account: User Account Authentication|Logon Session: Logon Session Creation","HyperStack|Stuxnet",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1078,"Valid Accounts",1,"T1078.002","Domain Accounts",2,"T1078.002","APT3|Threat Group-1314|TA505|APT29|Wizard Spider|Sandworm Team|Operation Wocao|Chimera|Indrik Spider|Naikon","Linux|macOS|Windows","Logon Session: Logon Session Metadata|User Account: User Account Authentication|Logon Session: Logon Session Creation","Shamoon|Cobalt Strike|Stuxnet|Ryuk",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1078,"Valid Accounts",1,"T1078.003","Local Accounts",3,"T1078.003","APT32|Stolen Pencil|FIN10|Tropic Trooper|PROMETHIUM|Operation Wocao|Turla|HAFNIUM|Kimsuky","Linux|macOS|Windows|Containers","Logon Session: Logon Session Metadata|User Account: User Account Authentication|Logon Session: Logon Session Creation","Umbreon|NotPetya|Emotet|Cobalt Strike",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1078,"Valid Accounts",1,"T1078.004","Cloud Accounts",4,"T1078.004","APT33|APT28","Azure AD|Office 365|SaaS|IaaS|Google Workspace","Logon Session: Logon Session Metadata|User Account: User Account Authentication|Logon Session: Logon Session Creation","-",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1091,"Replication Through Removable Media",2,"-","-",,T1091,"APT28|Darkhotel|Tropic Trooper|Mustang Panda",Windows,"Process: Process Creation|File: File Access|File: File Creation|Drive: Drive Creation","CHOPSTICK|USBStealer|H1N1|Unknown Logger|DustySky|Agent.btz|SHIPSHAPE|Flame|njRAT|Ursnif|USBferry|Ramsay|Stuxnet|Conficker|Crimson|QakBot",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1133,"External Remote Services",3,"-","-",,T1133,"APT18|OilRig|Threat Group-3390|Ke3chang|Dragonfly 2.0|FIN5|Night Dragon|TEMP.Veles|GALLIUM|APT41|Sandworm Team|Chimera|GOLD SOUTHFIELD|Kimsuky|Wizard Spider|Operation Wocao|UNC2452|APT29|APT28|Leviathan|TeamTNT","Windows|Linux|Containers|macOS","Application Log: Application Log Content|Logon Session: Logon Session Metadata|Network Traffic: Network Traffic Flow","Linux Rabbit|Kinsing|Doki|Hildegard",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1189,"Drive-by Compromise",4,"-","-",,T1189,"Lazarus Group|Dragonfly 2.0|BRONZE BUTLER|Elderwood|Leafminer|Patchwork|APT37|Dark Caracal|APT19|PLATINUM|Threat Group-3390|APT32|APT38|Darkhotel|RTM|Windshift|Turla|PROMETHIUM|Dragonfly|Windigo|Machete|Leviathan|Andariel|Transparent Tribe","Windows|Linux|macOS|SaaS","File: File Creation|Process: Process Creation|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Application Log: Application Log Content","KARAE|POORAIM|LoudMiner|Bundlore|REvil|Grandoreiro|Bad Rabbit",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1190,"Exploit Public-Facing Application",5,"-","-",,T1190,"Night Dragon|Axiom|GALLIUM|APT41|BlackTech|APT39|Rocke|Blue Mockingbird|GOLD SOUTHFIELD|APT29|APT28|Operation Wocao|Fox Kitten|UNC2452|Volatile Cedar|menuPass|BackdoorDiplomacy","Windows|IaaS|Network|Linux|macOS|Containers","Application Log: Application Log Content|Network Traffic: Network Traffic Content","Havij|sqlmap|SoreFang|Siloscape",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1195,"Supply Chain Compromise",6,"-","-",,T1195,"-","Linux|Windows|macOS","-","-",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1195,"Supply Chain Compromise",6,"T1195.001","Compromise Software Dependencies and Development Tools",1,"T1195.001","-","Linux|macOS|Windows","-",XCSSET,22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1195,"Supply Chain Compromise",6,"T1195.002","Compromise Software Supply Chain",2,"T1195.002","APT41|Sandworm Team|Dragonfly|GOLD SOUTHFIELD|Cobalt Group|UNC2452|APT29","Linux|macOS|Windows","-","CCBkdr|GoldenSpy|SUNSPOT",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1195,"Supply Chain Compromise",6,"T1195.003","Compromise Hardware Supply Chain",3,"T1195.003","-","Linux|macOS|Windows","-","-",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1199,"Trusted Relationship",7,"-","-",,T1199,"menuPass|APT28|GOLD SOUTHFIELD|Sandworm Team|APT29","Windows|SaaS|IaaS|Linux|macOS","Application Log: Application Log Content|Logon Session: Logon Session Metadata|Logon Session: Logon Session Creation","-",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1200,"Hardware Additions",8,"-","-",,T1200,DarkVishnya,"Windows|Linux|macOS","-","-",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1566,Phishing,9,"-","-",,T1566,"Dragonfly|GOLD SOUTHFIELD","Linux|macOS|Windows|SaaS|Office 365|Google Workspace","File: File Creation|Application Log: Application Log Content|Network Traffic: Network Traffic Flow|Network Traffic: Network Traffic Content","-",22729202
