Matrix,Tactic,Technique,"Sub-Technique",App,Active,Available,"Needs data","Sub_Technique_Total","Tactic_Total","Technique_Total",Bookmarked,"Data Source",IsSubTechnique
"Enterprise ATT&CK","Initial Access","Valid Accounts","-",Any,0,0,63,0,112,101,0,"::4,AWS::28,Anti-Virus or Anti-Malware::4,Authentication::24,Box::4,Change Events Data::20,GCP::20,Network Communication::4,SFDC::8,Ticket Management::8,User Activity Audit::4,Web Server::4,Windows Security::120",No
"Enterprise ATT&CK","Initial Access","Valid Accounts","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Initial Access","Valid Accounts","-","Enterprise Security Content Update",0,0,19,0,112,101,0,"::4,AWS::28,Change Events Data::20,GCP::20,Web Server::4,Windows Security::120",No
"Enterprise ATT&CK","Initial Access","Valid Accounts","-","Splunk App for Enterprise Security",0,0,8,0,112,101,0,"Anti-Virus or Anti-Malware::4,Authentication::24,User Activity Audit::4,Windows Security::120",No
"Enterprise ATT&CK","Initial Access","Valid Accounts","-","Splunk Security Essentials",0,0,22,0,112,101,0,"AWS::28,GCP::20,SFDC::8,Ticket Management::8,Windows Security::120",No
"Enterprise ATT&CK","Initial Access","Valid Accounts","-","Splunk User Behavior Analytics",0,0,14,0,112,101,0,"Authentication::24,Box::4,Network Communication::4,Windows Security::120",No
"Enterprise ATT&CK","Initial Access","Valid Accounts","Default Accounts",Any,0,0,4,4,112,101,0,"Okta::0",Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Default Accounts","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Default Accounts","Enterprise Security Content Update",0,0,4,4,112,101,0,"Okta::0",Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Default Accounts","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Default Accounts","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Default Accounts","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Domain Accounts",Any,0,1,4,5,112,101,0,"Change Events Data::20,HR System::0,Windows Security::120",Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Domain Accounts","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Domain Accounts","Enterprise Security Content Update",0,1,4,5,112,101,0,"Change Events Data::20,HR System::0,Windows Security::120",Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Domain Accounts","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Domain Accounts","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Domain Accounts","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Local Accounts",Any,0,0,3,3,112,101,0,"Change Events Data::20,Windows Security::120",Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Local Accounts","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Local Accounts","Enterprise Security Content Update",0,0,1,3,112,101,0,"Change Events Data::20",Yes
