"Threat_Group",Industry,Description,Alias,Id,"__mv_Threat_Group","__mv_Industry","__mv_Description","__mv_Alias","__mv_Id"
UNC2452,"Consulting
Government
Information And Communications Technology
Telecommunications
Think Tank","[UNC2452](https://attack.mitre.org/groups/G0118) is a suspected Russian state-sponsored threat group responsible for the 2020 SolarWinds software supply chain intrusion.(Citation: FireEye SUNBURST Backdoor December 2020) Victims of this campaign include government, consulting, technology, telecom, and other organizations in North America, Europe, Asia, and the Middle East.(Citation: FireEye SUNBURST Backdoor December 2020) The group also compromised at least one think tank by late 2019.(Citation: Volexity SolarWinds)","UNC2452
NOBELIUM
StellarParticle
Dark Halo",G0118,,"$Consulting$;$Government$;$Information And Communications Technology$;$Telecommunications$;$Think Tank$",,"$UNC2452$;$NOBELIUM$;$StellarParticle$;$Dark Halo$",
"Operation Wocao","Energy
Government
Healthcare
Hospital
Information And Communications Technology","[Operation Wocao](https://attack.mitre.org/groups/G0116) described activities carried out by a China-based cyber espionage adversary. [Operation Wocao](https://attack.mitre.org/groups/G0116) targeted entities within the government, managed service providers, energy, health care, and technology sectors across several countries, including China, France, Germany, the United Kingdom, and the United States. [Operation Wocao](https://attack.mitre.org/groups/G0116) used similar TTPs and tools to APT20, suggesting a possible overlap.(Citation: FoxIT Wocao December 2019)","Operation Wocao",G0116,,"$Energy$;$Government$;$Healthcare$;$Hospital$;$Information And Communications Technology$",,,
Cleaver,"-","[Cleaver](https://attack.mitre.org/groups/G0003) is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. (Citation: Cylance Cleaver) Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). (Citation: Dell Threat Group 2889)","Cleaver
Threat Group 2889
TG-2889",G0003,,,,"$Cleaver$;$Threat Group 2889$;$TG-2889$",
GCMAN,Banking,"[GCMAN](https://attack.mitre.org/groups/G0036) is a threat group that focuses on targeting banks for the purpose of transferring money to e-currency services. (Citation: Securelist GCMAN)",GCMAN,G0036,,,,,
"Wizard Spider","Healthcare
Hospital","[Wizard Spider](https://attack.mitre.org/groups/G0102) is a Russia-based financially motivated threat group originally known for the creation and deployment of [TrickBot](https://attack.mitre.org/software/S0266) since at least 2016. [Wizard Spider](https://attack.mitre.org/groups/G0102) possesses a diverse arsenal of tools and has conducted ransomware campaigns against a variety of organizations, ranging from major corporations to hospitals.(Citation: CrowdStrike Ryuk January 2019)(Citation: DHS/CISA Ransomware Targeting Healthcare October 2020)(Citation: CrowdStrike Wizard Spider October 2020)","Wizard Spider
UNC1878
TEMP.MixMaster
Grim Spider",G0102,,"$Healthcare$;$Hospital$",,"$Wizard Spider$;$UNC1878$;$TEMP.MixMaster$;$Grim Spider$",
"Magic Hound","Defense
Education
Government
Manufacturing","[Magic Hound](https://attack.mitre.org/groups/G0059) is an Iranian-sponsored threat group that conducts long term, resource-intensive cyber espionage operations, likely on behalf of the Islamic Revolutionary Guard Corps. They have targeted U.S. and Middle Eastern government and military personnel, academics, journalists, and organizations such as the World Health Organization (WHO), via complex social engineering campaigns since at least 2014.(Citation: FireEye APT35 2018)(Citation: ClearSky Kittens Back 3 August 2020)(Citation: Certfa Charming Kitten January 2021)(Citation: Secureworks COBALT ILLUSION Threat Profile)(Citation: Proofpoint TA453 July2021)","Magic Hound
TA453
COBALT ILLUSION
Charming Kitten
ITG18
Phosphorus
Newscaster
APT35",G0059,,"$Defense$;$Education$;$Government$;$Manufacturing$",,"$Magic Hound$;$TA453$;$COBALT ILLUSION$;$Charming Kitten$;$ITG18$;$Phosphorus$;$Newscaster$;$APT35$",
"Stolen Pencil",Education,"[Stolen Pencil](https://attack.mitre.org/groups/G0086) is a threat group likely originating from DPRK that has been active since at least May 2018. The group appears to have targeted academic institutions, but its motives remain unclear.(Citation: Netscout Stolen Pencil Dec 2018)","Stolen Pencil",G0086,,,,,
"Threat Group-3390","Aerospace
Defense
Energy
Gambling
Government
Information And Communications Technology
Manufacturing","[Threat Group-3390](https://attack.mitre.org/groups/G0027) is a Chinese threat group that has extensively used strategic Web compromises to target victims.(Citation: Dell TG-3390) The group has been active since at least 2010 and has targeted organizations in the aerospace, government, defense, technology, energy, manufacturing and gambling/betting sectors.(Citation: SecureWorks BRONZE UNION June 2017)(Citation: Securelist LuckyMouse June 2018)(Citation: Trend Micro DRBControl February 2020)","Threat Group-3390
Earth Smilodon
TG-3390
Emissary Panda
BRONZE UNION
APT27
Iron Tiger
LuckyMouse",G0027,,"$Aerospace$;$Defense$;$Energy$;$Gambling$;$Government$;$Information And Communications Technology$;$Manufacturing$",,"$Threat Group-3390$;$Earth Smilodon$;$TG-3390$;$Emissary Panda$;$BRONZE UNION$;$APT27$;$Iron Tiger$;$LuckyMouse$",
Silence,"Banking
Financial","[Silence](https://attack.mitre.org/groups/G0091) is a financially motivated threat actor targeting financial institutions in different countries. The group was first seen in June 2016. Their main targets reside in Russia, Ukraine, Belarus, Azerbaijan, Poland and Kazakhstan. They compromised various banking systems, including the Russian Central Bank's Automated Workstation Client, ATMs, and card processing.(Citation: Cyber Forensicator Silence Jan 2019)(Citation: SecureList Silence Nov 2017) ","Silence
WHISPER SPIDER",G0091,,"$Banking$;$Financial$",,"$Silence$;$WHISPER SPIDER$",
"Lazarus Group",Media,"[Lazarus Group](https://attack.mitre.org/groups/G0032) is a North Korean state-sponsored cyber threat group that has been attributed to the Reconnaissance General Bureau.(Citation: US-CERT HIDDEN COBRA June 2017)(Citation: Treasury North Korean Cyber Groups September 2019) The group has been active since at least 2009 and was reportedly responsible for the November 2014 destructive wiper attack against Sony Pictures Entertainment as part of a campaign named Operation Blockbuster by Novetta. Malware used by [Lazarus Group](https://attack.mitre.org/groups/G0032) correlates to other reported campaigns, including Operation Flame, Operation 1Mission, Operation Troy, DarkSeoul, and Ten Days of Rain. (Citation: Novetta Blockbuster)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups, such as [Andariel](https://attack.mitre.org/groups/G0138), [APT37](https://attack.mitre.org/groups/G0067), [APT38](https://attack.mitre.org/groups/G0082), and [Kimsuky](https://attack.mitre.org/groups/G0094).   ","Lazarus Group
Labyrinth Chollima
HIDDEN COBRA
Guardians of Peace
ZINC
NICKEL ACADEMY",G0032,,,,"$Lazarus Group$;$Labyrinth Chollima$;$HIDDEN COBRA$;$Guardians of Peace$;$ZINC$;$NICKEL ACADEMY$",
