"_time",action,app,bytes,"bytes_in","bytes_out",category,"dest_ip","dest_port",duration,packets,"packets_in","packets_out","src_ip",user
"1457383302.000",blocked,"web-browsing",159,60,219,extremism,"149.56.17.122",80,3,3,3,6,"10.174.30.148",chuck
"1457383259.000",blocked,"web-browsing",159,60,219,extremism,"149.56.17.122",80,3,3,3,6,"10.174.30.148",chuck
"1457383258.000",blocked,"web-browsing",159,60,219,extremism,"149.56.17.122",80,3,3,3,6,"10.174.30.148",chuck
"1457383255.000",blocked,"web-browsing",159,60,219,extremism,"149.56.17.122",80,3,3,3,6,"10.174.30.148",chuck
"1457383247.000",allowed,dns,1023232367,3927714,1019304653,any,"12.176.251.25",53,18,4,2,2,"10.174.30.148",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10001,7,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10002,8,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10003,7,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10004,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10005,10,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10006,8,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10007,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10008,12,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10009,4,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10010,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10011,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10012,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10013,4,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10014,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10015,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10016,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10017,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10018,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10019,9,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10020,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10021,14,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10022,12,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10023,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10024,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10025,0,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10026,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10027,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10028,12,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10029,14,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10030,6,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10031,10,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10032,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10033,14,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10034,7,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10035,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10036,11,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10037,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10038,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10039,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10040,1,1,0,1,"10.174.30.199",unknown
"1457383247.000",allowed,"unknown-tcp",64,0,64,any,"10.174.19.2",10041,1,1,0,1,"10.174.30.199",unknown
