author,categories,dashboard,date,description,phase,title,"__mv_author","__mv_categories","__mv_dashboard","__mv_date","__mv_description","__mv_phase","__mv_title"
"Travis Freeland","security_compliance utilities","https://splunkbase.splunk.com/app/1535/","2022-11-14","Nothing too fancy here, this app just provides two commands: dnslookup and serviceslookup

An example search leveraging the netstat data from the *nix app and converting ip addresses into more human friendly dns entries (along with looking up the port servie name in /etc/services)

index=os source=netstat | multikv fields LocalAddress ForeignAddress | rex ""(?i)(?P<IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})"" | rex ""(?i)\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}.(?P<PORT>\d+)"" | search IP!=""*.0"" | top IP, PORT limit=0 | dnslookup reverse IP fqdn | serviceslookup PORT SERVICE | table IP, fqdn, PORT, SERVICE, count

dnslookup usage: 

dnslookup <reverse|forward> <input field> <output field>

servicelookup <input field> <output field> <optional services file path>

Hope you find it useful (or if it even works), let me know how you go.","Internet-exposed service",dnslookup,,"$security_compliance$;$utilities$",,,,,
"Jason Conger","it_operations_management security_compliance","https://splunkbase.splunk.com/app/1589/","2023-01-27","Cisco Identity Services Engine (ISE) is a security policy management and control platform. It automates and simplifies access control and security compliance for wired, wireless, and VPN connectivity. 

The Splunk for Cisco ISE add-on allows for the extraction and indexing of the ISE AAA Audit, Accounting, Posture, Client Provisioning Audit and Profiler events. This integration allows any Splunk user to correlate ISE data with other data sources (e.g. with firewall events or application data) to get deeper operational and security visibility.  It also includes sample dashboards and reports for profiling, authentication, system statistics, alarms, and location awareness.

For installation instructions, see the README file within the default directory.","Command and control","Splunk for Cisco Identity Services (ISE)",,"$it_operations_management$;$security_compliance$",,,,,
"Pavel Prostin","security_compliance","https://splunkbase.splunk.com/app/1654/","2022-12-23","This Splunk App for McAfee / Skyhigh Web Gateway (MWG/SWG) allows rapid insights and operational visibility into Web Gateway and McAfee Web Gateway Cloud Service (WGCS) deployments. It provides field extraction and CIM field mapping using all types of logs (default and custom Web Gateway log, WGCS log), facilitates fast incident response and troubleshooting.

Currently there are 86 different charts and tables grouped in 22 views

Applications
-Top Blocked Applications
-Top Applications
Audit Log
-Failed Logins
-Activity by Action
-Activity by Source_Type
-Activity by User
-User Activity by Appliance
Authentication
-Top IP by Failed Auth
-Top User-Agents by Failed Auth
-Top Destination Hosts by Failed Auth
-Top User-Agents + IPs by Failed Auth
-Top User-Agents + DestHost by Failed Auth
-Top IPs + DestHost by Failed Auth
-Top IPs + User-Agent + DestHost by Failed Auth
-Multiple Logins from diff IPs
-Multiple Usernames coming from a single IP
-Authentication Method Statistics
Connections
-Long running transactions
DNS
-Timechart DNS resolution time
-DNS distribution
Errors
-Error Analysis
HTTP
-Timechart HTTP Method
-HTTP Method Statistics
HTTP Request/Response Headers Statistics
Easy Search
-Status Code Overview
-Web Usage by URL Category
-Top User-Agents
-Users + IPs
-IP Addresses by Hits Graph
-Top Hosts by Hits
-Top Blocked Domains by Hits
-Top Rules by Hits
-Events
Malware
-Malware
-Top Users by blocked Malware
Media Types
-Media Types
-Top Media Types by Hits/Volume
-EXE Uploads/Downloads
-Macro Uploads/Downloads
-EXE and Macro Uploads/Downloads with Magic Bytes Mismatch
-Encrypted Files
Network
-Top unreachabile Servers
Performance
-Connect to Server Latency
-Total Transaction Duration distribution
-Client-Side Latency
-DNS resolution Latency distribution
-Time in Externals Distribution
Protocols
-Protocols by Hits/Volume
Potential Risks
-Top SRC with high Ratio of High Risk Requests
-Unusal Ports
-Requests to IP Addresses
-CONNECT Requests to IP Addresses
-Very long URLs
-Very large request and response Headers
-Non-resolvable Domains, potential DGA (Domain Generation Algorythm)
Rules
-Top Rules
-Block Rules Overview
-Top Block Rules
-Rule Complexity/Performance
-Slowest Rule Execution
-Time in Rule Engine Distribution
-Time in Rule Engine over Time
Security Posture
-Content Scan is possible Ratio
SSL
-SSL Versions by Hits
-SSL Ciphers by Hits
-SSL KeyExchangeBits by Hits
-SSL Ciphers
-Client Certificate Requested
-SSL-related blocks
-Expired Certificate
-Certificate Issuers
Summary
-Requests / Block Ratio
-Traffic Overview
Traffic
-Top Inbound Traffic
-Top Outbound Traffic
Uploads
-Uploads
URL Filter
-URL Categories
-Blocked by URL Filter or by Web Reputation
-Top URL Categories
-Geolocation Stats
-High Risk Destinations
-Not categorized Domains - Chart
-Top not categorized Domains - Table
User-Agents
-User-Agent Statistics",Malware,"App for McAfee/SkyHigh Web Gateway (MWG/SWG/SSE)",,,,,,,
"Hurricane Labs","security_compliance utilities","https://splunkbase.splunk.com/app/1766/","2023-04-26","THIS APP IS NOW CONSIDERED DEPRECATED
- Please download the 'Hurricane Labs App for Shodan' (https://splunkbase.splunk.com/app/1767/), which includes the custom command included in this app. 
-All future updates will occur in the 'Hurricane Labs App for Shodan'

This SA includes a search command for the popular Shodan (http://www.shodanhq.com) search engine. It also powers the Hurricane Labs App for Shodan.","Command and control","Hurricane Labs Search Addon for Shodan (Deprecated)",,"$security_compliance$;$utilities$",,,,,
"Splunk Works","security_compliance","https://splunkbase.splunk.com/app/1808/","2023-04-26","***This add-on is no longer supported. All customers are recommended to migrate to Cisco Firepower and utilize the Cisco Secure eStreamer Client (f.k.a Firepower eNcore) Add-On for Splunk. (https://splunkbase.splunk.com/app/3662/)***

The Splunk Add-on for Cisco FireSIGHT (formerly Splunk Add-on for Cisco Sourcefire) leverages data collected via Cisco eStreamer to allow a Splunk software administrator to analyze and correlate Cisco Next-Generation Intrusion Prevention System (NGIPS) and Cisco Next-Generation Firewall (NGFW) log data and Advanced Malware Protection (AMP) reports from Cisco FireSIGHT and Snort IDS through the Splunk Common Information Model. You can then use the mapped data with other Splunk apps, such as Splunk Enterprise Security and the Splunk App for PCI Compliance.",Malware,"Splunk Add-on for Cisco FireSIGHT",,,,,,,
"Dave Shpritz","security_compliance","https://splunkbase.splunk.com/app/1811/","2022-11-12","This app provides CIM field extractions, eventtypes and tags for Cisco ACS events.","Command and control","Technology Add-on for Cisco Secure Access Control Server (ACS)",,,,,,,
"FireEye Splunk","it_operations_management security_compliance","https://splunkbase.splunk.com/app/1845/","2023-04-26","This is the latest Splunk App for FireEye designed to work with Splunk 8.x.


Supported FireEye Appliances are:
- Detection On Demand (DOD)
 - Network Threat Prevention Platform ( NX Series ) 
 - Email Threat Prevention Platform (EX Series)
 - Cloud Email Threat Prevention Platform (ETP)
 - Forensic Analysis Platform (AX Series) 
 - Content Threat Prevention Platform (FX Series)
 - Endpoint Threat Prevention Platform  (HX Series)
 - Network Forensics Platform (PX Series)
 - Threat Analytics Platform (TAP)
    - (Supports pulling alerts and incidents - cannot update records yet)

Supported protocols and formats is:
JSON over HTTPS",Email,"FireEye App for Splunk Enterprise v3",,"$it_operations_management$;$security_compliance$",,,,,
"Splunk Inc.","it_operations_management security_compliance","https://splunkbase.splunk.com/app/1876/","2023-04-26","With this release of Splunk Add-on for Amazon Web Services (aws) v6.0.0, we are merging all the capabilities of the Splunk Add-on for Amazon Kinesis Firehose into the Splunk Add-on for AWS. This means now with Splunk add-on for AWS v6.0.0, customers will be able to use a single Add-on across all AWS data sources for ingesting data into Splunk. If you are using the Splunk Add-on for Kinesis Firehose as well as the Add-on for AWS with your Splunk instance, then you must uninstall the Kinesis Firehose Add-on after upgrading the Add-on for AWS to version 6.0.0 to avoid any data duplicacy and discrepancy issues. If you are not using the Add-on for Kinesis Firehose but plan to use it in the future, then we encourage all customers to adopt the Splunk Add-on for AWS v 6.0.0 instead of the Add-on for Kinesis Firehose as the Add-on for Kinesis Firehose will be discontinued in the future.

__________________________________________________________________________________________________________

Ingesting data from AWS to Splunk Cloud? Have you tried the new Splunk Data Manager yet? Data Manager makes AWS data ingestion simpler, more automated and centrally managed for you, while co-existing with AWS and/or Kinesis TAs. Read our blog post to learn more about Data Manager and it’s availability on your Splunk Cloud instance: https://splk.it/3e9F863
__________________________________________________________________________________________________________

The Splunk Add-on for Amazon Web Services allows a Splunk software administrator to collect:
* Configuration snapshots, configuration changes, and historical configuration data from the AWS Config service.
* Metadata for your AWS EC2 instances, reserved instances, and EBS snapshots.
* Compliance details, compliance summary, and evaluation status of your AWS Config Rules.
* Assessment Runs and Findings data from the Amazon Inspector service.
* Management and change events from the AWS CloudTrail service.
* VPC flow logs and other logs from the CloudWatch Logs service.
* Performance and billing metrics from the AWS CloudWatch service.
* Billing reports that you have configured in AWS.
* S3, CloudFront, and ELB access logs.
* Generic data from your S3 buckets.
* Generic data from your Kinesis streams.
* Generic data from SQS.

This add-on provides modular inputs and CIM-compatible knowledge to use with other apps, such as the Splunk App for AWS, Splunk Enterprise Security and Splunk IT Service Intelligence.

Versions 5.0.0 and later of the Splunk Add-on for AWS is compatible only with Splunk Enterprise version 8.0.0 and above.","Internet-exposed service","Splunk Add-on for Amazon Web Services (AWS)",,"$it_operations_management$;$security_compliance$",,,,,
"Tripwire Inc.","security_compliance","https://splunkbase.splunk.com/app/2682/","2022-04-26","Quickly and easily visualize the overall health of your IT environment with the right data and the business context around that data. Tripwire IP360 offers rich host and vulnerability intelligence data, and Splunk provides the means to visualize the data in easy-to-implement dashboards. The combined solution helps deliver unprecedented security visibility for continuous risk assessment, incident investigation and correlation with other data sources through a CIM-compliant Splunk App.

You can download the required Tripwire IP360 Add-on for Splunk here: https://splunkbase.splunk.com/app/3052/","Exploit vulnerability","Tripwire IP360 App for Splunk Enterprise",,,,,,,
"Splunk Inc.","it_operations_management security_compliance","https://splunkbase.splunk.com/app/2772/","2023-01-09","Use the Splunk Add-on for Symantec Endpoint Protection (SEP) to collect SEP server and client activity logs from:

    - Symantec Endpoint Protection Manager dump files
    - Syslog, using Splunk forwarders and Splunk Connect for Syslog

You can collect the following log files:

    - Server Administration
    - Application and Device Control
    - Server Client
    - Server Policy
    - Server System
    - Client Packet
    - Client Proactive Threat
    - Client Risk
    - Client Scan
    - Client Security
    - Client System
    - Client Traffic","Command and control","Splunk Add-on for Symantec Endpoint Protection",,"$it_operations_management$;$security_compliance$",,,,,
"Nimish Doshi","security_compliance utilities","https://splunkbase.splunk.com/app/282/","2022-11-14","The purpose of this distribution is to create an easy way to encrypt data within events and decrypt data at search time depending on the role.  Read the README.txt on set up and usage.

The basic idea is to first encrypt data within an event and produce a new file with the same content as before, but with the data matching group(1) in a regular expression encrypted and saved on disk using base64. The next thing to do is index the newly required file into Splunk with a sourcetype.

At search time, you will then be able to decrypt the data. Read the README.txt for installation and usage. Two experimental dashboards have been added for Splunk 6+ that you can use in your own app to control access to decrypt.


PLEASE NOTE:  Use as is as this is a reference implementation.","Encrypt data","Encrypt and Decrypt data within Events",,"$security_compliance$;$utilities$",,,,,
"Fortinet Inc","security_compliance","https://splunkbase.splunk.com/app/2846/","2023-03-27","Fortinet FortiGate Add-On for Splunk is the technical add-on (TA) developed by Fortinet, Inc.  The add-on enables Splunk Enterprise to ingest or map security and traffic data collected from FortiGate physical and virtual appliances across domains. The key features include: 

•	Streamlining authentication and access from FortiGate such as administrator login, user login, VPN termination authentication into to Splunk Enterprise Security Access Center

•	Mapping FortiGate virus report into Splunk Enterprise Security Endpoint Malware Center

•	Ingesting traffic logs, IPS logs, system configuration logs and Web filtering data etc. 

Fortinet FortiGate Add-On for Splunk provides common information model (CIM) knowledge, advanced “saved search”, indexers and macros to use with other Splunk Enterprise apps such as Splunk App for Enterprise Security.

The compatible FOS version is 5.0 and later.",Malware,"Fortinet FortiGate Add-On for Splunk",,,,,,,
"Splunk Inc.","security_compliance","https://splunkbase.splunk.com/app/2891/","2022-11-12","The Splunk Add-on for CyberArk allows a Splunk software administrator to pull system logs and traffic statistics from Privileged Threat Analytics (PTA) 12.0 and Enterprise Password Vault (EPV) 12.0 using syslog in Common Event Format (CEF). This add-on extracts CyberArk real-time privileged account activities (such as individual user activity when using shared accounts) into the Splunk platform and Splunk Enterprise Security, providing a single place to analyze unusual account activity.

This add-on provides the inputs and CIM-compatible knowledge to use with other Splunk apps, such as Splunk Enterprise Security and the Splunk App for PCI Compliance.","Password guessing","Splunk Add-on for CyberArk",,,,,,,
