Phase number,Phase,Pathway start,Pathway end,Critical Control,Technique (CERT NZ),Software (CERT NZ),Technique
1,Initial access,Phishing,Valid credentials,Password manager,T1078 Valid Accounts,"S0266 Trickbot,Qakbot,S0483 IcedID,S0534 Bazar","T1566 Phishing,T1566.001 Spearphishing Attachment,T1566.002 Spearphishing Link,T1566.003 Spearphishing via Service,T1598 Phishing for Information,T1598.001 Spearphishing Service,T1598.002 Spearphishing Attachment,T1598.003 Spearphishing Link"
1,Initial access,Password guessing,Valid credentials,,T1110 Brute Force,"S0266 Trickbot,Qakbot,S0483 IcedID,S0534 Bazar",T1110.001 Password Guessing
1,Initial access,Exploit vulnerability,Internet-exposed service,"Patching, Internet-exposed services, Logging and alerting",T1133 External Remote Services,"S0266 Trickbot,Qakbot,S0483 IcedID,S0534 Bazar",T1190 Exploit Public-Facing Application
1,Initial access,Email,Malicious document,,,"S0266 Trickbot,Qakbot,S0483 IcedID,S0534 Bazar","T1087.003 Email Account,T1098.002 Exchange Email Delegate Permissions,T1114 Email Collection,T1114.001 Local Email Collection,T1114.002 Remote Email Collection,T1114.003 Email Forwarding Rule,T1564.008 Email Hiding Rules,T1585.002 Email Accounts,T1586.002 Email Accounts,T1589.002 Email Addresses"
1,Initial access,Valid credentials,Internet-exposed service,"Internet-exposed services, MFA, Logging and alerting","T1078 Valid Accounts,T1133 External Remote Services","S0266 Trickbot,Qakbot,S0483 IcedID,S0534 Bazar","T1078 Valid Accounts,T1078.001 Default Accounts,T1078.002 Domain Accounts,T1078.003 Local Accounts,T1078.004 Cloud Accounts"
1,Initial access,Malicious document,Malware,"Logging and alerting, Application allowlisting, Disable macros",,"S0266 Trickbot,Qakbot,S0483 IcedID,S0534 Bazar","T1204 User Execution,T1204.001 Malicious Link,T1204.002 Malicious File,T1204.003 Malicious Image"
1,Initial access,Internet-exposed service,Command and control,"Logging and alerting, Application allowlisting",,"S0266 Trickbot,Qakbot,S0483 IcedID,S0534 Bazar",T1133 External Remote Services
1,Initial access,Malware,Command and control,"Logging and alerting, Application allowlisting",,"S0266 Trickbot,Qakbot,S0483 IcedID,S0534 Bazar","T1587.001 Malware,T1588.001 Malware,T1608.001 Upload Malware"
2,Consolidation and preparation,Command and control,Lateral movement,"Patching, Network segmentation, Principle of least privilege, Logging and alerting, MFA",T1573 Encrypted Channel,S0154 Cobalt Strike,"T1001 Data Obfuscation,T1001.001 Junk Data,T1001.002 Steganography,T1001.003 Protocol Impersonation,T1008 Fallback Channels,T1071 Application Layer Protocol,T1071.001 Web Protocols,T1071.002 File Transfer Protocols,T1071.003 Mail Protocols,T1071.004 DNS,T1090 Proxy,T1090.001 Internal Proxy,T1090.002 External Proxy,T1090.003 Multi-hop Proxy,T1090.004 Domain Fronting,T1092 Communication Through Removable Media,T1095 Non-Application Layer Protocol,T1102 Web Service,T1102.001 Dead Drop Resolver,T1102.002 Bidirectional Communication,T1102.003 One-Way Communication,T1104 Multi-Stage Channels,T1105 Ingress Tool Transfer,T1132 Data Encoding,T1132.001 Standard Encoding,T1132.002 Non-Standard Encoding,T1205 Traffic Signaling,T1205.001 Port Knocking,T1219 Remote Access Software,T1568 Dynamic Resolution,T1568.001 Fast Flux DNS,T1568.002 Domain Generation Algorithms,T1568.003 DNS Calculation,T1571 Non-Standard Port,T1572 Protocol Tunneling,T1573 Encrypted Channel,T1573.001 Symmetric Cryptography,T1573.002 Asymmetric Cryptography"
2,Consolidation and preparation,Command and control,Privilege escalation,"Patching, Network segmentation, Principle of least privilege, Logging and alerting, MFA",T1573 Encrypted Channel,S0154 Cobalt Strike,"T1001 Data Obfuscation,T1001.001 Junk Data,T1001.002 Steganography,T1001.003 Protocol Impersonation,T1008 Fallback Channels,T1071 Application Layer Protocol,T1071.001 Web Protocols,T1071.002 File Transfer Protocols,T1071.003 Mail Protocols,T1071.004 DNS,T1090 Proxy,T1090.001 Internal Proxy,T1090.002 External Proxy,T1090.003 Multi-hop Proxy,T1090.004 Domain Fronting,T1092 Communication Through Removable Media,T1095 Non-Application Layer Protocol,T1102 Web Service,T1102.001 Dead Drop Resolver,T1102.002 Bidirectional Communication,T1102.003 One-Way Communication,T1104 Multi-Stage Channels,T1105 Ingress Tool Transfer,T1132 Data Encoding,T1132.001 Standard Encoding,T1132.002 Non-Standard Encoding,T1205 Traffic Signaling,T1205.001 Port Knocking,T1219 Remote Access Software,T1568 Dynamic Resolution,T1568.001 Fast Flux DNS,T1568.002 Domain Generation Algorithms,T1568.003 DNS Calculation,T1571 Non-Standard Port,T1572 Protocol Tunneling,T1573 Encrypted Channel,T1573.001 Symmetric Cryptography,T1573.002 Asymmetric Cryptography"
