phase,type,event,date,title,description,Presenter,link,"__mv_phase","__mv_type","__mv_event","__mv_date","__mv_title","__mv_description","__mv_Presenter","__mv_link"
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","Curating Your Risk Ecology: Making Risk Based Alerting Magick","Risk-based alerting (RBA) is a transformational methodology to reduce alerts, close gaps, and derive more value from every security data source. Still, it can be difficult to immediately understand what to standardize, prioritize, and operationalize with this approach. After implementing RBA and talking with many folks who have built a strong foundation that is now smooth sailing, I've got a few techniques to try, structures to build and principles you can use to ensure your RBA implementation's success.","Haylee Mills, Security Strategist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1144C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data Internet-exposed service",Conf,".conf22","2022-06-14","Dynamic Asset Inventory Generation: Fixing the Toughest Compliance Problem Nobody Knows About","More and more customers are (finally) focusing on compliance and cyber hygiene. Yet, they quickly realize that before they can even assess compliance, they need to know their assets, and most asset inventories and CMDBs are a mess (if they even exist)!

We use Splunk to close the gap in two steps. First, we use Splunk® Enterpise Security to join information about assets from across as many datasets as needed, creating a lookup (or KV Store). Second, we use those lookups to dynamically generate eventtypes and tags to use in some Splunk premium apps.

Every compliance standard requires a functioning asset inventory, including SOX, HIPAA, FISMA, GDPR and many more! You need to know what’s there before securing what’s there.","Karthik Subramanian, Vice President, Technical Engagements, Qmulos Sam Harper, Director, Cloud Services, Qmulos","https://conf.splunk.com/watch/conf-online.html?search=SEC1154B","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,"$Karthik Subramanian, Vice President, Technical Engagements, Qmulos$;$Sam Harper, Director, Cloud Services, Qmulos$",
"Command and control",Conf,".conf22","2022-06-14","Build Detection as Code Like the Splunk Threat Research Team","How do you know that your Organization is protected from the threat in the news? How agile can your SecOps Team react to design, test and operationalize a new detection technique? How do you know your detection content has high quality and continues to work in a month from now? Modern SecOps Teams have to apply software engineering principles to write and manage detection. This is called Detection-as-Code. By adopting this new paradigm, detection engineering teams can build scalable processes for creating and hardening analytics to identify sophisticated threats. The Splunk Threat Research Team has implemented Detection-as-Code and operates under this manner. In this talk, we will share best practices for collaborating with version control, test-driven development and automated workflows with continuous integration/continuous deployment (CI/CD). We will show how you can adopt the Detection-as-Code principle and become an extended part of the Splunk Security Research Team by forking security_content.","Eric McGinnis, Senior Threat Researcher, Splunk Patrick Bareiss, Principal Threat Research Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1197C",,,,,,,"$Eric McGinnis, Senior Threat Researcher, Splunk$;$Patrick Bareiss, Principal Threat Research Engineer, Splunk$",
"Data exfiltration Encrypt data Malware",Conf,".conf22","2022-06-14","DevSecOps - Detecting Suspicious GitHub Behavior With Risk Based Alerting and Enterprise Security","The list of software compromised through supply chain attacks is long: Solarwinds Orion, Mimecast, Kaseya and many more. These attacks compromised the source code repositories to distribute malware to the users. This talk will focus on detecting suspicious GitHub behavior to discover attacks on GitHub repositories. We are excited to talk about different attack patterns on GitHub, share best practices for onboarding of GitHub data and how to detect them with risk-based alerting (RBA). An end-to-end demo will explain everything you need to know to start detecting attacks on your GitHub projects.","Mauricio Velazco, Principal Threat Research Engineer, Splunk Patrick Bareiss, Principal Threat Research Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1198C","$Data exfiltration$;$Encrypt data$;$Malware$",,,,,,"$Mauricio Velazco, Principal Threat Research Engineer, Splunk$;$Patrick Bareiss, Principal Threat Research Engineer, Splunk$",
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","SCADA, OT & Cybersecurity, Oh My!","I am now responsible for securing my OT environment for my company, but where do I start? I use Splunk for cybersecurity, but how do I incorporate OT data without overwhelming my SOC analysts with new alerts? How do I use other OT Security technologies and bring them together in Splunk? In this session, we will focus on how to drive your OT Security initiatives forward using Splunk Enterprise Security. Attend to learn more about how to use Splunk’s OT Security solutions for visibility end-to-end, how to integrate OT data into the Converged SOC, and how organizations are taking advantage of new features like Risk Base Alerting within an OT context.","Chris Duffey, OT Security Specialist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1200C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","AI, ML.....I Call BS : The ‘Risky’ Reality of Machine Learning for Security Threat Detection","As the hype, misinformation and misunderstanding around machine learning (ML) and artificial intelligence (AI) continues unabated, it has become difficult for the everyday analyst to make sense of and understand the value of ML for threat detection. The reality is any security analyst with an intermediate grasp of data analytics can take advantage of ML approaches. In this session, we will walk you through the process to understand which use cases qualify for ML and any corresponding types of ML algorithms and the process to build and apply ML models for behavioral anomaly detection. We will demonstrate common examples, and best practices using ML detections with risk-based alerting (RBA) approaches.","James Young, Staff Security Strategist, Splunk Kelcie Bourne, Security Strategist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1209C","$Data exfiltration$;$Encrypt data$",,,,,,"$James Young, Staff Security Strategist, Splunk$;$Kelcie Bourne, Security Strategist, Splunk$",
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","Linux Threat Detection with Attack Range","The release of Microsoft Sysmon for Linux gives defenders new opportunities for monitoring, management, and detection development focusing on Linux operating systems. The Splunk threat research team has developed several analytic stories addressing Linux threat detection. In this presentation, presenters showcase how to use the latest Splunk Attack Range to replicate, record, analyze and develop detections based on Linux Sysmon data. We will also cover the importance of monitoring and hardening Linux systems and available Splunk® SOAR tools in order to automate investigation and response.","Rod Soto, Principal Security Research Engineer, Splunk Teoderick Contreras, Senior Threat Research Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1215C","$Data exfiltration$;$Encrypt data$",,,,,,"$Rod Soto, Principal Security Research Engineer, Splunk$;$Teoderick Contreras, Senior Threat Research Engineer, Splunk$",
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","Got Assets? Defending Your Assets Part Two: You Asked for It!","Got assets? We all do, yet we all struggle to identify and contextualize those assets. If only we could rely on our CMDB! At .conf21, we discussed the basics of how to do this with Splunk® Enterprise Security and the asset and identity framework. Join us this year as we go deeper and answer some of your best questions from that session. We'll focus on the technical and architectural aspects of integrating asset data into Splunk Enterprise Security, look at the scalability of the ES asset and identity framework and dive into the Key Value (KV) Store. We'll include some more detailed examples of setting up asset and identity data in a real-world context. Let's also investigate how best to set up asset and identity framework (A&I) in order to take advantage of the risk framework and RBA!","Megan Parsons, Security Strategist, Splunk Scott McCarthy, Senior SOAR Engineer, National Grid","https://conf.splunk.com/watch/conf-online.html?search=SEC1219B","$Data exfiltration$;$Encrypt data$",,,,,,"$Megan Parsons, Security Strategist, Splunk$;$Scott McCarthy, Senior SOAR Engineer, National Grid$",
"Data exfiltration Encrypt data Malicious document",Conf,".conf22","2022-06-14","The Inside Word on Insider Threat Detection","While insider risk and traditional external threat detection must be treated as separate disciplines, there are some important overlaps in data sources, adversary tactics and detection techniques. In this session, we compare the requirements of insider and traditional threat detection techniques and demonstrate practical ways to combine the two using frameworks such as MITRE ATT&CK and MITRE’s behavior-based malicious insider indicators.","David Gamer, Staff Sales Engineer, Splunk Lynsey Wolf, i3 Investigations Team Lead, DTEX Systems","https://conf.splunk.com/watch/conf-online.html?search=SEC1236C","$Data exfiltration$;$Encrypt data$;$Malicious document$",,,,,,"$David Gamer, Staff Sales Engineer, Splunk$;$Lynsey Wolf, i3 Investigations Team Lead, DTEX Systems$",
"Exploit vulnerability",Conf,".conf22","2022-06-14","Log4j Matchmaking: An Introduction To Generating Adversarial Logs","<p>Still recovering from the Log4j blues? Let’s not rehash the ruined holidays or sleepless nights. Instead, let’s explore two separate open-source tools that may help us miss less sleep next holiday season. Both tools, Splunk Attack Range and Synthetic Adversarial Log Objects (SALO), were developed by Splunk threat researchers.Together, we will learn how to use these tools to automatically build infrastructure to test and generate adversarial logs targeting our fictitious network with a Log4j vulnerability. We will then use the information we gather to leverage SALO to generate synthetic logs mimicking this adversarial behavior without the need to build any infrastructure or execute any exploits.</p>
","Jose Hernandez, Sr Manager, Threat Research, Splunk Marcus LaFerrera, Senior Manager, SURGe, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1258C",,,,,,,"$Jose Hernandez, Sr Manager, Threat Research, Splunk$;$Marcus LaFerrera, Senior Manager, SURGe, Splunk$",
