phase,type,title,description,author,date,link,"__mv_phase","__mv_type","__mv_title","__mv_description","__mv_author","__mv_date","__mv_link"
"Command and control
Command and control",playbook,"CrowdStrike OAuth API Dynamic Analysis","""Accepts url link, domain or vault_id (hash) to be detonated using CrowdStrike OAuth API connector. This playbook produces a normalized output for each user and device.""","Teoderick Contreras, Splunk","2023-03-23","https://github.com/splunk/security_content/blob/develop/playbooks/CrowdStrike_OAuth_API_Dynamic_Analysis.json","$Command and control$;$Command and control$",,,,,,
"Command and control",playbook,"Dynamic Analysis Dispatch","Automatically dispatches input playbooks with the 'sandbox' tag.","Teoderick Contreras, Splunk","2023-03-30","https://github.com/splunk/security_content/blob/develop/playbooks/Dynamic_Analysis_Dispatch.json",,,,,,,
"Command and control",playbook,"Dispatch Identifier Reputation Analysis","""Detects available indicators and routes them to indicator reputation analysis playbooks. The output of the analysis will update any artifacts, tasks, and indicator tags. https://d3fend.mitre.org/technique/d3f:IdentifierReputationAnalysis/""","Kelby Shelton, Splunk","2023-01-11","https://github.com/splunk/security_content/blob/develop/playbooks/Identifier_Reputation_Analysis_Dispatch.json",,,,,,,
"Command and control
Phishing",playbook,"PhishTank URL Reputation Analysis","""Accepts a URL and does reputation analysis on the objects. Generates a global report and a per observable sub-report and normalized score. The score can be customized as desired.""","Kelby Shelton, Splunk","2023-01-11","https://github.com/splunk/security_content/blob/develop/playbooks/PhishTank_URL_Reputation_Analysis.json","$Command and control$;$Phishing$",,,,,,
"Command and control",playbook,"Splunk_Attack_Analyzer_Dynamic_Analysis","""Accepts url link, domain or vault_id (hash) to be detonated using Splunk Attacker (SAA) API connector. This playbook produces a normalized output for each user and device.""","Teoderick Contreras, Splunk","2023-03-24","https://github.com/splunk/security_content/blob/develop/playbooks/Splunk_Attack_Analyzer_Dynamic_Analysis.json",,,,,,,
"Command and control",playbook,"UrlScan IO Dynamic Analysis","""Accepts a url link, IP, or domain to be detonated using urlscan.io API connector.""","Teoderick Contreras, Splunk","2023-03-23","https://github.com/splunk/security_content/blob/develop/playbooks/UrlScan_IO_Dynamic_Analysis.json",,,,,,,
"Command and control",playbook,"VirusTotal V3 Dynamic Analysis","""Accepts a url link, domain or vault_id (hash) to be detonated using Virustotal V3 connector.""","Teoderick Contreras, Splunk","2023-03-23","https://github.com/splunk/security_content/blob/develop/playbooks/VirusTotal_v3_Dynamic_Analysis.json",,,,,,,
"Command and control
Command and control",playbook,"VirusTotal v3 Identifier Reputation Analysis","""Accepts a URL, IP, Domain, or File_Hash and does reputation analysis on the objects. Generates a global report and a per observable sub-report and normalized score. The score can be customized based on a variety of factors.""","Kelby Shelton, Lou Stella, Splunk","2023-01-11","https://github.com/splunk/security_content/blob/develop/playbooks/VirusTotal_v3_Identifier_Reputation_Analysis.json","$Command and control$;$Command and control$",,,,,,
"Valid credentials",playbook,"Active Directory Reset password","This playbook resets the password of a potentially compromised user account. First, an analyst is prompted to evaluate the situation and choose whether to reset the account. If they approve, a strong password is generated and the password is reset.","Philip Royer, Splunk","2020-12-08","https://github.com/splunk/security_content/blob/develop/playbooks/activedirectory_reset_password.json",,,,,,,
"Valid credentials
Valid credentials",playbook,"AWS Disable User Accounts","""Disable a list of AWS IAM user accounts. After checking the list of accounts against an allowlist and confirming with an analyst, each account is disabled. The change can be reversed with the `enable user` action.""","Philip Royer, Splunk","2021-11-01","https://github.com/splunk/security_content/blob/develop/playbooks/aws_disable_user_accounts.json","$Valid credentials$;$Valid credentials$",,,,,,
