AsepClass,AsepClass_meaning
0,UNKNOWN
1,SYSTEM_STARTUP_AUTORUN
2,SYSTEM_SHUTDOWN_AUTORUN
3,USER_LOGON_AUTORUN
4,USER_LOGOFF_AUTORUN
5,APP_START_AUTORUN
6,APP_EXTENSION
7,SERVICE
8,AUTHENTICATION
9,CORE_PROCESSES
10,CUSTOM_PROCESSES
11,CORE_SERVICES
12,CORE_SERVICE_PLUGINS
13,SERVER_PLUGINS
14,NETWORK_SERVICE_PLUGINS
15,LANG_SERVICE_PLUGINS
16,MULTIMEDIA_PLUGINS
17,SHELL_PLUGINS
18,IE_COM_PLUGINS
19,COM_REGISTRATION
20,PRINTERS
21,TERMINAL_SERVER
22,GRAPHICS_CORE
23,SYSTEM_CONFIG
100,BOOT_CONFIGURATION_DATA
101,CROWDSTRIKE_KEY
