EndpointDescriptorAttributes,EndpointDescriptorAttributes_meaning
0,CONTROL_TRANSFER
1,ISOCHRONOUS_NOSYNCH_DATA_TRANSFER
2,BULK_TRANSFER
3,PERIODIC_INTERRUPT_TRANSFER
5,ISOCHRONOUS_ASYNCH_DATA_TRANSFER
9,ISOCHRONOUS_ADAPTIVE_DATA_TRANSFER
13,ISOCHRONOUS_SYNCH_DATA_TRANSFER
17,ISOCHRONOUS_NOSYNCH_FEEDBACK_TRANSFER
19,NOTIFICATION_INTERRUPT_TRANSFER
21,ISOCHRONOUS_ASYNCH_FEEDBACK_TRANSFER
25,ISOCHRONOUS_ADAPTIVE_FEEDBACK_TRANSFER
29,ISOCHRONOUS_SYNCH_FEEDBACK_TRANSFER
33,ISOCHRONOUS_NOSYNCH_IMPLICIT_FEEDBACK_TRANSFER
37,ISOCHRONOUS_ASYNCH_IMPLICIT_FEEDBACK_TRANSFER
41,ISOCHRONOUS_ADAPTIVE_IMPLICIT_FEEDBACK_TRANSFER
45,ISOCHRONOUS_SYNCH_IMPLICIT_FEEDBACK_TRANSFER
