ErrorStatus,ErrorStatus_meaning
1611792385,WARNING_CONFIGZERO_FALLBACK
3759276032,ERROR_UNSPECIFIC_FAILURE
3759276033,ERROR_UNHANDLED_EVENT_TYPE
3759276034,ERROR_REGISTRY_LEFT_OPEN
3759276035,ERROR_SERVICE_RESTART
3759276036,ERROR_RPC_PROXY_TYPE
3759276037,ERROR_RELEASE_MISMATCH
3759276038,ERROR_MISSING_AID
3759276039,ERROR_OSFM_FEATURE_MISSING
3759276040,ERROR_UPDATE_FAILURE
3759276041,ERROR_UNSUPPORTED_COMPUTER_CONFIGURATION
3759276042,ERROR_USER_CALLBACK_REGISTRATION_FAILED
3759276043,ERROR_UM_INJECTION_ABORTED
3759276044,ERROR_UNLOAD_FAILURE
3759276045,ERROR_UM_INJECTION_FAILURE
3759276046,ERROR_INLINE_HOOKING_FAILED
3759276047,ERROR_DEVICE_CONTROL_ECL_INTERFACE_CONNECTION_FAILED
3759276048,ERROR_DEVICE_CONTROL_NOTIFY_CALLBACK_FAILED
3759276049,ERROR_DEVICE_CONTROL_INTERFACE_COMMAND_FAILED
3759276050,ERROR_DEVICE_CONTROL_NO_INSTANCE_ID
3759276051,ERROR_DEVICE_CONTROL_INTERFACE_FDO_FAILED
3759276052,ERROR_DEVICE_CONTROL_SAFE_MODE_DETECTED
3759276053,ERROR_DEVICE_CONTROL_DEVICE_ATTACH_FAILED
3759276054,ERROR_DEVICE_CONTROL_NO_PARENT_HUB_INFO
3759276055,ERROR_DEVICE_CONTROL_ENUMERATION_FAILED
3759276056,ERROR_DEVICE_CONTROL_DEVICE_START_FAILED
3759276057,ERROR_UM_PROXYDISCOVERY_FAILURE
3759276058,ERROR_UMPPA_INITIALIZATION_FAILURE
3759276059,ERROR_REMOTE_FILE_TOO_LARGE
3759276060,ERROR_UM_INJECTION_BAD_ALERT
3759276061,ERROR_CSA_THREAD_TERMINATING
3759276062,ERROR_DEVICE_CONTROL_POLICY_MANAGER_FAILURE
3759276063,ERROR_FS_DEVICE_INSTANCE_ID_RETRIEVAL_FAILURE
3759276064,ERROR_QUARANTINE_DELETE_RETRIES_EXCEEDED
3759276065,ERROR_DEVICE_CONTROL_SERIAL_NUMBER_MISSING
3759276066,ERROR_UM_INVALID_THREAD
3759276067,ERROR_UM_CFG_CHECK
3759276068,ERROR_UM_FILE_SECTION
3759276069,ERROR_UM_ADDRESS_LOOKUP
3759276070,ERROR_UM_INSERT_APC
3759276071,ERROR_UM_COPY_FAILURE
3759276072,ERROR_UMPPC_FAILED_TO_LOAD
3759276073,ERROR_UMPPC_LOAD_ERROR
3759276074,ERROR_CLEARCASE_MVFS_FILE_TOO_LARGE
3759276075,ERROR_UMPPA_INIT_UMPPC
3759276076,ERROR_UMPPA_INIT_EXTENSIONS
3759276077,ERROR_MODULE_LOAD_DISABLED
3759276078,ERROR_UMPPA_CHANNEL_NOTIFICATION_FAILURE
3759276079,ERROR_PROCESS_RUNDOWN_PROCESS_LIST_FAILURE
3759276080,ERROR_PROCESS_RUNDOWN_SPR2_FAILURE
3759276081,ERROR_SPOTLIGHT_ENUMERATION_FAILED
3759276082,ERROR_ZTA_FILE_WRITE_FAILED
3759276083,ERROR_ZTA_HASH_STORE_FAILED
3759276084,ERROR_ZTA_CURRENT_DISABLED
3759276085,ERROR_ZTA_FILE_EMPTY
3759276086,ERROR_ZTA_FILE_ACCESS_FAILED
3759276087,ERROR_ZTA_LOCATION_UNSUPPORTED
3759276088,ERROR_ZTA_ACL_UNSUPPORTED
3759276089,ERROR_ZTA_FILE_HANDLE_INVALID
3759276090,ERROR_USERIDENTITY_LOGONDATA_FAILURE
3759276091,ERROR_EVENT_MISSING_REQUIRED_FIELD
3759276092,ERROR_FIELD_DOES_NOT_EXIST
