ExceptionCode,ExceptionCode_meaning
0,STATUS_SUCCESS
1611595795,STATUS_UMPP_DELAY_HOOK
3221225477,EXCEPTION_ACCESS_VIOLATION
3221225501,STATUS_ILLEGAL_INSTRUCTION
3221225622,STATUS_PRIVILEGED_INSTRUCTION
3759079483,STATUS_UMPP_NO_HOOK_ACG
3759079500,STATUS_UMPP_INJECTION_UWP_ABORTED
3759079520,STATUS_UMPP_INJECTION_SECUREPROCESS_ABORTED
3759079521,STATUS_UMPP_INJECTION_PROTECTEDPROCESS_ABORTED
3759079522,STATUS_UMPP_INJECTION_MITIGATIONS_ABORTED
3759079523,STATUS_UMPP_INJECTION_AVCOMPAT_ABORTED
