FsOperationClassification,FsOperationClassification_meaning
0,CLASS_INVALID
1,CLASS_SUPPRESS
2,CLASS_GENERIC
3,CLASS_INJECTED_DLLS_MODIFY
4,CLASS_SERVICE_BINS_MODIFY
5,CLASS_CORE_DRIVERS_MODIFY
6,CLASS_EXTRA_DRIVERS_MODIFY
7,CLASS_SUPPORT_TOOLS_MODIFY
8,CLASS_INSTALLER_CACHES_MODIFY
9,CLASS_OSFM_AND_CHANNELS_MODIFY
10,CLASS_CS_PROGRAM_FILES_MODIFY
11,CLASS_SUPPRESS_V1
12,CLASS_GENERIC_V1
13,CLASS_INJECTED_DLLS_MODIFY_V1
14,CLASS_SERVICE_BINS_MODIFY_V1
15,CLASS_CORE_DRIVERS_MODIFY_V1
16,CLASS_EXTRA_DRIVERS_MODIFY_V1
17,CLASS_SUPPORT_TOOLS_MODIFY_V1
18,CLASS_INSTALLER_CACHES_MODIFY_V1
19,CLASS_OSFM_AND_CHANNELS_MODIFY_V1
20,ANTI_TAMPERING_END_BOUNDARY_V1
21,CLASS_INJECTED_DLLS_MODIFY_V2
22,CLASS_SERVICE_BINS_MODIFY_V2
23,CLASS_CORE_DRIVERS_MODIFY_V2
24,CLASS_EXTRA_DRIVERS_MODIFY_V2
25,CLASS_INSTALLER_CACHES_MODIFY_V2
26,CLASS_OSFM_AND_CHANNELS_MODIFY_V2
27,ANTI_TAMPERING_END_BOUNDARY_V2
31,CLASS_TAMPER_END_BOUNDARY
32,CLASS_GENERIC_START_BOUNDARY
511,CLASS_GENERIC_END_BOUNDARY
