HIDDescriptorCountryCode,HIDDescriptorCountryCode_meaning
0,NOT_SUPPORTED
1,ARABIC
2,BELGIAN
3,CANADIAN_BILINGUAL
4,CANADIAN_FRENCH
5,CZECH_REPUBLIC
6,DANISH
7,FINNISH
8,FRENCH
9,GERMAN
10,GREEK
11,HEBREW
12,HUNGARY
13,INTERNATIONAL_ISO
14,ITALIAN
15,JAPAN_KATAKANA
16,KOREAN
17,LATIN_AMERICAN
18,NETHERLANDS_DUTCH
19,NORWEGIAN
20,PERSIAN_FARSI
21,POLAND
22,PORTUGUESE
23,RUSSIA
24,SLOVAKIA
25,SPANISH
26,SWEDISH
27,SWISS_FRENCH
28,SWISS_GERMAN
29,SWITZERLAND
30,TAIWAN
31,TURKISH_Q
32,UK
33,US
34,YUGOSLAVIA
35,TURKISH_F
