HarmfulAppCategory,HarmfulAppCategory_meaning
1,HARMFUL_CATEGORY_RANSOMWARE
2,HARMFUL_CATEGORY_PHISHING
3,HARMFUL_CATEGORY_TROJAN
4,HARMFUL_CATEGORY_UNCOMMON
5,HARMFUL_CATEGORY_FRAUDWARE
6,HARMFUL_CATEGORY_TOLL_FRAUD
7,HARMFUL_CATEGORY_WAP_FRAUD
8,HARMFUL_CATEGORY_CALL_FRAUD
9,HARMFUL_CATEGORY_BACKDOOR
10,HARMFUL_CATEGORY_SPYWARE
11,HARMFUL_CATEGORY_GENERIC_MALWARE
12,HARMFUL_CATEGORY_HARMFUL_SITE
13,HARMFUL_CATEGORY_WINDOWS_MALWARE
14,HARMFUL_CATEGORY_HOSTILE_DOWNLOADER
15,HARMFUL_CATEGORY_NON_ANDROID_THREAT
16,HARMFUL_CATEGORY_ROOTING
17,HARMFUL_CATEGORY_PRIVILEGE_ESCALATION
18,HARMFUL_CATEGORY_TRACKING
19,HARMFUL_CATEGORY_SPAM
20,HARMFUL_CATEGORY_DENIAL_OF_SERVICE
21,HARMFUL_CATEGORY_DATA_COLLECTION
