HookedPointerType,HookedPointerType_meaning
0,INVALID
1,INIT
2,STARTIO
3,UNLOAD
4,DEVICEOBJECTDRIVEROBJECT
5,IRPMJCREATE
6,IRPMJCREATENAMEDPIPE
7,IRPMJCLOSE
8,IRPMJREAD
9,IRPMJWRITE
10,IRPMJQUERYINFORMATION
11,IRPMJSETINFORMATION
12,IRPMJQUERYEA
13,IRPMJSETEA
14,IRPMJFLUSHBUFFERS
15,IRPMJQUERYVOLUMEINFORMATION
16,IRPMJSETVOLUMEINFORMATION
17,IRPMJDIRECTORYCONTROL
18,IRPMJFILESYSTEMCONTROL
19,IRPMJDEVICECONTROL
20,IRPMJINTERNALDEVICECONTROL
21,IRPMJSHUTDOWN
22,IRPMJLOCKCONTROL
23,IRPMJCLEANUP
24,IRPMJCREATEMAILSLOT
25,IRPMJQUERYSECURITY
26,IRPMJSETSECURITY
27,IRPMJPOWER
28,IRPMJSYSTEMCONTROL
29,IRPMJDEVICECHANGE
30,IRPMJQUERYQUOTA
31,IRPMJSETQUOTA
32,FASTIOREAD
33,FASTIOWRITE
34,FASTIOQUERYBASICINFO
35,FASTIOQUERYSTANDARDINFO
36,FASTIODEVICECONTROL
37,FASTIOQUERYNETWORKOPENINFO
38,FASTIOMDLREAD
39,FASTIOMDLREADCOMPLETE
40,FASTIOPREPAREMDLWRITE
41,FASTIOMDLWRITECOMPLETE
42,FASTIOREADCOMPRESSED
43,FASTIOWRITECOMPRESSED
44,FASTIOMDLREADCOMPLETECOMPRESSED
45,FASTIOMDLWRITECOMPLETECOMPRESSED
46,FASTIOQUERYOPEN
47,NDIS5OPENBLOCKRECEIVEHANDLER
48,NDIS5OPENBLOCKRECEIVECOMPLETEHANDLER
49,NDIS5OPENBLOCKRECEIVEPACKETHANDLER
50,NDIS5OPENBLOCKSENDHANDLER
51,NDIS5OPENBLOCKSENDCOMPLETEHANDLER
52,NDIS5OPENBLOCKSENDPACKETSHANDLER
53,NDIS5OPENBLOCKTRANSFERDATAHANDLER
54,NDIS5OPENBLOCKTRANSFERDATACOMPLETEHANDLER
55,NDIS5OPENBLOCKRECEIVENETBUFFERLISTSHANDLER
56,NDIS6OPENBLOCKPROTOCOLSENDNETBUFFERLISTSCOMPLETEHANDLER
57,NDIS6OPENBLOCKPROTOCOLRECEIVENETBUFFERLISTSHANDLER
58,NDIS5MINIPORTBLOCKSENDPACKETSHANDLER
59,NDIS6PROTOCOLBLOCKRECEIVENETBUFFERLISTSHANDLER
60,NDIS6PROTOCOLBLOCKSENDNETBUFFERLISTSCOMPLETEHANDLER
61,NDIS6FILTERBLOCKNEXTSENDNETBUFFERLISTSCOMPLETEHANDLER
62,NDIS6FILTERBLOCKRETURNNETBUFFERLISTSHANDLER
63,NDIS6FILTERBLOCKFILTERSENDNETBUFFERLISTSHANDLER
