HttpVisibilityStatusReason,HttpVisibilityStatusReason_meaning
1,REASON_ENABLED
2,REASON_DISABLED
3,REASON_ERROR_COULD_NOT_START
4,REASON_ERROR_COULD_NOT_START_STOP
5,REASON_ERROR_DISABLED
6,REASON_ERROR_COULD_NOT_STOP
7,REASON_BAD_DATA
8,REASON_BAD_HEADER_END
9,REASON_BAD_HEADER_CODE
10,REASON_BAD_INDICATED_LENGTH
11,REASON_BAD_REQUIRED_LENGTH
12,REASON_BAD_BUFFER_LIMIT
13,REASON_BAD_CAPTURE
14,REASON_ERROR_THROW
15,REASON_ERROR_QUEUE
16,REASON_PERIODIC
17,REASON_MISSING_PROCESS
18,REASON_BAD_HEADER_URL
19,REASON_BAD_HEADER_UNICODE
