InterfaceGuid,InterfaceGuid_meaning
2412069341428182633207713507271774211,WINREG
73841726827644574320132068595241126674,BITSJOB
82508809336647230654648091337707475455,VSSSOFTWARESNAPSHOTPROVIDER
97500048380073784365750892119335238924,ITASKSCHEDULERSERVICE
121367533005861681461576054847531180172,VSSPROVCREATESNAPSHOTSET
159960145448404702327966120361641609644,SAMR
172443849722322458118105166679598174211,SVCCTL
204515944799677958888377619406178631879,IWBEMSERVICES
266744886918508568919187450154098661104,SSPIRPRC
292758075101678573331253975571375072234,EVENTSVCLEGACY
301991270698496353333203549261415115356,IUSERPROFILE
329231840064844765340085534139467969404,EVENTSVC
