LfoUploadExtendedStatus,LfoUploadExtendedStatus_meaning
0,LFO_SUCCESS
1,LFO_WAIT_RECEIVE_ERROR
2,LFO_RECEIVE_TIMEOUT
16,LFO_NEW_CONNECT_SOCKET_CREATE_ERROR
17,LFO_NEW_CONNECT_INIT_CONNECT_MSG_ERROR
18,LFO_NEW_CONNECT_ENDPOINT_CREATE_ERROR
19,LFO_NEW_CONNECT_GET_ENDPOINT_ERROR
20,LFO_NEW_CONNECT_CONNECT_ERROR
21,LFO_NEW_CONNECT_SEND_ERROR
22,LFO_NEW_CONNECT_RECEIVE_ERROR
23,LFO_NEW_CONNECT_RECEIVE_TIMEOUT
24,LFO_NEW_CONNECT_RESPONSE_SIZE_INVALID
25,LFO_NEW_CONNECT_RESPONSE_MAGIC_INVALID
32,LFO_RECEIVE_ERROR
33,LFO_RECEIVE_DATA_SIZE_TOO_SMALL
34,LFO_RECEIVE_DATA_SIZE_INVALID
35,LFO_RECEIVE_MAGIC_INVALID
36,LFO_RECEIVE_VERSION_INVALID
37,LFO_RECEIVE_STREAM_ID_UNKNOWN
38,LFO_RECEIVE_ITEM_STATE_INVALID
39,LFO_RECEIVE_PAYLOAD_REASON_ERROR
40,LFO_RECEIVE_UPLOAD_FLAGS_ERROR
41,LFO_RECEIVE_PARTIAL_MESSAGE
42,LFO_RECEIVE_TERMINATION
48,LFO_REQUEST_STATE_INVALID
49,LFO_TOO_MANY_RETRIES
50,LFO_UNIMPLEMENTED
51,LFO_FILE_PATH_EXCLUDED
52,LFO_FILE_ALREADY_UPLOADED
64,LFO_PUT_REQUEST_FILE_OPEN_ERROR
65,LFO_PUT_REQUEST_HASH_ERROR
66,LFO_PUT_REQUEST_FILE_SIZE_ERROR
67,LFO_PUT_REQUEST_FILE_SIZE_TOO_LARGE
68,LFO_PUT_REQUEST_FILE_NAME_TOO_LONG
69,LFO_PUT_REQUEST_MESSAGE_ALLOC_ERROR
70,LFO_PUT_REQUEST_UTF8_ENCODE_ERROR
71,LFO_PUT_REQUEST_SOCKET_SEND_ERROR
72,LFO_PUT_REQUEST_GET_QUARANTINED_FILES_ERROR
73,LFO_PUT_REQUEST_COULD_NOT_FIND_QUARANTINED_FILE
74,LFO_PUT_REQUEST_FILE_OPEN_QUARANTINE_ERROR
75,LFO_PUT_REQUEST_QUARANTINE_DECODE_METADATA_ERROR
76,LFO_PUT_REQUEST_QUARANTINE_FILE_NOT_FOUND_ERROR
77,LFO_PUT_REQUEST_QUARANTINE_FILE_STRING_DUPLICATE_ERROR
80,LFO_PUT_PAYLOAD_FILE_OPEN_ERROR
81,LFO_PUT_PAYLOAD_FILE_SIZE_ERROR
82,LFO_PUT_PAYLOAD_FILE_SIZE_INVALID
83,LFO_PUT_PAYLOAD_DATA_ALLOC_ERROR
84,LFO_PUT_PAYLOAD_FILE_SIZE_TOO_LARGE
85,LFO_PUT_PAYLOAD_SEND_HDR_ERROR
86,LFO_PUT_PAYLOAD_SEND_READ_FILE_ERROR
87,LFO_PUT_PAYLOAD_SEND_SEND_DATA_ERROR
88,LFO_PUT_PAYLOAD_SEND_CHECKSUM_ERROR
