ProcessCreateFlags,ProcessCreateFlags_meaning
1,DEBUG_PROCESS
2,DEBUG_ONLY_THIS_PROCESS
4,CREATE_SUSPENDED
8,DETACHED_PROCESS
16,CREATE_NEW_CONSOLE
512,CREATE_NEW_PROCESS_GROUP
1024,CREATE_UNICODE_ENVIRONMENT
2048,CREATE_SEPARATE_WOW_VDM
4096,CREATE_SHARED_WOW_VDM
8192,CREATE_FORCEDOS
65536,INHERIT_PARENT_AFFINITY
262144,CREATE_PROTECTED_PROCESS
524288,EXTENDED_STARTUPINFO_PRESENT
1048576,PROCESS_MODE_BACKGROUND_BEGIN
2097152,PROCESS_MODE_BACKGROUND_END
16777216,CREATE_BREAKAWAY_FROM_JOB
33554432,CREATE_PRESERVE_CODE_AUTHZ_LEVEL
67108864,CREATE_DEFAULT_ERROR_MODE
67634196,COMMON_EXPLORER_SUSPENDED_SET
134217728,CREATE_NO_WINDOW
268435456,PROFILE_USER
536870912,PROFILE_KERNEL
1073741824,PROFILE_SERVER
2147483648,CREATE_IGNORE_SYSTEM_DEFAULT
