QueryStatus,QueryStatus_meaning,QueryStatus_code,Description
9003,DNS_ERROR_RCODE_NAME_ERROR,DNS_ERROR_RCODE_NAME_ERROR,
9701,DNS_ERROR_RECORD_DOES_NOT_EXIST,DNS_ERROR_RECORD_DOES_NOT_EXIST,
4278190081,CS_ERROR_SINGLE_RESPONSE_EXPECTING_DUAL,CS_ERROR_SINGLE_RESPONSE_EXPECTING_DUAL,
4278190082,CS_ERROR_DUAL_RECORDS,CS_ERROR_DUAL_RECORDS,
0,NoError,No Error,No Error
1,FormErr,Format Error,Format Error
2,ServFail,Server Failure,Server Failure
3,NXDomain,Non-Existent Domain,Non-Existent Domain
4,NotImp,NotImp,Not Implemented
5,Refused,Refused,Query Refused
6,YXDomain,YXDomain,Name Exists when it should not
7,YXRRSet,YXRRSet,RR Set Exists when it should not
8,NXRRSet,NXRRSet,RR Set that should exist does not
9,NotAuth,NotAuth,Not Authorized
10,NotZone,NotZone,Name not contained in zone
11,DSOTYPENI,DSOTYPENI,DSO-TYPE Not Implemented
16,BADVERS,BADVERS,Bad OPT Version
16,BADSIG,BADSIG,TSIG Signature Failure
17,BADKEY,BADKEY,Key not recognized
18,BADTIME,BADTIME,Signature out of time window
19,BADMODE,BADMODE,Bad TKEY Mode
20,BADNAME,BADNAME,Duplicate key name
21,BADALG,BADALG,Algorithm not supported
22,BADTRUNC,BADTRUNC,Bad Truncation
23,BADCOOKIE,BADCOOKIE,Bad/missing Server Cookie
65535,Reserved,Reserved,Can be allocated by Standards Action
