Status,Status_meaning
0,STATUS_SUCCESS
538181633,STATUS_COMPONENT_ENABLED
1611530273,STATUS_MASK_ADJUSTED
1611726866,STATUS_DEP_DISABLED_APPCOMPAT
1611792386,STATUS_NO_EXISTING_CREDENTIALS
1611923478,STATUS_COMPONENT_STOPPED
1612251168,STATUS_HTTP_VISIBILITY_ENABLED
3221225506,STATUS_ACCESS_DENIED
3221225533,STATUS_DATA_LATE_ERROR
3221225541,STATUS_INVALID_PAGE_PROTECTION
3221226347,STATUS_DRIVER_BLOCKED_CRITICAL
3759013928,STATUS_PROCESS_CRITICAL
3759013929,STATUS_PROCESS_WHITELISTED
3759013930,STATUS_PROCESS_MICROSOFT_SIGNED
3759013931,STATUS_PROCESS_APPLE_SIGNED
3759407166,STATUS_COMPONENT_DISABLED
