event.name,action
change_acl_editors,modified
change_user_access,modified
add_to_folder,modified
copy,copied
create,created
delete,deleted
download,downloaded
edit,modified
move,moved
change_document_visibility_hierarchy_reconciled,shared
change_user_access_hierarchy_reconciled,shared
rename,moved
trash,deleted
untrash,undeleted
upload,uploaded
view,read
change_document_access_scope,shared
change_document_visibility,shared
print,read
shared_drive_membership_change,shared
remove_from_folder,moved
sheets_import_range,modified
email_as_attachment,shared
publish_change,modified
change_document_access_scope_hierarchy_reconciled,shared
TRANSFER_DOCUMENT_OWNERSHIP,modified
DRIVE_DATA_RESTORE,modified
CHANGE_DOCS_SETTING,modified
MOVE_SHARED_DRIVE_TO_ORG_UNIT,modified
