event.name,action,object_attrs
ADD_RECOVERY_EMAIL,modified,RECOVERY_EMAIL
ADD_RECOVERY_PHONE,modified,RECOVERY_PHONE
ARCHIVE_USER,modified,USER_SETTINGS
AUTHORIZE_API_CLIENT_ACCESS,modified,API_CLIENT
CHANGE_MOBILE_SETTING,modified,BASIC
CHANGE_PASSWORD,modified,PASSWORD
CHANGE_PASSWORD_ON_NEXT_LOGIN,modified,PASSWORD_ON_NEXT_LOGIN
CHANGE_RECOVERY_EMAIL,modified,RECOVERY_EMAIL
CHANGE_RECOVERY_PHONE,modified,RECOVERY_PHONE
CREATE_EMAIL_MONITOR,modified,EMAIL_MONITOR
CREATE_USER,created,USER_SETTINGS
DELETE_EMAIL_MONITOR,modified,EMAIL_MONITOR
DELETE_USER,deleted,USER_SETTINGS
ENABLE_USER_IP_WHITELIST,modified,IP_WHITELIST
GENERATE_2SV_SCRATCH_CODES,modified,"2-step verification scratch codes"
GMAIL_RESET_USER,modified,GMAIL_RESET
GRANT_ADMIN_PRIVILEGE,modified,ADMIN_PRIVILEGE
GRANT_DELEGATED_ADMIN_PRIVILEGES,modified,ADMIN_PRIVILEGES
MAIL_ROUTING_DESTINATION_ADDED,modified,MAIL_ROUTING_DESTINATION
MAIL_ROUTING_DESTINATION_REMOVED,modified,MAIL_ROUTING_DESTINATION
MOVE_USER_TO_ORG_UNIT,modified,ORG_UNIT
REMOVE_RECOVERY_EMAIL,modified,RECOVERY_EMAIL
REMOVE_RECOVERY_PHONE,modified,RECOVERY_PHONE
RENAME_USER,modified,USER_SETTINGS
REVOKE_ADMIN_PRIVILEGE,modified,ADMIN_PRIVILEGE
SECURITY_KEY_REGISTERED_FOR_USER,modified,SECURITY_KEY
SUSPEND_USER,modified,USER_SETTINGS
TURN_OFF_2_STEP_VERIFICATION,modified,2_STEP_VERIFICATION
UNARCHIVE_USER,modified,USER_SETTINGS
UNBLOCK_USER_SESSION,modified,USER_SESSION
UNDELETE_USER,created,USER_SETTINGS
UNENROLL_USER_FROM_STRONG_AUTH,modified,STRONG_AUTH
UNENROLL_USER_FROM_TITANIUM,modified,TITANIUM
UNSUSPEND_USER,modified,USER_SETTINGS
USER_LICENSE_REVOKE,modified,USER_LICENSE
USER_PUT_IN_TWO_STEP_VERIFICATION_GRACE_PERIOD,modified,TWO_STEP_VERIFICATION_GRACE_PERIOD
ASSIGN_ROLE,modified,
CHANGE_EMAIL_SETTING,modified,
CHANGE_GMAIL_SETTING,modified,
CREATE_GMAIL_SETTING,created,
ADD_TO_TRUSTED_OAUTH2_APPS,modified,
BLOCK_ALL_THIRD_PARTY_API_ACCESS,modified,SECURITY_SETTINGS
UNBLOCK_ALL_THIRD_PARTY_API_ACCESS,modified,SECURITY_SETTINGS
ALLOW_SERVICE_FOR_OAUTH2_ACCESS,modified,
CHANGE_APP_ACCESS_SETTINGS_COLLECTION_ID,modified,
ADD_TO_BLOCKED_OAUTH2_APPS,modified,
REMOVE_FROM_BLOCKED_OAUTH2_APPS,modified,
REMOVE_FROM_TRUSTED_OAUTH2_APPS,modified,
BLOCK_ON_DEVICE_ACCESS,acl_modified,OAUTH2_SERVICE_NAME
CHANGE_TWO_STEP_VERIFICATION_ENROLLMENT_PERIOD_DURATION,modified,
CHANGE_TWO_STEP_VERIFICATION_FREQUENCY,modified,
CHANGE_TWO_STEP_VERIFICATION_GRACE_PERIOD_DURATION,modified,
CHANGE_TWO_STEP_VERIFICATION_START_DATE,modified,
CHANGE_ALLOWED_TWO_STEP_VERIFICATION_METHODS,modified,
CHANGE_CAA_APP_ASSIGNMENTS,modified,
UNTRUST_DOMAIN_OWNED_OAUTH2_APPS,modified,Domain Owned Apps
TRUST_DOMAIN_OWNED_OAUTH2_APPS,modified,Domain Owned Apps
ENABLE_NON_ADMIN_USER_PASSWORD_RECOVERY,modified,
ENFORCE_STRONG_AUTHENTICATION,modified,
WEAK_PROGRAMMATIC_LOGIN_SETTINGS_CHANGED,modified,
SESSION_CONTROL_SETTINGS_CHANGE,modified,
UNBLOCK_ON_DEVICE_ACCESS,acl_modified,OAUTH2_SERVICE_NAME
CREATE_ROLE,created,role
ADD_PRIVILEGE,created,
UPDATE_ROLE,modified,role
EMAIL_UNDELETE,undeleted,
DROP_FROM_QUARANTINE,deleted,
REJECT_FROM_QUARANTINE,deleted,
RELEASE_FROM_QUARANTINE,delivered,
CHANGE_FIRST_NAME,modified,FIRST_NAME
CHANGE_LAST_NAME,modified,LAST_NAME
CHANGE_USER_LOCATION,modified,USER_LOCATION
RESET_SIGNIN_COOKIES,modified,SIGNIN_COOKIES
UNASSIGN_ROLE,modified,
USER_LICENSE_ASSIGNMENT,modified,
CREATE_CALENDAR_RESOURCE,created,"calendar resource"
UPDATE_CALENDAR_RESOURCE,modified,
DELETE_GMAIL_SETTING,deleted,
DELETE_ROLE,deleted,role
REMOVE_PRIVILEGE,modified,
RENAME_ROLE,modified,role
DISALLOW_SERVICE_FOR_OAUTH2_ACCESS,modified,
ORG_LICENSE_REVOKE,modified,
