eventSource,change_type
iam.amazonaws.com,AAA
ec2.amazonaws.com,EC2
sts.amazonaws.com,STS
sts.us-east-1.amazonaws.com,STS
sts.us-west-2.amazonaws.com,STS
sts.us-west-1.amazonaws.com,STS
sts.eu-west-1.amazonaws.com,STS
sts.eu-central-1.amazonaws.com,STS
sts.ap-southeast-1.amazonaws.com,STS
sts.ap-southeast-2.amazonaws.com,STS
sts.ap-northeast-1.amazonaws.com,STS
sts.sa-east-1.amazonaws.com,STS
sns.amazonaws.com,SNS
s3.amazonaws.com,storage
cloudformation.amazonaws.com,cloud_resources
firehose.amazonaws.com,stream
lambda.amazonaws.com,resources
logs.amazonaws.com,logging
elasticloadbalancing.amazonaws.com,network
cassandra.amazonaws.com,data
sqs.amazonaws.com,messaging
