subject,mitre_technique_id
Backdoor:EC2/C&CActivity.B!DNS,T1568
Backdoor:EC2/DenialOfService.Dns,T1498
Backdoor:EC2/DenialOfService.Tcp,T1498
Backdoor:EC2/DenialOfService.Udp,T1498
Backdoor:EC2/DenialOfService.UdpOnTcpPorts,T1498
Backdoor:EC2/DenialOfService.UnusualProtocol,T1498
Backdoor:EC2/Spambot,T1566
Backdoor:EC2/Spambot,T1534
Behavior:EC2/NetworkPortUnusual,T1571
Behavior:EC2/TrafficVolumeUnusual,T1030
Behavior:EC2/TrafficVolumeUnusual,T1020
Behavior:EC2/TrafficVolumeUnusual,T1537
CryptoCurrency:EC2/BitcoinTool.B,T1496
CryptoCurrency:EC2/BitcoinTool.B!DNS,T1496
Recon:EC2/PortProbeEMRUnprotectedPort,T1046
Recon:EC2/PortProbeUnprotectedPort,T1046
Recon:EC2/Portscan,T1046
Trojan:EC2/BlackholeTraffic,T1573
Trojan:EC2/BlackholeTraffic,T1572
Trojan:EC2/BlackholeTraffic!DNS,T1573
Trojan:EC2/BlackholeTraffic!DNS,T1572
Trojan:EC2/DGADomainRequest.B,T1071
Trojan:EC2/DGADomainRequest.B,T1568
Trojan:EC2/DGADomainRequest.C!DNS,T1071
Trojan:EC2/DGADomainRequest.C!DNS,T1568
Trojan:EC2/DNSDataExfiltration,T1573
Trojan:EC2/DNSDataExfiltration,T1572
Trojan:EC2/DriveBySourceTraffic!DNS,T1573
Trojan:EC2/DriveBySourceTraffic!DNS,T1572
Trojan:EC2/DropPoint,T1573
Trojan:EC2/DropPoint,T1572
Trojan:EC2/DropPoint!DNS,T1573
Trojan:EC2/DropPoint!DNS,T1572
Trojan:EC2/PhishingDomainRequest!DNS,T1566
Trojan:EC2/PhishingDomainRequest!DNS,T1534
UnauthorizedAccess:EC2/MaliciousIPCaller.Custom,T1071
UnauthorizedAccess:EC2/MaliciousIPCaller.Custom,T1095
UnauthorizedAccess:EC2/MetadataDNSRebind,T1199
UnauthorizedAccess:EC2/RDPBruteForce,T1110
UnauthorizedAccess:EC2/RDPBruteForce,T1078
UnauthorizedAccess:EC2/SSHBruteForce,T1110
UnauthorizedAccess:EC2/SSHBruteForce,T1078
UnauthorizedAccess:EC2/TorClient,T1573
UnauthorizedAccess:EC2/TorClient,T1090
UnauthorizedAccess:EC2/TorIPCaller,T1573
UnauthorizedAccess:EC2/TorIPCaller,T1090
UnauthorizedAccess:EC2/TorRelay,T1573
UnauthorizedAccess:EC2/TorRelay,T1090
PenTest:IAMUser/KaliLinux,T1362
PenTest:IAMUser/KaliLinux,T1072
PenTest:IAMUser/KaliLinux,T1546
PenTest:IAMUser/ParrotLinux,T1362
PenTest:IAMUser/ParrotLinux,T1072
PenTest:IAMUser/ParrotLinux,T1546
PenTest:IAMUser/PentooLinux,T1362
PenTest:IAMUser/PentooLinux,T1072
PenTest:IAMUser/PentooLinux,T1546
Persistence:IAMUser/NetworkPermissions,T1543
Persistence:IAMUser/ResourcePermissions,T1525
Persistence:IAMUser/UserPermissions,T1098
Policy:IAMUser/RootCredentialUsage,T1078
PrivilegeEscalation:IAMUser/AdministrativePermissions,T1078
Recon:IAMUser/MaliciousIPCaller,T1071
Recon:IAMUser/MaliciousIPCaller,T1095
Recon:IAMUser/MaliciousIPCaller.Custom,T1071
Recon:IAMUser/MaliciousIPCaller.Custom,T1095
Recon:IAMUser/NetworkPermissions,T1543
Recon:IAMUser/ResourcePermissions,T1525
Recon:IAMUser/TorIPCaller,T1573
Recon:IAMUser/TorIPCaller,T1090
Recon:IAMUser/UserPermissions,T1078
ResourceConsumption:IAMUser/ComputeResources,T1496
ResourceConsumption:IAMUser/ComputeResources,T1578
Stealth:IAMUser/CloudTrailLoggingDisabled,T1562
Stealth:IAMUser/LoggingConfigurationModified,T1562
Stealth:IAMUser/LoggingConfigurationModified,T1578
Stealth:IAMUser/PasswordPolicyChange,T1550
UnauthorizedAccess:IAMUser/ConsoleLogin,T1078
UnauthorizedAccess:IAMUser/ConsoleLoginSuccess.B,T1078
UnauthorizedAccess:IAMUser/InstanceCredentialExfiltration,T1537
UnauthorizedAccess:IAMUser/InstanceCredentialExfiltration,T1003
UnauthorizedAccess:IAMUser/MaliciousIPCaller,T1071
UnauthorizedAccess:IAMUser/MaliciousIPCaller,T1095
UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom,T1071
UnauthorizedAccess:IAMUser/MaliciousIPCaller.Custom,T1095
UnauthorizedAccess:IAMUser/TorIPCaller,T1573
UnauthorizedAccess:IAMUser/TorIPCaller,T1090
Discovery:S3/BucketEnumeration.Unusual,T1526
Discovery:S3/MaliciousIPCaller.Custom,T1071
Discovery:S3/MaliciousIPCaller.Custom,T1095
Discovery:S3/TorIPCaller,T1573
Discovery:S3/TorIPCaller,T1090
Exfiltration:S3/ObjectRead.Unusual,T1537
Exfiltration:S3/ObjectRead.Unusual,T1567
Impact:S3/PermissionsModification.Unusual,T1565
Impact:S3/PermissionsModification.Unusual,T1490
Impact:S3/PermissionsModification.Unusual,T1531
Impact:S3/ObjectDelete.Unusual,T1485
Impact:S3/ObjectDelete.Unusual,T1490
PenTest:S3/KaliLinux,T1362
PenTest:S3/KaliLinux,T1072
PenTest:S3/KaliLinux,T1546
PenTest:S3/ParrotLinux,T1362
PenTest:S3/ParrotLinux,T1072
PenTest:S3/ParrotLinux,T1546
PenTest:S3/PentooLinux,T1362
PenTest:S3/PentooLinux,T1072
PenTest:S3/PentooLinux,T1546
Policy:S3/AccountBlockPublicAccessDisabled,Preventative
Policy:S3/BucketBlockPublicAccessDisabled,Preventative
Policy:S3/BucketAnonymousAccessGranted,Preventative
Policy:S3/BucketPublicAccessGranted,Preventative
Stealth:S3/ServerAccessLoggingDisabled,T1562
UnauthorizedAccess:S3/MaliciousIPCaller.Custom,T1071
UnauthorizedAccess:S3/MaliciousIPCaller.Custom,T1095
UnauthorizedAccess:S3/TorIPCaller,T1573
UnauthorizedAccess:S3/TorIPCaller,T1090
