protocol_code,protocol,transport,protocol_full_name
-1,unknown,unknown,unknown
0,HOPOPT,HOPOPT,IPv6 Hop-by-Hop Option
1,ICMP,ICMP,Internet Control Message
2,IGMP,IGMP,Internet Group Management
3,GGP,GGP,Gateway-to-Gateway
4,IPv4,IPv4,IPv4 encapsulation
5,ST,ST,Stream
6,IP,TCP,Transmission Control
7,CBT,CBT,CBT
8,EGP,EGP,Exterior Gateway Protocol
9,IGP,IGP,any private interior gateway (used by Cisco for their IGRP)
10,BBN-RCC-MON,BBN-RCC-MON,BBN RCC Monitoring
11,NVP-II,NVP-II,Network Voice Protocol
12,PUP,PUP,PUP
13,ARGUS,ARGUS,ARGUS
14,EMCON,EMCON,EMCON
15,XNET,XNET,Cross Net Debugger
16,CHAOS,CHAOS,Chaos
17,UDP,UDP,User Datagram
18,MUX,MUX,Multiplexing
19,DCN-MEAS,DCN-MEAS,DCN Measurement Subsystems
20,HMP,HMP,Host Monitoring
21,PRM,PRM,Packet Radio Measurement
22,XNS-IDP,XNS-IDP,XEROX NS IDP
23,TRUNK-1,TRUNK-1,Trunk-1
24,TRUNK-2,TRUNK-2,Trunk-2
25,LEAF-1,LEAF-1,Leaf-1
26,LEAF-2,LEAF-2,Leaf-2
27,RDP,RDP,Reliable Data Protocol
28,IRTP,IRTP,Internet Reliable Transaction
29,ISO-TP4,ISO-TP4,ISO Transport Protocol Class 4
30,NETBLT,NETBLT,Bulk Data Transfer Protocol
31,MFE-NSP,MFE-NSP,MFE Network Services Protocol
32,MERIT-INP,MERIT-INP,MERIT Internodal Protocol
33,DCCP,DCCP,Datagram Congestion Control Protocol
34,3PC,3PC,Third Party Connect Protocol
35,IDPR,IDPR,Inter-Domain Policy Routing Protocol
36,XTP,XTP,XTP
37,DDP,DDP,Datagram Delivery Protocol
38,IDPR-CMTP,IDPR-CMTP,IDPR Control Message Transport Proto
39,TP++,TP++,TP++ Transport Protocol
40,IL,IL,IL Transport Protocol
41,IPv6,IPv6,IPv6 encapsulation
42,SDRP,SDRP,Source Demand Routing Protocol
43,IPv6-Route,IPv6-Route,Routing Header for IPv6
44,IPv6-Frag,IPv6-Frag,Fragment Header for IPv6
45,IDRP,IDRP,Inter-Domain Routing Protocol
46,RSVP,RSVP,Reservation Protocol
47,GRE,GRE,Generic Routing Encapsulation
48,DSR,DSR,Dynamic Source Routing Protocol
49,BNA,BNA,BNA
50,ESP,ESP,Encap Security Payload
51,AH,AH,Authentication Header
52,I-NLSP,I-NLSP,Integrated Net Layer Security TUBA
53,SWIPE (deprecated),SWIPE (deprecated),IP with Encryption
54,NARP,NARP,NBMA Address Resolution Protocol
55,MOBILE,MOBILE,IP Mobility
56,TLSP,TLSP,Transport Layer Security Protocol using Kryptonet key management
57,SKIP,SKIP,SKIP
58,IPv6-ICMP,IPv6-ICMP,ICMP for IPv6
59,IPv6-NoNxt,IPv6-NoNxt,No Next Header for IPv6
60,IPv6-Opts,IPv6-Opts,Destination Options for IPv6
61,None,None,any host internal protocol
62,CFTP,CFTP,CFTP
63,None,None,any local network
64,SAT-EXPAK,SAT-EXPAK,SATNET and Backroom EXPAK
65,KRYPTOLAN,KRYPTOLAN,Kryptolan
66,RVD,RVD,MIT Remote Virtual Disk Protocol
67,IPPC,IPPC,Internet Pluribus Packet Core
68,None,None,any distributed file system
69,SAT-MON,SAT-MON,SATNET Monitoring
70,VISA,VISA,VISA Protocol
71,IPCV,IPCV,Internet Packet Core Utility
72,CPNX,CPNX,Computer Protocol Network Executive
73,CPHB,CPHB,Computer Protocol Heart Beat
74,WSN,WSN,Wang Span Network
75,PVP,PVP,Packet Video Protocol
76,BR-SAT-MON,BR-SAT-MON,Backroom SATNET Monitoring
77,SUN-ND,SUN-ND,SUN ND PROTOCOL-Temporary
78,WB-MON,WB-MON,WIDEBAND Monitoring
79,WB-EXPAK,WB-EXPAK,WIDEBAND EXPAK
80,ISO-IP,ISO-IP,ISO Internet Protocol
81,VMTP,VMTP,VMTP
82,SECURE-VMTP,SECURE-VMTP,SECURE-VMTP
83,VINES,VINES,VINES
84,IPTM,IPTM,Internet Protocol Traffic Manager
85,NSFNET-IGP,NSFNET-IGP,NSFNET-IGP
86,DGP,DGP,Dissimilar Gateway Protocol
87,TCF,TCF,TCF
88,EIGRP,EIGRP,EIGRP
89,OSPFIGP,OSPFIGP,OSPFIGP
90,Sprite-RPC,Sprite-RPC,Sprite RPC Protocol
91,LARP,LARP,Locus Address Resolution Protocol
92,MTP,MTP,Multicast Transport Protocol
93,AX.25,AX.25,AX.25 Frames
94,IPIP,IPIP,IP-within-IP Encapsulation Protocol
95,MICP (deprecated),MICP (deprecated),Mobile Internetworking Control Pro.
96,SCC-SP,SCC-SP,Semaphore Communications Sec. Pro.
97,ETHERIP,ETHERIP,Ethernet-within-IP Encapsulation
98,ENCAP,ENCAP,Encapsulation Header
