protocol_code,protocol,transport,protocol_full_name
-1,unknown,unknown,unknown
0,hopopt,hopopt,IPv6 Hop-by-Hop Option
1,icmp,icmp,Internet Control Message
2,igmp,igmp,Internet Group Management
3,ggp,ggp,Gateway-to-Gateway
4,ipv4,ipv4,IPv4 encapsulation
5,st,st,Stream
6,ip,tcp,Transmission Control
7,cbt,cbt,CBT
8,egp,egp,Exterior Gateway Protocol
9,igp,igp,any private interior gateway (used by Cisco for their IGRP)
10,bbn-rcc-mon,bbn-rcc-mon,BBN RCC Monitoring
11,nvp-ii,nvp-ii,Network Voice Protocol
12,pup,pup,PUP
13,argus,argus,ARGUS
14,emcon,emcon,EMCON
15,xnet,xnet,Cross Net Debugger
16,chaos,chaos,Chaos
17,udp,udp,User Datagram
18,mux,mux,Multiplexing
19,dcn-meas,dcn-meas,DCN Measurement Subsystems
20,hmp,hmp,Host Monitoring
21,prm,prm,Packet Radio Measurement
22,xns-idp,xns-idp,XEROX NS IDP
23,trunk-1,trunk-1,Trunk-1
24,trunk-2,trunk-2,Trunk-2
25,leaf-1,leaf-1,Leaf-1
26,leaf-2,leaf-2,Leaf-2
27,rdp,rdp,Reliable Data Protocol
28,irtp,irtp,Internet Reliable Transaction
29,iso-tp4,iso-tp4,ISO Transport Protocol Class 4
30,netblt,netblt,Bulk Data Transfer Protocol
31,mfe-nsp,mfe-nsp,MFE Network Services Protocol
32,merit-inp,merit-inp,MERIT Internodal Protocol
33,dccp,dccp,Datagram Congestion Control Protocol
34,3pc,3pc,Third Party Connect Protocol
35,idpr,idpr,Inter-Domain Policy Routing Protocol
36,xtp,xtp,XTP
37,ddp,ddp,Datagram Delivery Protocol
38,idpr-cmtp,idpr-cmtp,IDPR Control Message Transport Proto
39,tp++,tp++,TP++ Transport Protocol
40,il,il,IL Transport Protocol
41,ipv6,ipv6,IPv6 encapsulation
42,sdrp,sdrp,Source Demand Routing Protocol
43,ipv6-route,ipv6-route,Routing Header for IPv6
44,ipv6-frag,ipv6-frag,Fragment Header for IPv6
45,idrp,idrp,Inter-Domain Routing Protocol
46,rsvp,rsvp,Reservation Protocol
47,gre,gre,Generic Routing Encapsulation
48,dsr,dsr,Dynamic Source Routing Protocol
49,bna,bna,BNA
50,esp,esp,Encap Security Payload
51,ah,ah,Authentication Header
52,i-nlsp,i-nlsp,Integrated Net Layer Security TUBA
53,swipe (deprecated),swipe (deprecated),IP with Encryption
54,narp,narp,NBMA Address Resolution Protocol
55,mobile,mobile,IP Mobility
56,tlsp,tlsp,Transport Layer Security Protocol using Kryptonet key management
57,skip,skip,SKIP
58,ipv6-icmp,ipv6-icmp,ICMP for IPv6
59,ipv6-nonxt,ipv6-nonxt,No Next Header for IPv6
60,ipv6-opts,ipv6-opts,Destination Options for IPv6
61,none,none,any host internal protocol
62,cftp,cftp,CFTP
63,none,none,any local network
64,sat-expak,sat-expak,SATNET and Backroom EXPAK
65,kryptolan,kryptolan,Kryptolan
66,rvd,rvd,MIT Remote Virtual Disk Protocol
67,ippc,ippc,Internet Pluribus Packet Core
68,none,none,any distributed file system
69,sat-mon,sat-mon,SATNET Monitoring
70,visa,visa,VISA Protocol
71,ipcv,ipcv,Internet Packet Core Utility
72,cpnx,cpnx,Computer Protocol Network Executive
73,cphb,cphb,Computer Protocol Heart Beat
74,wsn,wsn,Wang Span Network
75,pvp,pvp,Packet Video Protocol
76,br-sat-mon,br-sat-mon,Backroom SATNET Monitoring
77,sun-nd,sun-nd,SUN ND PROTOCOL-Temporary
78,wb-mon,wb-mon,WIDEBAND Monitoring
79,wb-expak,wb-expak,WIDEBAND EXPAK
80,iso-ip,iso-ip,ISO Internet Protocol
81,vmtp,vmtp,VMTP
82,secure-vmtp,secure-vmtp,SECURE-VMTP
83,vines,vines,VINES
84,iptm,iptm,Internet Protocol Traffic Manager
85,nsfnet-igp,nsfnet-igp,NSFNET-IGP
86,dgp,dgp,Dissimilar Gateway Protocol
87,tcf,tcf,TCF
88,eigrp,eigrp,EIGRP
89,ospfigp,ospfigp,OSPFIGP
90,sprite-rpc,sprite-rpc,Sprite RPC Protocol
91,larp,larp,Locus Address Resolution Protocol
92,mtp,mtp,Multicast Transport Protocol
93,ax.25,ax.25,AX.25 Frames
94,ipip,ipip,IP-within-IP Encapsulation Protocol
95,micp (deprecated),micp (deprecated),Mobile Internetworking Control Pro.
96,scc-sp,scc-sp,Semaphore Communications Sec. Pro.
97,etherip,etherip,Ethernet-within-IP Encapsulation
98,encap,encap,Encapsulation Header
99,none,none,any private encryption scheme
100,gmtp,gmtp,GMTP
101,ifmp,ifmp,Ipsilon Flow Management Protocol
102,pnni,pnni,PNNI over IP
103,pim,pim,Protocol Independent Multicast
104,aris,aris,ARIS
105,scps,scps,SCPS
106,qnx,qnx,QNX
107,a/n,a/n,Active Networks
108,ipcomp,ipcomp,IP Payload Compression Protocol
