tcp_flags,tcp_flag
32,URG
16,ACK
48,URG
48,ACK
8,PSH
40,URG
40,PSH
24,ACK
24,PSH
56,URG
56,ACK
56,PSH
4,RST
36,URG
36,RST
20,ACK
20,RST
52,URG
52,ACK
52,RST
12,PSH
12,RST
44,URG
44,PSH
44,RST
28,ACK
28,PSH
28,RST
60,URG
60,ACK
60,PSH
60,RST
2,SYN
34,URG
34,SYN
18,ACK
18,SYN
50,URG
50,ACK
50,SYN
10,PSH
10,SYN
42,URG
42,PSH
42,SYN
26,ACK
26,PSH
26,SYN
58,URG
58,ACK
58,PSH
58,SYN
6,RST
6,SYN
38,URG
38,RST
38,SYN
22,ACK
22,RST
22,SYN
54,URG
54,ACK
54,RST
54,SYN
14,PSH
14,RST
14,SYN
46,URG
46,PSH
46,RST
46,SYN
30,ACK
30,PSH
30,RST
30,SYN
62,URG
62,ACK
62,PSH
62,RST
62,SYN
1,FIN
33,URG
33,FIN
17,ACK
17,FIN
49,URG
49,ACK
49,FIN
9,PSH
9,FIN
41,URG
41,PSH
41,FIN
25,ACK
25,PSH
25,FIN
57,URG
57,ACK
57,PSH
57,FIN
5,RST
5,FIN
37,URG
37,RST
37,FIN
21,ACK
21,RST
21,FIN
53,URG
53,ACK
53,RST
53,FIN
13,PSH
13,RST
13,FIN
45,URG
45,PSH
45,RST
45,FIN
29,ACK
29,PSH
29,RST
29,FIN
61,URG
61,ACK
61,PSH
61,RST
61,FIN
3,SYN
3,FIN
35,URG
35,SYN
35,FIN
19,ACK
19,SYN
19,FIN
51,URG
51,ACK
51,SYN
51,FIN
11,PSH
11,SYN
11,FIN
43,URG
43,PSH
43,SYN
43,FIN
27,ACK
27,PSH
27,SYN
27,FIN
59,URG
59,ACK
59,PSH
59,SYN
59,FIN
7,RST
7,SYN
7,FIN
39,URG
39,RST
39,SYN
39,FIN
23,ACK
23,RST
23,SYN
23,FIN
55,URG
55,ACK
55,RST
55,SYN
55,FIN
15,PSH
15,RST
15,SYN
15,FIN
47,URG
47,PSH
47,RST
47,SYN
47,FIN
31,ACK
31,PSH
31,RST
31,SYN
31,FIN
63,URG
63,ACK
63,PSH
63,RST
63,SYN
63,FIN
