instance_type,cpu_cores,mem_capacity
a1.2xlarge,8,16
a1.4xlarge,16,32
a1.large,2,4
a1.medium,1,2
a1.metal,16,32
a1.xlarge,4,8
c1.medium,2,1.7
c1.xlarge,8,7
c3.2xlarge,8,15
c3.4xlarge,16,30
c3.8xlarge,32,60
c3.large,2,3.75
c3.xlarge,4,7.5
c4.2xlarge,8,15
c4.4xlarge,16,30
c4.8xlarge,36,60
c4.large,2,3.75
c4.xlarge,4,7.5
c5.12xlarge,48,96
c5.18xlarge,72,144
c5.24xlarge,96,192
c5.2xlarge,8,16
c5.4xlarge,16,32
c5.9xlarge,36,72
c5.large,2,4
c5.metal,96,192
c5.xlarge,4,8
c5a.12xlarge,48,96
c5a.16xlarge,64,128
c5a.24xlarge,96,192
c5a.2xlarge,8,16
c5a.4xlarge,16,32
c5a.8xlarge,32,64
c5a.large,2,4
c5a.xlarge,4,8
c5ad.12xlarge,48,96
c5ad.16xlarge,64,128
c5ad.24xlarge,96,192
c5ad.2xlarge,8,16
c5ad.4xlarge,16,32
c5ad.8xlarge,32,64
c5ad.large,2,4
c5ad.xlarge,4,8
c5d.12xlarge,48,96
c5d.18xlarge,72,144
c5d.24xlarge,96,192
c5d.2xlarge,8,16
c5d.4xlarge,16,32
c5d.9xlarge,36,72
c5d.large,2,4
c5d.metal,96,192
c5d.xlarge,4,8
c5n.18xlarge,72,192
c5n.2xlarge,8,21
c5n.4xlarge,16,42
c5n.9xlarge,36,96
c5n.large,2,5.25
c5n.metal,72,192
c5n.xlarge,4,10.5
c6g.12xlarge,48,96
c6g.16xlarge,64,128
c6g.2xlarge,8,16
c6g.4xlarge,16,32
c6g.8xlarge,32,64
c6g.large,2,4
c6g.medium,1,2
c6g.metal,64,128
c6g.xlarge,4,8
c6gd.12xlarge,48,96
c6gd.16xlarge,64,128
c6gd.2xlarge,8,16
c6gd.4xlarge,16,32
c6gd.8xlarge,32,64
c6gd.large,2,4
c6gd.medium,1,2
c6gd.metal,64,128
c6gd.xlarge,4,8
c6gn.12xlarge,48,96
c6gn.16xlarge,64,128
c6gn.2xlarge,8,16
c6gn.4xlarge,16,32
c6gn.8xlarge,32,64
c6gn.large,2,4
c6gn.medium,1,2
c6gn.metal,64,128
c6gn.xlarge,4,8
cc2.8xlarge,32,60.5
cr1.8xlarge,32,244
d2.2xlarge,8,61
d2.4xlarge,16,122
d2.8xlarge,36,244
d2.xlarge,4,30.5
d3.2xlarge,8,64
d3.4xlarge,16,128
d3.8xlarge,32,256
d3.xlarge,4,32
d3en.12xlarge,48,192
d3en.2xlarge,8,32
d3en.4xlarge,16,64
d3en.6xlarge,24,96
d3en.8xlarge,32,128
d3en.xlarge,4,16
f1.16xlarge,64,976
f1.2xlarge,8,122
f1.4xlarge,16,244
g2.2xlarge,8,15
g2.8xlarge,32,60
g3.16xlarge,64,488
g3.4xlarge,16,122
g3.8xlarge,32,244
g3s.xlarge,4,30.5
g4ad.16xlarge,64,256
g4ad.4xlarge,16,64
g4ad.8xlarge,32,128
g4dn.12xlarge,48,192
g4dn.16xlarge,64,256
g4dn.2xlarge,8,32
g4dn.4xlarge,16,64
g4dn.8xlarge,32,128
g4dn.metal,96,384
g4dn.xlarge,4,16
h1.16xlarge,64,256
h1.2xlarge,8,32
h1.4xlarge,16,64
h1.8xlarge,32,128
hs1.8xlarge,16,117
i2.2xlarge,8,61
i2.4xlarge,16,122
i2.8xlarge,32,244
i2.xlarge,4,30.5
i3.16xlarge,64,488
i3.2xlarge,8,61
i3.4xlarge,16,122
i3.8xlarge,32,244
i3.large,2,15.25
i3.metal,64,512
i3.xlarge,4,30.5
i3en.12xlarge,48,384
i3en.24xlarge,96,768
i3en.2xlarge,8,64
i3en.3xlarge,12,96
i3en.6xlarge,24,192
i3en.large,2,16
i3en.metal,96,768
i3en.xlarge,4,32
inf1.24xlarge,96,192
inf1.2xlarge,8,16
inf1.6xlarge,24,48
inf1.xlarge,4,8
m1.large,2,7.5
m1.medium,1,3.75
m1.small,1,1.7
m1.xlarge,4,15
m2.2xlarge,4,34.2
m2.4xlarge,8,68.4
m2.xlarge,2,17.1
m3.2xlarge,8,30
m3.large,2,7.5
m3.medium,1,3.75
m3.xlarge,4,15
m4.10xlarge,40,160
m4.16xlarge,64,256
m4.2xlarge,8,32
m4.4xlarge,16,64
m4.large,2,8
m4.xlarge,4,16
m5.12xlarge,48,192
m5.16xlarge,64,256
m5.24xlarge,96,384
m5.2xlarge,8,32
m5.4xlarge,16,64
m5.8xlarge,32,128
m5.large,2,8
m5.metal,96,384
m5.xlarge,4,16
m5a.12xlarge,48,192
m5a.16xlarge,64,256
m5a.24xlarge,96,384
m5a.2xlarge,8,32
m5a.4xlarge,16,64
m5a.8xlarge,32,128
m5a.large,2,8
m5a.xlarge,4,16
m5ad.12xlarge,48,192
m5ad.16xlarge,64,256
m5ad.24xlarge,96,384
m5ad.2xlarge,8,32
m5ad.4xlarge,16,64
m5ad.8xlarge,32,128
