event_type,action,status
ACCESS_GRANTED,modified,success
ACCESS_REVOKED,modified,success
ADD_DEVICE_ASSOCIATION,created,success
ADD_LOGIN_ACTIVITY_DEVICE,created,success
ADMIN_LOGIN,success,success
ADVANCED_FOLDER_SETTINGS_UPDATE, modified, success
APPLICATION_CREATED,created,success
APPLICATION_PUBLIC_KEY_ADDED,modified,success
APPLICATION_PUBLIC_KEY_DELETED,deleted,success
ANNOTATIONV2_CREATE,modified,
CHANGE_ADMIN_ROLE,modified,success
CHANGE_FOLDER_PERMISSION,modified,success
COLLABORATION_ACCEPT,modified,success
COLLABORATION_EXPIRATION,modified,success
COLLABORATION_INVITE,shared,success
COLLABORATION_REMOVE,modified,success
COLLABORATION_ROLE_CHANGE,modified,success
COLLAB_ADD_COLLABORATOR,created,success
COLLAB_INVITE_COLLABORATOR,modified,success
COLLAB_REMOVE_COLLABORATOR,deleted,success
COLLAB_ROLE_CHANGE,modified,success
COMMENT_CREATE,modified,success
COMMENT_DELETE,modified,success
COMMENT_EDIT,modified,success
CONTENT_ACCESS,read,
CONTENT_WORKFLOW_ABNORMAL_DOWNLOAD_ACTIVITY,modified,success
CONTENT_WORKFLOW_AUTOMATION_ADD,created,success
CONTENT_WORKFLOW_AUTOMATION_DELETE,deleted,success
CONTENT_WORKFLOW_POLICY_ADD,created,success
CONTENT_WORKFLOW_POLICY_RETIRE,deleted,success
CONTENT_WORKFLOW_SHARING_POLICY_VIOLATION,modified,success
CONTENT_WORKFLOW_UPLOAD_POLICY_VIOLATION,modified,success
COPY,copied,success
DATA_RETENTION_CREATE_RETENTION,created,success
DATA_RETENTION_REMOVE_RETENTION,deleted,success
DELETE,deleted,success
DELETE_USER,deleted,success
DEVICE_TRUST_CHECK_FAILED,failure,failure
DOWNLOAD,downloaded,success
EDIT,modified,success
EDIT_USER,modified,success
EMAIL_ALIAS_CONFIRM,modified,success
EMAIL_ALIAS_REMOVE,deleted,success
EMAIL_ALIAS_ADD_UNCONFIRMED,modified,success
ENABLE_TWO_FACTOR_AUTH,modified,success
ENTERPRISE_APP_AUTHORIZATION_UPDATE,created,success
FAILED_LOGIN,failure,failure
FILE_MARKED_MALICIOUS,modified,success
FILE_WATERMARKED_DOWNLOAD,modified,success
GROUP_ADD_ITEM,created,success
GROUP_ADD_USER,modified,success
GROUP_CREATION,created,success
GROUP_DELETION,deleted,success
GROUP_EDITED,modified,success
GROUP_REMOVE_ITEM,deleted,success
GROUP_REMOVE_USER,modified,success
ITEM_COPY,modified,success
ITEM_CREATE,created,success
ITEM_DOWNLOAD,modified,success
ITEM_MAKE_CURRENT_VERSION,modified,success
ITEM_MODIFY,modified,success
ITEM_MOVE,modified,success
ITEM_OPEN,read,success
ITEM_PREVIEW,read,success
ITEM_RENAME,modified,success
ITEM_SHARED,modified,success
ITEM_SHARED_CREATE,modified,success
ITEM_SHARED_UNSHARE,modified,success
ITEM_SHARED_UPDATE,modified,success
ITEM_SYNC,modified,success
ITEM_TRASH,deleted,success
ITEM_UNDELETE_VIA_TRASH,modified,success
ITEM_UNSYNC,modified,success
ITEM_UPLOAD,created,success
LEGAL_HOLD_ASSIGNMENT_CREATE,created,success
LEGAL_HOLD_ASSIGNMENT_DELETE,deleted,success
LEGAL_HOLD_POLICY_CREATE,created,success
LEGAL_HOLD_POLICY_DELETE,deleted,success
LEGAL_HOLD_POLICY_UPDATE,modified,success
LOCK,modified,success
LOCK_CREATE,modified,success
LOCK_DESTROY,deleted,success
LOGIN,success,success
MASTER_INVITE_ACCEPT,created,success
MASTER_INVITE_REJECT,deleted,success
METADATA_INSTANCE_CREATE,modified,success
METADATA_INSTANCE_DELETE,modified,success
METADATA_INSTANCE_UPDATE,modified,success
METADATA_TEMPLATE_CREATE,created,success
METADATA_TEMPLATE_DELETE,deleted,success
METADATA_TEMPLATE_UPDATE,modified,success
MOVE,modified,success
NEW_USER,created,success
PREVIEW,read,success
REMOVE_DEVICE_ASSOCIATION,deleted,success
REMOVE_LOGIN_ACTIVITY_DEVICE,logoff,success
RENAME,modified,success
RETENTION_POLICY_ASSIGNMENT_ADD,modified,success
SHARE,shared,success
SHARE_EXPIRATION,modified,success
STORAGE_EXPIRATION,modified,success
TAG_ITEM_CREATE,created,success
TASK_ASSIGNMENT_CREATE,modified,success
TASK_ASSIGNMENT_DELETE,modified,success
TASK_ASSIGNMENT_UPDATE,modified,success
TASK_CREATE,modified,success
TASK_UPDATE,modified,success
TERMS_OF_SERVICE_ACCEPT,modified,success
TERMS_OF_SERVICE_REJECT,deleted,success
UNDELETE,modified,success
UNSHARE,modified,success
UNLOCK,modified,success
UPDATE_COLLABORATION_EXPIRATION,modified,success
UPDATE_SHARE_EXPIRATION,modified,success
UPLOAD,uploaded,success
USER_AUTHENTICATE_OAUTH2_ACCESS_TOKEN_CREATE,created,success
WATERMARK_LABEL_CREATE,created,success
WATERMARK_LABEL_DELETE,deleted,success
OAUTH2_ACCESS_TOKEN_REVOKE,modified,success
GROUP_ADMIN_DELETED,deleted,success
GROUP_ADMIN_CREATED,modified,success
FAVORITE,modified,success
WORKFLOW_AUTOMATION_UPDATE,modified,success
WORKFLOW_AUTOMATION_CREATE,created,success
