signature_id,vendor_severity,severity
1000,Informational,informational
1001,Informational,informational
1002,Informational,informational
1003,Informational,informational
1004,Informational,informational
1005,Informational,informational
1006,Informational,informational
1100,Attack,high
1102,Attack,high
1103,Attack,high
2000,Informational,informational
2001,Informational,informational
2002,Informational,informational
2003,Informational,informational
2004,Informational,informational
2005,Informational,informational
2006,Informational,informational
2007,Informational,informational
2008,Informational,informational
2009,Informational,informational
2010,Informational,informational
2011,Informational,informational
2012,Informational,informational
2150,Attack,high
2151,Attack,high
2154,Attack,high
3040,Attack,high
3041,Attack,high
3042,Attack,high
3153,Informational,informational
3154,Informational,informational
4050,Attack,high
4051,Attack,high
4052,Attack,high
6050,Informational,informational
6051,Informational,informational
6052,Informational,informational
6053,Informational,informational
6100,Informational,informational
6101,Informational,informational
6102,Informational,informational
6103,Attack,high
6150,Informational,informational
6151,Informational,informational
6152,Informational,informational
6153,Informational,informational
6154,Informational,informational
6155,Informational,informational
6175,Informational,informational
6180,Informational,informational
6190,Attack,high
405001,Low,low
110003,Informational,informational
