code,explanation
F0156,This fault typically occurs when Cisco UCS Manager detects a server in a chassis slot that does not match what was previously equipped in the slot.
F0157,This fault typically occurs when Cisco UCS Manager encountered a problem identifying the server in a chassis slot.
F0169,This fault typically occurs when Cisco UCS Manager could not place the vNIC on the vCon.
F0170,This fault typically occurs when Cisco UCS Manager could not place the vHBA on the vCon.
F0174,This fault occurs in the unlikely event that processor is inoperable.
F0175,"This fault occurs when the processor temperature on a blade or rack server exceeds a non-critical threshold value, but is still below the critical threshold. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0176,"This fault occurs when the processor temperature on a blade or rack server exceeds a critical threshold value. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0177,"This fault occurs when the processor temperature on a blade or rack server has been out of the operating range, and the issue is not recoverable. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0178,"This fault occurs when the processor voltage is out of normal operating range, but hasn't yet reached a critical stage. Normally the processor recovers itself from this situation"
F0179,This fault occurs when the processor voltage has exceeded the specified hardware voltage rating.
F0180,This fault occurs when the processor voltage has exceeded the specified hardware voltage rating and may cause processor hardware damage or jeopardy.
F0181,This fault occurs when the local disk has become inoperable.
F0182,This fault occurs when the partition disk usage exceeds 70% but is less than 90%.
F0183,This fault occurs when the partition disk usage exceeds 90%.
F0184,This fault occurs when a DIMM is in a degraded operability state. This state typically occurs when an excessive number of correctable ECC errors are reported on the DIMM by the server BIOS.
F0185,This fault typically occurs because an above threshold number of correctable or uncorrectable errors has occurred on a DIMM. The DIMM may be inoperable.
