acl_action,ta_cisco_wsa_proxy_action,action
ALLOW_ADMIN_ERROR_PAGE,allowed,allowed
ALLOW_CUSTOMCAT,allowed,allowed
ALLOW_REFERER,allowed,allowed
ALLOW_WBRS,allowed,allowed
ARCHIVESCAN_ALLCLEAR,allowed,allowed
ARCHIVESCAN_BLOCKEDFILETYPE,blocked,blocked
ARCHIVESCAN_NESTEDTOODEEP,blocked,blocked
ARCHIVESCAN_UNKNOWNFMT,blocked,blocked
ARCHIVESCAN_UNSCANABLE,blocked,blocked
ARCHIVESCAN_FILETOOBIG,blocked,blocked
BLOCK_ADMIN,blocked,blocked
BLOCK_ADMIN_CONNECT,blocked,blocked
BLOCK_ADMIN_CUSTOM_USER_AGENT,blocked,blocked
BLOCK_ADMIN_TUNNELING,blocked,blocked
BLOCK_ADMIN_HTTPS_NonLocalDestination,blocked,blocked
BLOCK_ADMIN_IDS,blocked,blocked
BLOCK_ADMIN_FILE_TYPE,blocked,blocked
BLOCK_ADMIN_PROTOCOL,blocked,blocked
BLOCK_ADMIN_SIZE,blocked,blocked
BLOCK_ADMIN_SIZE_IDS,blocked,blocked
BLOCK_ADMIN_OVERALL_QUOTA_LIMIT,blocked,blocked
BLOCK_ADMIN_QUOTA_LIMIT,blocked,blocked
BLOCK_AMP_RESP,blocked,blocked
BLOCK_AMW_REQ,blocked,blocked
BLOCK_AMW_RESP,blocked,blocked
BLOCK_AMW_REQ_URL,blocked,blocked
BLOCK_AVC,blocked,blocked
BLOCK_CONTENT_UNSAFE,blocked,blocked
BLOCK_CONTINUE_CONTENT_UNSAFE,blocked,blocked
BLOCK_CONTINUE_CUSTOMCAT,blocked,blocked
BLOCK_CONTINUE_WEBCAT,blocked,blocked
BLOCK_CUSTOMCAT,blocked,blocked
BLOCK_ICAP,blocked,blocked
BLOCK_SEARCH_UNSAFE,blocked,blocked
BLOCK_SUSPECT_USER_AGENT,blocked,blocked
BLOCK_UNSUPPORTED_SEARCH_APP,blocked,blocked
BLOCK_WBRS,blocked,blocked
BLOCK_WBRS_IDS,blocked,blocked
BLOCK_WEBCAT,blocked,blocked
BLOCK_WEBCAT_IDS,blocked,blocked
BLOCK_YTCAT,blocked,blocked
BLOCK_CONTINUE_YTCAT,blocked,blocked
DECRYPT_ADMIN,allowed,allowed
DECRYPT_ADMIN_DEFAULT_ACTION,allowed,allowed
DECRYPT_ADMIN_EXPIRED_CERT,allowed,allowed
DECRYPT_ADMIN_MISMATCHED_HOSTNAME,allowed,allowed
DECRYPT_ADMIN_OCSP_OTHER_ERROR,allowed,allowed
DECRYPT_ADMIN_UNRECOGNIZED_ROOT_CERT,allowed,allowed
DECRYPT_AVC,allowed,allowed
DECRYPT_CUSTOMCAT,allowed,allowed
DECRYPT_EUN_ADMIN_DEFAULT_ACTION,allowed,allowed
DECRYPT_EUN_ADMIN_MISMATCHED_HOSTNAME,allowed,allowed
DECRYPT_EUN_CUSTOMCAT,allowed,allowed
DECRYPT_EUN_WBRS_NO_SCORE,allowed,allowed
DECRYPT_EUN_WEBCAT,allowed,allowed
DECRYPT_EUN_ADMIN_EXPIRED_CERT,allowed,allowed
DECRYPT_EUN_ADMIN_INVALID_LEAF_CERT,allowed,allowed
DECRYPT_EUN_ADMIN_OCSP_OTHER_ERROR,allowed,allowed
DECRYPT_EUN_ADMIN_OCSP_REVOKED_CERT,allowed,allowed
DECRYPT_EUN_ADMIN_UNRECOGNIZED_ROOT_CERT,allowed,allowed
DECRYPT_WEBCAT,allowed,allowed
DECRYPT_WBRS,allowed,allowed
DECRYPT_WBRS_NO_SCORE,allowed,allowed
DEFAULT_CASE,allowed,allowed
DENY_ADMIN,blocked,blocked
DROP_ADMIN,dropped,dropped
DROP_ADMIN_EXPIRED_CERT,dropped,dropped
DROP_ADMIN_DEFAULT_ACTION,dropped,dropped
DROP_CUSTOMCAT,dropped,dropped
DROP_WEBCAT,dropped,dropped
DROP_WBRS,dropped,dropped
DROP_WBRS_NO_SCORE,dropped,dropped
MONITOR_ADMIN_EXPIRED_CERT,allowed,allowed
MONITOR_AMP_RESP,allowed,allowed
MONITOR_AMW_RESP,allowed,allowed
MONITOR_AMW_RESP_URL,allowed,allowed
MONITOR_AVC,allowed,allowed
MONITOR_CONTINUE_CONTENT_UNSAFE,allowed,allowed
MONITOR_CONTINUE_CUSTOMCAT,allowed,allowed
MONITOR_CONTINUE_WEBCAT,allowed,allowed
MONITOR_CONTINUE_YTCAT,allowed,allowed
MONITOR_CUSTOMCAT,allowed,allowed
MONITOR_IDS,allowed,allowed
MONITOR_SUSPECT_USER_AGENT,allowed,allowed
MONITOR_WBRS,allowed,allowed
NO_AUTHORIZATION,blocked,blocked
NO_PASSWORD,blocked,blocked
PASSTHRU_ADMIN,allowed,allowed
PASSTHRU_ADMIN_CLIENT_CERT_REQ,allowed,allowed
PASSTHRU_ADMIN_DEFAULT_ACTION,allowed,allowed
PASSTHRU_ADMIN_EXPIRED_CERT,allowed,allowed
PASSTHRU_ADMIN_NON_SSL,allowed,allowed
PASSTHRU_CUSTOMCAT,allowed,allowed
PASSTHRU_WEBCAT,allowed,allowed
PASSTHRU_WBRS,allowed,allowed
PASSTHRU_WBRS_NO_SCORE,allowed,allowed
REDIRECT_CUSTOMCAT,allowed,allowed
SAAS_AUTH,allowed,allowed
