ta_cisco_wsa_traffic_vendor_action,ta_cisco_wsa_traffic_action,vendor_action,action
allow list,allowed,allow,allowed
block list,blocked,block,blocked
blacklist,blocked,block,blocked
blocked,blocked,blocked,blocked
whitelist,allowed,allow,allowed
exemption table,allowed,exemption table,allowed
noted,unknown,noted,allowed
TCP_HIT,allowed,TCP_HIT,allowed
TCP_IMS_HIT,allowed,TCP_IMS_HIT,allowed
TCP_MEM_HIT,allowed,TCP_MEM_HIT,allowed
TCP_MISS,allowed,TCP_MISS,allowed
TCP_REFRESH_HIT,allowed,TCP_REFRESH_HIT,allowed
TCP_CLIENT_REFRESH_MISS,allowed,TCP_CLIENT_REFRESH_MISS,allowed
TCP_DENIED,blocked,TCP_DENIED,blocked
