code,description,alert,cim_data_model,action,change_type,extratag,vendor_object_category,object_category,status
0,Delete Directory Map,Yes,Change Analysis,deleted,Directory Map,,Directory Map,directory,success
1,Delete Directory Map,No,Change Analysis,deleted,Directory Map,,Directory Map,directory,success
2,Add External User,No,Change Analysis,created,External User,,User,user,success
3,Get LDAP configuration data,Yes,Change Analysis,read,LDAP,,LDAP,unknown,success
4,User Authentication,Yes,Authentication,success,,,,,success
5,Unauthorized Station,Yes,Authentication,failure,,,,,failure
6,External Audit,Yes,Change Analysis,read,External Audit,,User,user,success
7,Logon,No,Authentication,success,,,,,success
8,Logoff,No,Change Analysis,modified,AAA,Account,,user,success
9,External Audit,Yes,Change Analysis,read,External Audit,,User,user,success
10,Update user station failed; not authorized,Yes,Change Analysis,modified,User Station,,User Station,unknown,failure
11,Update Safe Share,Yes,Change Analysis,modified,Safe Share,,Safe Share,unknown,success
12,Update Safe Share,Yes,Change Analysis,modified,Safe Share,,Safe Share,unknown,success
13,Safe Access through Gateway,Yes,Change Analysis,read,Safe,,Safe,safe,success
14,Safe Access through Gateway,Yes,Change Analysis,read,Safe,,Safe,safe,success
15,Impersonation not by an agent,Yes,Authentication,success,,,,,success
16,Update Your Trusted Network Areas,Yes,Change Analysis,modified,Trusted Network Area,,Trusted Network Area,unknown,success
17,Add Safe,Yes,Change Analysis,created,Safe,,Safe,object,success
18,Non authorized impersonation,Yes,Authentication,failure,,,Privileged,,failure
19,Full Gateway Connection,No,Authentication,success,,,Privileged,,success
20,Partial Gateway Connection,No,Authentication,success,,,Privileged,,success
21,Partial Gateway Connection,Yes,Authentication,success,,,,,success
22,CPM Verify Password,No,Change Analysis,created,Verify,,CPM Task,unknown,success
23,Action On Closed Safe,Yes,Change Analysis,read,Safe,,Safe,object,failure
24,CPM Change Password,No,Change Analysis,created,Change,Account,CPM Task,unknown,success
25,Open/Close Safe,Yes,Change Analysis,read,Safe,,Safe,safe,success
26,Open/Close Safe,Yes,Change Analysis,read,Safe,,Safe,safe,success
27,Open Safe (Unsecured Station),Yes,Change Analysis,read,Safe,,Safe,safe,success
28,Add/Update Owner,Yes,Change Analysis,acl_modified,Owner,,Safe,object,success
29,Add/Update Owner,Yes,Change Analysis,acl_modified,Owner,,Safe,object,success
30,Add/Update Owner,Yes,Change Analysis,acl_modified,Owner,,Safe,object,success
31,CPM Reconcile Password,No,Change Analysis,created,Reconcile,Account,CPM Task,unknown,success
