telemetryEventCategory,http_status,action
LTM,100,Continue
LTM,101,Switching Protocols
LTM,102,Processing
LTM,103,Early Hints
LTM,200,OK
LTM,201,Created
LTM,202,Accepted
LTM,203,Non-Authoritative Information
LTM,204,No Content
LTM,205,Reset Content
LTM,206,Partial Content
LTM,207,Multi-Status
LTM,208,Already Reported
LTM,226,IM Used
LTM,300,Multiple Choices
LTM,301,Moved Permanently
LTM,302,Found
LTM,303,See Other
LTM,304,Not Modified
LTM,305,Use Proxy
LTM,306,(Unused)
LTM,307,Temporary Redirect
LTM,308,Permanent Redirect
LTM,400,Bad Request
LTM,401,Unauthorized
LTM,402,Payment Required
LTM,403,Forbidden
LTM,404,Not Found
LTM,405,Method Not Allowed
LTM,406,Not Acceptable
LTM,407,Proxy Authentication Required
LTM,408,Request Timeout
LTM,409,Conflict
LTM,410,Gone
LTM,411,Length Required
LTM,412,Precondition Failed
LTM,413,Payload Too Large
LTM,414,URI Too Long
LTM,415,Unsupported Media Type
LTM,416,Range Not Satisfiable
LTM,417,Expectation Failed
LTM,421,Misdirected Request
LTM,422,Unprocessable Entity
LTM,423,Locked
LTM,424,Failed Dependency
LTM,425,Too Early
LTM,426,Upgrade Required
LTM,427,Unassigned
LTM,428,Precondition Required
LTM,429,Too Many Requests
LTM,430,Unassigned
LTM,431,Request Header Fields Too Large
LTM,451,Unavailable For Legal Reasons
LTM,452-499,Unassigned
LTM,500,Internal Server Error
LTM,501,Not Implemented
LTM,502,Bad Gateway
LTM,503,Service Unavailable
LTM,504,Gateway Timeout
LTM,505,HTTP Version Not Supported
LTM,506,Variant Also Negotiates
LTM,507,Insufficient Storage
LTM,508,Loop Detected
LTM,509,Unassigned
LTM,510,Not Extended
LTM,511,Network Authentication Required
