vendor_action,action,change_type,status,event_group
oauth_access.create,created,AAA,success,change_all
oauth_access.destroy,deleted,AAA,success,change_all
oauth_application.destroy,deleted,AAA,success,change_all
oauth_application.transfer,modified,AAA,success,change_all
public_key.create,created,AAA,success,change_all
public_key.delete,deleted,AAA,success,change_all
business.advanced_security_policy_update,modified,AAA,success,change_all
business.clear_members_can_create_repos,modified,AAA,success,change_all
business.referrer_override_enable,modified,AAA,success,change_all
business.referrer_override_disable,modified,AAA,success,change_all
business.update_member_repository_creation_permission,modified,AAA,success,change_all
enterprise.config.lock_anonymous_git_access,modified,AAA,success,change_all
enterprise.config.disable_anonymous_git_access,modified,AAA,success,change_all
issue.update,modified,filesystem,success,change_all
issue_comment.update,modified,filesystem,success,change_all
issue.destroy,deleted,filesystem,success,change_all
org.async_delete,deleted,AAA,success,change_all
org.delete,deleted,AAA,success,change_all
pull_request.close,deleted,filesystem,success,change_all
pull_request.create,created,filesystem,success,change_all
pull_request.reopen,modified,filesystem,success,change_all
pull_request.merge,modified,filesystem,success,change_all
pull_request_review.submit,modified,filesystem,success,change_all
pull_request.ready_for_review,modified,filesystem,success,change_all
pull_request.converted_to_draft,modified,filesystem,success,change_all
user.failed_login,failure,,,authentication
user.login,success,,,authentication
oauth_application.revoke_all_tokens,modified,AAA,success,change_all
oauth_application.revoke_tokens,modified,AAA,success,change_all
oauth_authorization.destroy,deleted,AAA,success,change_all
oauth_application.generate_client_secret,created,AAA,success,change_all
oauth_application.remove_client_secret,deleted,AAA,success,change_all
public_key.verify,success,,,authentication
hook.create,created,filesystem,success,change_all
hook.config_changed,modified,filesystem,success,change_all
hook.events_changed,modified,filesystem,success,change_all
hook.destroy,deleted,filesystem,success,change_all
config_entry.create,created,filesystem,success,change_all
config_entry.destroy,deleted,filesystem,success,change_all
protected_branch.create,created,filesystem,success,change_all
protected_branch.update_required_status_checks_enforcement_level,modified,filesystem,success,change_all
protected_branch.update_linear_history_requirement_enforcement_level,modified,filesystem,success,change_all
protected_branch.update_pull_request_reviews_enforcement_level,modified,filesystem,success,change_all
protected_branch.update_admin_enforced,modified,filesystem,success,change_all
protected_branch.update_signature_requirement_enforcement_level,modified,filesystem,success,change_all
org.update_member_repository_creation_permission,modified,filesystem,success,change_all
private_repository_forking.enable,modified,filesystem,success,change_all
config_entry.update,modified,filesystem,success,change_all
private_repository_forking.disable,modified,filesystem,success,change_all
org.enable_member_team_creation_permission,modified,filesystem,success,change_all
email_role.create,created,AAA,success,change_all
user.create,created,AAA,success,change_all
lockout.remove,modified,AAA,success,change_account
user.reset_password,modified,AAA,success,change_account
user.async_delete,deleted,filesystem,success,change_account
user.delete,deleted,AAA,success,change_account
org.add_member,modified,AAA,success,change_account
org.advanced_security_policy_selected_member_enabled,modified,filesystem,success,change_all
oauth_application.create,created,filesystem,success,change_all
user_default_label.destroy,deleted,AAA,success,change_all
business.remove_organization,deleted,filesystem,success,change_all
repo.disk_archive,modified,filesystem,success,change_all
repo.destroy,deleted,filesystem,success,change_all
repo.create,created,filesystem,success,change_all
repo.change_merge_setting,modified,filesystem,success,change_all
repository_secret_scanning.disable,modified,filesystem,success,change_all
business.add_organization,created,filesystem,success,change_all
org.create,created,filesystem,success,change_all
oauth_authorization.create,created,AAA,success,change_all
management_console.user_sign_in,success,,,authentication
business.update_default_repository_permission,modified,filesystem,success,change_all
