vendor_action,event_group,action,change_type,object_category
workflows.completed_workflow_run,change_all,modified,filesystem,Workflow
workflows.prepared_workflow_job,change_all,created,filesystem,Workflow
workflows.created_workflow_run,change_all,created,filesystem,Workflow
pull_request.create,change_all,created,filesystem,Pull_request
repository_vulnerability_alert.create,alert,,,
pull_request.close,change_all,modified,filesystem,Pull_request
hook.create,change_all,created,filesystem,Hook
repository_secret_scanning_push_protection.disable,change_all,modified,filesystem,Repository
repository_vulnerability_alerts.enable,change_all,modified,filesystem,Repository
repository_dependency_graph.enable,change_all,modified,filesystem,Repository
repository_secret_scanning.enable,change_all,modified,filesystem,Repository
pull_request.reopen,change_all,restarted,filesystem,Pull_request
org_credential_authorization.deauthorize,change_all,modified,AAA,Organization
org.remove_member,change_account,modified,AAA,Organization
org_credential_authorization.grant,change_all,modified,AAA,Organization
workflows.enable_workflow,change_all,modified,filesystem,Workflow
repo.actions_enabled,change_all,modified,filesystem,Repository
repo.create,change_all,created,filesystem,Repository
integration_installation.repositories_added,change_all,modified,filesystem,Repository
org.update_member,change_account,modified,AAA,Organization
repo.advanced_security_enabled,change_all,modified,filesystem,Repository
repo.change_merge_setting,change_all,modified,filesystem,Repository
repo.add_member,change_account,modified,AAA,Repository
repo.remove_member,change_account,modified,AAA,Repository
repo.update_member,change_account,modified,AAA,Repository
org.add_member,change_account,modified,AAA,Organization
org.invite_member,change_account,modified,AAA,Organization
org.block_user,change_account,modified,AAA,Organization
org.unblock_user,change_account,modified,AAA,Organization
org.integration_manager_added,change_account,modified,AAA,Organization
org.integration_manager_removed,change_account,modified,AAA,Organization
org.oauth_app_access_approved,change_all,modified,AAA,Organization
org.remove_outside_collaborator,change_account,modified,AAA,Organization
org.restore_member,change_account,modified,AAA,Organization
git.fetch,change_all,read,filesystem,Repository
git.push,change_all,modified,filesystem,Repository
git.clone,change_all,modified,filesystem,Repository
issues.deletes_policy_cleared,change_all,cleared,filesystem,Issue
issues.deletes_disabled,change_all,modified,filesystem,Issue
issues.deletes_enabled,change_all,modified,filesystem,Issue
members_can_delete_repos.clear,change_all,cleared,filesystem,Repository
members_can_delete_repos.disable,change_all,modified,filesystem,Repository
members_can_delete_repos.enable,change_all,modified,filesystem,Repository
