operationName.localizedValue,vendor_res_code,action,object_attrs,object_category,change_type
Create/Update Storage Account,unknown,modified,Storage Account,user,AAA
Create/Update Storage Account,Started,modified,Storage Account,user,AAA
Create/Update Storage Account,OK,modified,Storage Account,user,AAA
Create/Update Storage Account,Created,created,Storage Account,user,AAA
Create/Update Storage Account,Accepted,modified,Storage Account,user,AAA
Create/Update Storage Account,BadRequest,modified,Storage Account,user,AAA
Create/Update Storage Account,Conflict,modified,Storage Account,user,AAA
Put File Share,unknown,modified,File Share,file,filesystem
Put File Share,Started,modified,File Share,file,filesystem
Put File Share,OK,modified,File Share,file,filesystem
Put File Share,Created,created,File Share,file,filesystem
Put File Share,Accepted,modified,File Share,file,filesystem
Put File Share,BadRequest,modified,File Share,file,filesystem
Put File Share,Conflict,modified,File Share,file,filesystem
Create or Update EventHub,unknown,modified,EventHub,directory,filesystem
Create or Update EventHub,Started,modified,EventHub,directory,filesystem
Create or Update EventHub,OK,modified,EventHub,directory,filesystem
Create or Update EventHub,Created,created,EventHub,directory,filesystem
Create or Update EventHub,Accepted,modified,EventHub,directory,filesystem
Create or Update EventHub,BadRequest,modified,EventHub,directory,filesystem
Create or Update EventHub,Conflict,modified,EventHub,directory,filesystem
Create or Update Public Ip Address,unknown,modified,Public Ip Address,configuration,network
Create or Update Public Ip Address,Started,modified,Public Ip Address,configuration,network
Create or Update Public Ip Address,OK,modified,Public Ip Address,configuration,network
Create or Update Public Ip Address,Created,created,Public Ip Address,configuration,network
Create or Update Public Ip Address,Accepted,modified,Public Ip Address,configuration,network
Create or Update Public Ip Address,BadRequest,modified,Public Ip Address,configuration,network
Create or Update Public Ip Address,Conflict,modified,Public Ip Address,configuration,network
Update resource group,unknown,modified,Resource Group,group,AAA
Update resource group,Started,modified,Resource Group,group,AAA
Update resource group,OK,modified,Resource Group,group,AAA
Update resource group,Created,created,Resource Group,group,AAA
Update resource group,Accepted,modified,Resource Group,group,AAA
Update resource group,BadRequest,modified,Resource Group,group,AAA
Create or Update EventHub Authorization Rule,unknown,modified,EventHub Authorization Rule,file,AAA
Create or Update EventHub Authorization Rule,Started,modified,EventHub Authorization Rule,file,AAA
Create or Update EventHub Authorization Rule,OK,modified,EventHub Authorization Rule,file,AAA
Create or Update EventHub Authorization Rule,Created,created,EventHub Authorization Rule,file,AAA
Create or Update EventHub Authorization Rule,Accepted,modified,EventHub Authorization Rule,file,AAA
Create or Update EventHub Authorization Rule,BadRequest,modified,EventHub Authorization Rule,file,AAA
Create or Update EventHub Authorization Rule,Conflict,modified,EventHub Authorization Rule,file,AAA
Delete blob container,unknown,deleted,Blob Container,directory,filesystem
Delete blob container,Started,deleted,Blob Container,directory,filesystem
Delete blob container,OK,deleted,Blob Container,directory,filesystem
Delete blob container,Accepted,deleted,Blob Container,directory,filesystem
Delete blob container,BadRequest,deleted,Blob Container,directory,filesystem
Delete blob container,PreconditionFailed,deleted,Blob Container,directory,filesystem
Create or Update Virtual Machine,unknown,modified,Virtual Machine,file,filesystem
Create or Update Virtual Machine,Started,modified,Virtual Machine,file,filesystem
Create or Update Virtual Machine,OK,modified,Virtual Machine,file,filesystem
Create or Update Virtual Machine,Created,created,Virtual Machine,file,filesystem
Create or Update Virtual Machine,Accepted,modified,Virtual Machine,file,filesystem
Create or Update Virtual Machine,BadRequest,modified,Virtual Machine,file,filesystem
Create or Update Virtual Machine,Conflict,modified,Virtual Machine,file,filesystem
Create or Update Disk,unknown,modified,Disk,file,filesystem
Create or Update Disk,Started,modified,Disk,file,filesystem
Create or Update Disk,OK,modified,Disk,file,filesystem
Create or Update Disk,Created,created,Disk,file,filesystem
Create or Update Disk,Accepted,modified,Disk,file,filesystem
Create or Update Disk,BadRequest,modified,Disk,file,filesystem
Create or Update Disk,Conflict,modified,Disk,file,filesystem
Create or Update Network Interface,unknown,modified,Network Interface,file,filesystem
Create or Update Network Interface,Started,modified,Network Interface,file,filesystem
Create or Update Network Interface,OK,modified,Network Interface,file,filesystem
