operationName,action,object_category,vendor_product
MICROSOFT.EVENTHUB/NAMESPACES/EVENTHUBS/WRITE,created,Eventhub,Azure Event Hubs
MICROSOFT.EVENTHUB/NAMESPACES/EVENTHUBS/DELETE,deleted,Eventhub,Azure Event Hubs
MICROSOFT.STORAGE/STORAGEACCOUNTS/WRITE,modified,Storage Account,Azure Storage
MICROSOFT.STORAGE/STORAGEACCOUNTS/DELETE,deleted,Storage Account,Azure Storage
MICROSOFT.STORAGE/STORAGEACCOUNTS/BLOBSERVICES/CONTAINERS/DELETE,deleted,Container,Azure Storage
MICROSOFT.INSIGHTS/DIAGNOSTICSETTINGS/WRITE,modified,Diagnostic Settings,Azure Monitor
MICROSOFT.INSIGHTS/DIAGNOSTICSETTINGS/DELETE,deleted,Diagnostic Settings,Azure Monitor
MICROSOFT.EVENTHUB/NAMESPACES/DELETE,deleted,Namespace,Azure Event Hubs
MICROSOFT.EVENTHUB/NAMESPACES/WRITE,modified,Namespace,Azure Event Hubs
MICROSOFT.RESOURCES/DEPLOYMENTS/WRITE,modified,Deployment,Azure Resource Manager
MICROSOFT.RESOURCES/DEPLOYMENTS/DELETE,deleted,Deployment,Azure Resource Manager
MICROSOFT.WEB/SERVERFARMS/WRITE,modified,App Service Plan,Azure App service
MICROSOFT.WEB/SERVERFARMS/DELETE,deleted,App Service Plan,Azure App service
MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTS/WRITE,created,Role Assignment,Azure RBAC
MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTS/DELETE,deleted,Role Assignment,Azure RBAC
MICROSOFT.STORAGE/STORAGEACCOUNTS/LISTKEYS/ACTION,read,Storage Account,Azure Storage
MICROSOFT.STORAGE/STORAGEACCOUNTS/LISTACCOUNTSAS/ACTION,read,Storage Account,Azure Storage
MICROSOFT.STORAGE/STORAGEACCOUNTS/BLOBSERVICES/CONTAINERS/WRITE,created,Container,Azure Storage
MICROSOFT.AUTHORIZATION/ROLEDEFINITIONS/WRITE,created,Role Definition,Azure RBAC
MICROSOFT.AUTHORIZATION/ROLEDEFINITIONS/DELETE,deleted,Role Definition,Azure RBAC
MICROSOFT.AUTHORIZATION/POLICYASSIGNMENTS/WRITE,created,Policy Assignment,Azure Policy
MICROSOFT.AUTHORIZATION/POLICYASSIGNMENTS/DELETE,deleted,Policy Assignment,Azure Policy
MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/WRITE,created,Resource Group,Azure Resource Manager
MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/DELETE,deleted,Resource Group,Azure Resource Manager
MICROSOFT.WEB/SITES/WRITE,modified,Web App,Azure App service
MICROSOFT.WEB/SITES/DELETE,deleted,Web App,Azure App service
MICROSOFT.WEB/SITES/FUNCTIONS/LISTKEYS/ACTION,read,Function Keys,Azure App service
MICROSOFT.WEB/SITES/HOST/LISTKEYS/ACTION,read,Function App,Azure App service
MICROSOFT.COMPUTE/DISKS/WRITE,modified,Disk,Azure Virtual Machines
MICROSOFT.COMPUTE/DISKS/DELETE,deleted,Disk,Azure Virtual Machines
MICROSOFT.COMPUTE/SSHPUBLICKEYS/WRITE,modified,SSH Public Key,Azure Virtual Machines
MICROSOFT.EVENTHUB/NAMESPACES/AUTHORIZATIONRULES/LISTKEYS/ACTION,read,Authorizationrule,Azure Event Hubs
MICROSOFT.EVENTHUB/NAMESPACES/AUTHORIZATIONRULES/WRITE,created,Authorizationrule,Azure Event Hubs
MICROSOFT.EVENTHUB/NAMESPACES/EVENTHUBS/CONSUMERGROUPS/WRITE,modified,Consumer Group,Azure Event Hubs
MICROSOFT.INSIGHTS/ACTIONGROUPS/WRITE,created,Action Group,Azure Monitor
MICROSOFT.INSIGHTS/ACTIVITYLOGALERTS/WRITE,modified,Activity Log Alert,Azure Monitor
MICROSOFT.INSIGHTS/COMPONENTS/WRITE,modified,application insights component,Azure Monitor
MICROSOFT.NETWORK/REGISTER/ACTION,modified,resource provider,Microsoft Azure
MICROSOFT.INSIGHTS/METRICALERTS/WRITE,modified,Metric Alert,Azure Monitor
MICROSOFT.NETWORK/NETWORKINTERFACES/DELETE,deleted,Network Interface,Azure Virtual Network
MICROSOFT.NETWORK/NETWORKINTERFACES/WRITE,modified,Network Interface,Azure Virtual Network
MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/WRITE,modified,Network Security Group,Azure Virtual Network
MICROSOFT.NETWORK/NETWORKWATCHERS/IPFLOWVERIFY/ACTION,read,IP Flow Verify,Azure Network Watcher
MICROSOFT.NETWORK/PUBLICIPADDRESSES/DELETE,deleted,Public IP Address,Azure Virtual Network
MICROSOFT.NETWORK/PUBLICIPADDRESSES/WRITE,modified,Public IP Address,Azure Virtual Network
MICROSOFT.NETWORK/VIRTUALNETWORKS/WRITE,modified,Virtual Network,Azure Virtual Network
MICROSOFT.OPERATIONALINSIGHTS/REGISTER/ACTION,modified,resource provider,Azure Monitor
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/DATASOURCES/WRITE,modified,Datasource,Azure Monitor
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/LINKEDSERVICES/WRITE,modified,Linked Service,Azure Monitor
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/SHAREDKEYS/ACTION,read,WORKSPACES,Azure Monitor
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/WRITE,modified,WORKSPACES,Azure Monitor
MICROSOFT.OPERATIONSMANAGEMENT/REGISTER/ACTION,modified,resource provider,Azure Monitor
MICROSOFT.OPERATIONSMANAGEMENT/SOLUTIONS/WRITE,created,OMS solution,Azure Monitor
MICROSOFT.RESOURCEHEALTH/REGISTER/ACTION,modified,resource provider,Azure Service Health
MICROSOFT.SECURITY/ADVANCEDTHREATPROTECTIONSETTINGS/WRITE,modified,Advanced Threat Protection Setting,Azure Security Center
MICROSOFT.SECURITY/AUTOPROVISIONINGSETTINGS/WRITE,modified,subscription,Azure Security Center
MICROSOFT.SECURITY/PRICINGS/WRITE,modified,Pricing,Azure Security Center
MICROSOFT.SECURITY/REGISTER/ACTION,modified,resource provider,Azure Security Center
