operationName,resultType,dataset_name
MICROSOFT.ALERTSMANAGEMENT/SMARTDETECTORALERTRULES/WRITE,succe*,all_changes
MICROSOFT.ALERTSMANAGEMENT/SMARTDETECTORALERTRULES/WRITE,fail*,all_changes
MICROSOFT.AUTHORIZATION/POLICYASSIGNMENTS/DELETE,succe*,all_changes
MICROSOFT.AUTHORIZATION/POLICYASSIGNMENTS/DELETE,fail*,all_changes
MICROSOFT.AUTHORIZATION/POLICYASSIGNMENTS/WRITE,succe*,all_changes
MICROSOFT.AUTHORIZATION/POLICYASSIGNMENTS/WRITE,fail*,all_changes
MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTS/DELETE,succe*,all_changes
MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTS/DELETE,fail*,all_changes
MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTS/WRITE,succe*,all_changes
MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTS/WRITE,fail*,all_changes
MICROSOFT.AUTHORIZATION/ROLEDEFINITIONS/DELETE,succe*,all_changes
MICROSOFT.AUTHORIZATION/ROLEDEFINITIONS/DELETE,fail*,all_changes
MICROSOFT.AUTHORIZATION/ROLEDEFINITIONS/WRITE,succe*,all_changes
MICROSOFT.AUTHORIZATION/ROLEDEFINITIONS/WRITE,fail*,all_changes
MICROSOFT.COMPUTE/DISKS/DELETE,succe*,all_changes
MICROSOFT.COMPUTE/DISKS/DELETE,fail*,all_changes
MICROSOFT.COMPUTE/DISKS/WRITE,succe*,all_changes
MICROSOFT.COMPUTE/DISKS/WRITE,fail*,all_changes
MICROSOFT.COMPUTE/SSHPUBLICKEYS/GENERATEKEYPAIR/ACTION,succe*,all_changes
MICROSOFT.COMPUTE/SSHPUBLICKEYS/GENERATEKEYPAIR/ACTION,fail*,all_changes
MICROSOFT.COMPUTE/SSHPUBLICKEYS/WRITE,succe*,all_changes
MICROSOFT.COMPUTE/SSHPUBLICKEYS/WRITE,fail*,all_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/DEALLOCATE/ACTION,succe*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/DEALLOCATE/ACTION,fail*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/DELETE,succe*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/DELETE,fail*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/EXTENSIONS/WRITE,succe*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/EXTENSIONS/WRITE,fail*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/RESTART/ACTION,succe*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/RESTART/ACTION,fail*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/START/ACTION,succe*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/START/ACTION,fail*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/WRITE,succe*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/WRITE,fail*,instance_changes
MICROSOFT.COMPUTE/VIRTUALMACHINES/WRITE,accept,instance_changes
MICROSOFT.EVENTHUB/NAMESPACES/AUTHORIZATIONRULES/LISTKEYS/ACTION,succe*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/AUTHORIZATIONRULES/LISTKEYS/ACTION,fail*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/AUTHORIZATIONRULES/WRITE,succe*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/AUTHORIZATIONRULES/WRITE,fail*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/DELETE,succe*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/DELETE,fail*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/EVENTHUBS/CONSUMERGROUPS/WRITE,succe*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/EVENTHUBS/CONSUMERGROUPS/WRITE,fail*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/EVENTHUBS/DELETE,succe*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/EVENTHUBS/DELETE,fail*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/EVENTHUBS/WRITE,succe*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/EVENTHUBS/WRITE,fail*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/WRITE,succe*,all_changes
MICROSOFT.EVENTHUB/NAMESPACES/WRITE,fail*,all_changes
MICROSOFT.INSIGHTS/ACTIONGROUPS/WRITE,succe*,all_changes
MICROSOFT.INSIGHTS/ACTIONGROUPS/WRITE,fail*,all_changes
MICROSOFT.INSIGHTS/ACTIVITYLOGALERTS/WRITE,succe*,all_changes
MICROSOFT.INSIGHTS/ACTIVITYLOGALERTS/WRITE,fail*,all_changes
MICROSOFT.INSIGHTS/COMPONENTS/WRITE,succe*,all_changes
MICROSOFT.INSIGHTS/COMPONENTS/WRITE,fail*,all_changes
MICROSOFT.INSIGHTS/DIAGNOSTICSETTINGS/DELETE,succe*,all_changes
MICROSOFT.INSIGHTS/DIAGNOSTICSETTINGS/DELETE,fail*,all_changes
MICROSOFT.INSIGHTS/DIAGNOSTICSETTINGS/WRITE,succe*,all_changes
MICROSOFT.INSIGHTS/DIAGNOSTICSETTINGS/WRITE,fail*,all_changes
MICROSOFT.INSIGHTS/METRICALERTS/WRITE,succe*,all_changes
MICROSOFT.INSIGHTS/METRICALERTS/WRITE,fail*,all_changes
MICROSOFT.NETWORK/NETWORKINTERFACES/DELETE,succe*,all_changes
MICROSOFT.NETWORK/NETWORKINTERFACES/DELETE,fail*,all_changes
MICROSOFT.NETWORK/NETWORKINTERFACES/WRITE,succe*,all_changes
MICROSOFT.NETWORK/NETWORKINTERFACES/WRITE,fail*,all_changes
MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/WRITE,succe*,all_changes
MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/WRITE,fail*,all_changes
MICROSOFT.NETWORK/NETWORKWATCHERS/IPFLOWVERIFY/ACTION,succe*,all_changes
MICROSOFT.NETWORK/NETWORKWATCHERS/IPFLOWVERIFY/ACTION,fail*,all_changes
MICROSOFT.NETWORK/PUBLICIPADDRESSES/DELETE,succe*,all_changes
MICROSOFT.NETWORK/PUBLICIPADDRESSES/DELETE,fail*,all_changes
MICROSOFT.NETWORK/PUBLICIPADDRESSES/WRITE,succe*,all_changes
MICROSOFT.NETWORK/PUBLICIPADDRESSES/WRITE,fail*,all_changes
MICROSOFT.NETWORK/REGISTER/ACTION,succe*,all_changes
MICROSOFT.NETWORK/REGISTER/ACTION,fail*,all_changes
MICROSOFT.NETWORK/VIRTUALNETWORKS/WRITE,succe*,all_changes
MICROSOFT.NETWORK/VIRTUALNETWORKS/WRITE,fail*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/REGISTER/ACTION,succe*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/REGISTER/ACTION,fail*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/DATASOURCES/WRITE,succe*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/DATASOURCES/WRITE,fail*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/LINKEDSERVICES/WRITE,succe*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/LINKEDSERVICES/WRITE,fail*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/SHAREDKEYS/ACTION,succe*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/SHAREDKEYS/ACTION,fail*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/WRITE,succe*,all_changes
MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/WRITE,fail*,all_changes
MICROSOFT.OPERATIONSMANAGEMENT/REGISTER/ACTION,succe*,all_changes
MICROSOFT.OPERATIONSMANAGEMENT/REGISTER/ACTION,fail*,all_changes
MICROSOFT.OPERATIONSMANAGEMENT/SOLUTIONS/WRITE,succe*,all_changes
MICROSOFT.OPERATIONSMANAGEMENT/SOLUTIONS/WRITE,fail*,all_changes
MICROSOFT.RESOURCEHEALTH/REGISTER/ACTION,succe*,all_changes
MICROSOFT.RESOURCEHEALTH/REGISTER/ACTION,fail*,all_changes
MICROSOFT.RESOURCES/DEPLOYMENTS/DELETE,accept,all_changes
MICROSOFT.RESOURCES/DEPLOYMENTS/DELETE,fail*,all_changes
MICROSOFT.RESOURCES/DEPLOYMENTS/WRITE,succe*,all_changes
MICROSOFT.RESOURCES/DEPLOYMENTS/WRITE,fail*,all_changes
MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/DELETE,succe*,all_changes
MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/DELETE,fail*,all_changes
MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/WRITE,succe*,all_changes
MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/WRITE,fail*,all_changes
MICROSOFT.SECURITY/ADVANCEDTHREATPROTECTIONSETTINGS/WRITE,succe*,all_changes
MICROSOFT.SECURITY/ADVANCEDTHREATPROTECTIONSETTINGS/WRITE,fail*,all_changes
MICROSOFT.SECURITY/AUTOPROVISIONINGSETTINGS/WRITE,succe*,all_changes
MICROSOFT.SECURITY/AUTOPROVISIONINGSETTINGS/WRITE,fail*,all_changes
MICROSOFT.SECURITY/PRICINGS/WRITE,succe*,all_changes
MICROSOFT.SECURITY/PRICINGS/WRITE,fail*,all_changes
MICROSOFT.SECURITY/REGISTER/ACTION,succe*,all_changes
MICROSOFT.SECURITY/REGISTER/ACTION,fail*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/BLOBSERVICES/CONTAINERS/DELETE,succe*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/BLOBSERVICES/CONTAINERS/DELETE,fail*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/BLOBSERVICES/CONTAINERS/WRITE,succe*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/BLOBSERVICES/CONTAINERS/WRITE,fail*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/DELETE,succe*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/DELETE,fail*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/LISTACCOUNTSAS/ACTION,succe*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/LISTACCOUNTSAS/ACTION,fail*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/LISTKEYS/ACTION,succe*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/LISTKEYS/ACTION,fail*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/WRITE,succe*,all_changes
MICROSOFT.STORAGE/STORAGEACCOUNTS/WRITE,fail*,all_changes
MICROSOFT.WEB/SERVERFARMS/DELETE,succe*,all_changes
MICROSOFT.WEB/SERVERFARMS/DELETE,fail*,all_changes
