vm_size, cpu_cores, mem_capacity, storage_capacity
Standard_A0, 1, 805306368, 1098437885952
Standard_A1, 1, 1879048192, 2196875771904
Standard_A2, 2, 3758096384, 4393751543808
Standard_A3, 4, 7516192768, 8787503087616
Standard_A4, 8, 15032385536, 17575006175232
Standard_A5, 2, 15032385536, 4393751543808
Standard_A6, 4, 30064771072, 8787503087616
Standard_A7, 8, 60129542144, 17575006175232
Standard_A8, 8, 60129542144, 17575006175232
Standard_A9, 16, 120259084288, 17575006175232
Standard_A10, 8, 60129542144, 17575006175232
Standard_A11, 16, 120259084288, 17575006175232
Standard_D1, 1, 3758096384, 2196875771904
Standard_D2, 2, 7516192768, 4393751543808
Standard_D3, 4, 15032385536, 8787503087616
Standard_D4, 8, 30064771072, 17575006175232
Standard_D11, 2, 15032385536, 4393751543808
Standard_D12, 4, 30064771072, 8787503087616
Standard_D13, 8, 60129542144, 17575006175232
Standard_D14, 16, 120259084288, 35150012350464
Standard_D1_v2, 1, 3758096384, 2196875771904
Standard_D2_v2, 2, 7516192768, 4393751543808
Standard_D3_v2, 4, 15032385536, 8787503087616
Standard_D4_v2, 8, 30064771072, 17575006175232
Standard_D5_v2, 16, 60129542144, 35150012350464
Standard_D11_v2, 2, 15032385536, 4393751543808
Standard_D12_v2, 4, 30064771072, 8787503087616
Standard_D13_v2, 8, 60129542144, 17575006175232
Standard_D14_v2, 16, 120259084288, 35150012350464
Standard_D15_v2, 20, 150323855360, 4393751543808
Standard_DS1, 1, 3758096384, 2196875771904
Standard_DS2, 2, 7516192768, 4393751543808
Standard_DS3, 4, 15032385536, 8787503087616
Standard_DS4, 8, 30064771072, 17575006175232
Standard_DS11, 2, 15032385536, 4393751543808
Standard_DS12, 4, 30064771072, 8787503087616
Standard_DS13, 8, 60129542144, 17575006175232
Standard_DS14, 16, 120259084288, 35150012350464
Standard_DS1_v2, 1, 3758096384, 2196875771904
Standard_DS2_v2, 2, 7516192768, 4393751543808
Standard_DS3_v2, 4, 15032385536, 8787503087616
Standard_DS4_v2, 8, 30064771072, 17575006175232
Standard_DS5_v2, 16, 60129542144, 35150012350464
Standard_DS11_v2, 2, 15032385536, 4393751543808
Standard_DS12_v2, 4, 30064771072, 8787503087616
Standard_DS13_v2, 8, 60129542144, 17575006175232
Standard_DS14_v2, 16, 120259084288, 35150012350464
Standard_DS15_v2, 20, 150323855360, 43937515438080
Standard_F1, 1, 2147483648, 2196875771904
Standard_F2, 2, 4294967296, 4393751543808
Standard_F4, 4, 8589934592, 8787503087616
Standard_F8, 8, 17179869184, 17575006175232
Standard_F16, 16, 34359738368, 35150012350464
Standard_F1s, 1, 2147483648, 2196875771904
Standard_F2s, 2, 4294967296, 4393751543808
Standard_F4s, 4, 8589934592, 8787503087616
Standard_F8s, 8, 17179869184, 17575006175232
Standard_F16s, 16, 34359738368, 35150012350464
Standard_G1, 2, 30064771072, 4393751543808
Standard_G2, 4, 60129542144, 8787503087616
Standard_G3, 8, 120259084288, 17575006175232
Standard_G4, 16, 240518168576, 35150012350464
Standard_G5, 32, 481036337152, 70300024700928
Standard_GS1, 2, 30064771072, 4393751543808
Standard_GS2, 4, 60129542144, 8787503087616
Standard_GS3, 8, 120259084288, 17575006175232
Standard_GS4, 16, 240518168576, 35150012350464
Standard_GS5, 32, 481036337152, 70300024700928
Standard_NV6, 6, 60129542144, 408021893120
Standard_NV12, 12, 120259084288, 730144440320
Standard_NV24, 24, 240518168576, 1546188226560
Standard_NC6, 6, 60129542144, 408021893120
Standard_NC12, 12, 120259084288, 730144440320
Standard_NC24, 24, 240518168576, 1546188226560
