monitoringruledisplayname,enabled_by_default,target_class,description,counter_type,counter_category,supported_os
% Logical Disk Free Space 2003,1,Windows Server 2003 Logical Disk,The percentage of total usable space on the logical disk that is unallocated,Performance,Storage,Windows Server 2003
% Logical Disk Free Space 2008,1,Windows Server 2008 Logical Disk,The percentage of total usable space on the logical disk that is unallocated,Performance,Storage,Windows Server 2008
% Logical Disk Free Space Windows Server 2012,1,Windows Server 2012 Logical Disk,The percentage of total usable space on the logical disk that is unallocated,Performance,Storage,Windows Server 2012
% Logical Disk Free Space Windows Server 2016 and 1709+,1,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",The percentage of total usable space on the logical disk that is unallocated,Performance,Storage,"Windows Server 2016,Windows Server 2019"
% Logical Disk Idle Time 2003,1,Windows Server 2003 Logical Disk,The percentage of time during the sample interval that the disk was idle.,Performance,Storage,Windows Server 2003
% Logical Disk Idle Time 2008,1,Windows Server 2008 Logical Disk,The percentage of time during the sample interval that the disk was idle.,Performance,Storage,Windows Server 2008
% Logical Disk Idle Time Windows Server 2012,1,Windows Server 2012 Logical Disk,The percentage of time during the sample interval that the disk was idle.,Performance,Storage,Windows Server 2012
% Logical Disk Idle Time Windows Server 2016 and 1709+,1,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",The percentage of time during the sample interval that the disk was idle.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
% Physical Disk Idle Time 2003,0,Windows Server 2003 Physical Disk,The percentage of time during the sample interval that the disk was idle.,Performance,Storage,Windows Server 2003
% Physical Disk Idle Time 2008,0,Windows Server 2008 Physical Disk,The percentage of time during the sample interval that the disk was idle.,Performance,Storage,Windows Server 2008
% Physical Disk Idle Time Windows Server 2012,0,Windows Server 2012 Physical Disk,The percentage of time during the sample interval that the disk was idle.,Performance,Storage,Windows Server 2012
% Physical Disk Idle Time Windows Server 2016 and 1709+,0,"Windows Server 2016 Physical Disk,Windows Server 2019 Physical Disk",The percentage of time during the sample interval that the disk was idle.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
A Service has Entered into an Unpredictable State,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",A service has entered an unpredictable state.,Alerts,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
A Service is Misconfigured,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",A service has been detected as misconfigured.,Alerts,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
A Service or Driver Failed to Start,0,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",An event was detected indicating a service or driver failed to start.,Alerts,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
A Service Terminated Unexpectedly,0,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",An event was collected indicating an unexpected service termination.,Alerts,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
A Share Configuration is Invalid,0,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",A share was detected as having invalid configuration.,Alerts,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
A Software Update Installation Failed,0,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",A failed software update installation was detected.,Alerts,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Average Disk Write Queue Length 2003 (Logical Disk),0,Windows Server 2003 Logical Disk,The average number of write requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2003
Average Disk Write Queue Length 2003 (Physical Disk),0,Windows Server 2003 Physical Disk,The average number of write requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2003
Average Disk Write Queue Length Windows Server 2012 (Logical Disk),0,Windows Server 2012 Logical Disk,The average number of write requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2012
Average Disk Write Queue Length Windows Server 2012 (Physical Disk),0,Windows Server 2012 Physical Disk,The average number of write requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2012
