eventType,change_type,object_category,object_attrs
app.approval_workflow .request_status_changed.APPROVED,,,
app.approval_workflow .request_status_changed.CREATED,,,
app.approval_workflow .request_status_changed.EXPIRED,,,
app.approval_workflowapprover_action.approved,,,
app.oauth2.as.authorize.implicit,,,
app.oauth2.as.key.rollover,AAA,AuthorizationServer,Status
app.oauth2.as.token.revoke.implicit,,,
app.oauth2.authorize.implicit,,,
app.oauth2.authorize.invalid_client_id,,,
app.oauth2.authorize.user_not_assigned,,,
app.oauth2.token.grant.access_token,AAA,access_token,
app.oauth2.token.grant.id_token,AAA,id_token,
app.oauth2.token.grant.refresh_token,AAA,refresh_token,
app.oauth2.token.revoke.implicit,,access_token,
app.realtimesync.import.details.update_user,AAA,User,UserProfile
app.user_management,AAA,AppUser,User
application.configuration.enable_delauth_outbound,,,
application.configuration.reset_logo,filesystem,AppInstance,ApplicationLogo
application.configuration.update_logo,filesystem,AppInstance,ApplicationLogo
application.lifecycle.activate,filesystem,AppInstance,
application.lifecycle.create,filesystem,AppInstance,
application.lifecycle.deactivate,filesystem,AppInstance,Status
application.lifecycle.delete,filesystem,AppInstance,
application.lifecycle.update,filesystem,AppInstance,Status
application.policy.sign_on.rule.create,AAA,AppInstance,PolicyRule
application.policy.sign_on.rule.delete,,,
application.policy.sign_on.update,AAA,AppInstance,PolicyEntity
application.provision.integration.call_api,,,
application.provision.user.deactivate,AAA,User,ApplicationProfile
application.provision.user.deprovision,AAA,AppUser,ApplicationProfile
application.provision.user.push,AAA,User,ApplicationProfile
application.provision.user.push_profile,AAA,User,ApplicationProfile
application.provision.user.reactivate,AAA,User,ApplicationProfile
application.provision.user.sync,AAA,User,UserApplication
application.user_membership.add,AAA,User,ApplicationMembership
application.user_membership.change_password,AAA,User,
application.user_membership.change_username,AAA,User,Username
application.user_membership.remove,AAA,User,ApplicationMembership
application.user_membership.restore,AAA,User,ApplicationMembership
application.user_membership.restore_password,AAA,User,ApplicationMembership
application.user_membership.show_password,,,
application.user_membership.update,AAA,User,ApplicationMembership
device.user.remove,AAA,UDDevice,
directory.app_user_profile.bootstrap,AAA,AppInstance,ApplicationProfile
directory.app_user_profile.update,filesystem,AppInstance,
directory.mapping.update,filesystem,ProfileMapping,DirectoryMapping
directory.user_profile.update,filesystem,Schema,
group.application_assignment.add,filesystem,AppInstance,Application
group.application_assignment.remove,filesystem,AppInstance,Application
group.application_assignment.update,AAA,AppInstance,
group.lifecycle.create,filesystem,UserGroup,Status
group.user_membership.add,AAA,User,User
group.user_membership.remove,AAA,User,User
group.user_membership.rule.trigger,,,
oauth2.as.created,AAA,AuthorizationServerEntity,
oauth2.as.updated,AAA,AuthorizationServerEntity,
oauth2.claim.created,filesystem,OAuth2ClaimEntity,
oauth2.claim.deleted,filesystem,OAuth2ClaimEntity,
oauth2.resource.created,,,
oauth2.resource.updated,,,
oauth2.scope.created,AAA,OAuth2ScopeEntity,
policy.execute.user.start,AAA,User,PolicyEntity
policy.lifecycle.activate,filesystem,PolicyEntity,
