event_type,release_note_date,admin_interest,security_interest,event_type_description,event_type_tags
app.ad.api.user_import.warn.skipped_user.missing_required_attribute,2011.01,0,0,Skipping import of user due to a required AD attribute being null.,ad-app
app.ldap.password.change.failed,2014.18,0,0,Password change failed.,ldap-app
app.realtimesync.import.details.delete_user,2014.25,0,0,Real time sync removed existing User.,app
app.realtimesync.import.details.update_user,2014.25,0,0,Fired when a real time import includes an update to an existing user. This can be used to see details about the user updates included in a real time sync import. When fired this event contains information about the type of update made including whether or not a user was suspend or unsuspended. Related events include: app.realtimesync.import.details_add_user and app.realtimesync.import.details_delete_user.,app
app.realtimesync.import.details.add_user,2014.25,0,0,Real time sync added new User.,app
app.ad.api.user_import.warn.skipped_user.attribute_invalid_value,2015.47,0,0,Skipping import of user due to an invalid AD attribute.,ad-app
app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value,2015.47,0,0,Skipping import of contact due to invalid attribute. Please consult with your Active Directory admin if you believe this contact should be imported.,ad-app
application.user_membership.restore,2016.02,1,0,Restore user assignment to an application.,app
application.user_membership.restore_password,2016.02,1,0,Restore user's password for an application.,app
application.user_membership.update,2016.02,1,0,Updated user application property.,app
group.user_membership.remove,2016.02,1,0,Remove user from group membership.,"event-hook-eligible,group"
user.authentication.auth_via_iwa,2016.02,0,0,Authenticate user via IWA.,user
user.authentication.auth_via_mfa,2016.02,0,0,Authentication of user via MFA. For Okta Classic orgs this event will only fire for second factor verifications whereas for Identity Engine orgs this event will fire for both primary and second factor verifications.,"event-hook-eligible,mfa"
user.lifecycle.deactivate,2016.02,0,1,Deactivate Okta user.,"event-hook-eligible,user"
user.session.start,2016.02,0,0,User login to Okta.,"end-user-visible,event-hook-eligible,session,user"
application.user_membership.change_username,2016.02,1,0,Change user's application username.,app
user.lifecycle.create,2016.02,0,0,Create Okta user.,"event-hook-eligible,user"
user.account.lock,2016.02,0,0,Auto-lock user account for Okta.,"account,event-hook-eligible,user"
user.authentication.auth,2016.02,0,0,Authenticate user.,user
user.session.end,2016.02,0,0,User logout from Okta.,"event-hook-eligible,session,user"
user.authentication.auth_via_inbound_delauth,2016.02,0,0,Authenticate user via inbound delauth.,user
application.user_membership.remove,2016.02,1,0,Remove user's application membership.,"event-hook-eligible,user-provision"
application.user_membership.show_password,2016.02,1,0,Show user's password for application.,app
