ORACODE,DESCRIPTION,CAUSE,ACTION
ORA-00000,"normal, successful completion","Normal exit.","None"
ORA-00001,"unique constraint (string.string) violated","An UPDATE or INSERT statement attempted to insert a duplicate key. For Trusted Oracle configured in DBMS MAC mode, you may see this message if a duplicate entry exists at a different level.","Either remove the unique restriction or do not insert the key."
ORA-1,"unique constraint (string.string) violated","An UPDATE or INSERT statement attempted to insert a duplicate key. For Trusted Oracle configured in DBMS MAC mode, you may see this message if a duplicate entry exists at a different level.","Either remove the unique restriction or do not insert the key."
ORA-00017,"session requested to set trace event","The current session was requested to set a trace event by another session.","This is used internally; no action is required."
ORA-17,"session requested to set trace event","The current session was requested to set a trace event by another session.","This is used internally; no action is required."
ORA-00018,"maximum number of sessions exceeded","All session state objects are in use.","Increase the value of the SESSIONS initialization parameter."
ORA-18,"maximum number of sessions exceeded","All session state objects are in use.","Increase the value of the SESSIONS initialization parameter."
ORA-00019,"maximum number of session licenses exceeded","All licenses are in use.","Increase the value of the LICENSE MAX SESSIONS initialization parameter."
ORA-19,"maximum number of session licenses exceeded","All licenses are in use.","Increase the value of the LICENSE MAX SESSIONS initialization parameter."
ORA-00020,"maximum number of processes (string) exceeded","All process state objects are in use.","Increase the value of the PROCESSES initialization parameter."
ORA-20,"maximum number of processes (string) exceeded","All process state objects are in use.","Increase the value of the PROCESSES initialization parameter."
ORA-00021,"session attached to some other process; cannot switch session","The user session is currently used by others.","Do not switch to a session attached to some other process."
ORA-21,"session attached to some other process; cannot switch session","The user session is currently used by others.","Do not switch to a session attached to some other process."
ORA-00022,"invalid session ID; access denied","Either the session specified does not exist or the caller does not have the privilege to access it.","Specify a valid session ID that you have privilege to access, that is either you own it or you have the CHANGE_USER privilege."
ORA-22,"invalid session ID; access denied","Either the session specified does not exist or the caller does not have the privilege to access it.","Specify a valid session ID that you have privilege to access, that is either you own it or you have the CHANGE_USER privilege."
ORA-00023,"session references process private memory; cannot detach session","An attempt was made to detach the current session when it contains references to process private memory.","A session may contain references to process memory (PGA) if it has an open network connection, a very large context area, or operating system privileges. To allow the detach, it may be necessary to close the session's database links and/or cursors. Detaching a session with operating system privileges is always disallowed."
ORA-23,"session references process private memory; cannot detach session","An attempt was made to detach the current session when it contains references to process private memory.","A session may contain references to process memory (PGA) if it has an open network connection, a very large context area, or operating system privileges. To allow the detach, it may be necessary to close the session's database links and/or cursors. Detaching a session with operating system privileges is always disallowed."
ORA-00024,"logins from more than one process not allowed in single-process mode","Trying to login more than once from different processes for ORACLE started in single-process mode.","Logoff from the other process."
ORA-24,"logins from more than one process not allowed in single-process mode","Trying to login more than once from different processes for ORACLE started in single-process mode.","Logoff from the other process."
ORA-00025,"failed to allocate string","Out of memory.","Restart with larger sga heap."
ORA-25,"failed to allocate string","Out of memory.","Restart with larger sga heap."
ORA-00026,"missing or invalid session ID","Missing or invalid session ID string for ALTER SYSTEM KILL SESSION.","Retry with a valid session ID."
ORA-26,"missing or invalid session ID","Missing or invalid session ID string for ALTER SYSTEM KILL SESSION.","Retry with a valid session ID."
ORA-00027,"cannot kill current session","Attempted to use ALTER SYSTEM KILL SESSION to kill the current session.","None"
ORA-27,"cannot kill current session","Attempted to use ALTER SYSTEM KILL SESSION to kill the current session.","None"
ORA-00028,"your session has been killed","A privileged user has killed your session and you are no longer logged on to the database.","Login again if you wish to continue working."
ORA-28,"your session has been killed","A privileged user has killed your session and you are no longer logged on to the database.","Login again if you wish to continue working."
ORA-00029,"session is not a user session","The session ID specified in an ALTER SYSTEM KILL SESSION command was not a user session (for example, recursive, etc.).","Retry with a user session ID."
ORA-29,"session is not a user session","The session ID specified in an ALTER SYSTEM KILL SESSION command was not a user session (for example, recursive, etc.).","Retry with a user session ID."
ORA-00030,"User session ID does not exist.","The user session ID no longer exists, probably because the session was logged out.","Use a valid session ID."
ORA-30,"User session ID does not exist.","The user session ID no longer exists, probably because the session was logged out.","Use a valid session ID."
ORA-00031,"session marked for kill","The session specified in an ALTER SYSTEM KILL SESSION command cannot be killed immediately (because it is rolling back or blocked on a network operation), but it has been marked for kill. This means it will be killed as soon as possible after its current uninterruptable operation is done.","No action is required for the session to be killed, but further executions of the ALTER SYSTEM KILL SESSION command on this session may cause the session to be killed sooner."
ORA-31,"session marked for kill","The session specified in an ALTER SYSTEM KILL SESSION command cannot be killed immediately (because it is rolling back or blocked on a network operation), but it has been marked for kill. This means it will be killed as soon as possible after its current uninterruptable operation is done.","No action is required for the session to be killed, but further executions of the ALTER SYSTEM KILL SESSION command on this session may cause the session to be killed sooner."
ORA-00032,"invalid session migration password","The session migration password specified in a session creation call was invalid (probably too long).","Retry with a valid password (less than 30 chars)."
