signature_id,action,status,change_type
550,modified,success,filesystem
551,modified,success,filesystem
552,modified,success,filesystem
553,deleted,success,filesystem
554,created,success,filesystem
555,modified,success,filesystem
580,modified,success,host_information
581,created,success,host_information
591,modified,success,filesystem
592,modified,success,filesystem
593,cleared,success,filesystem
594,modified,success,filesystem
595,modified,success,filesystem
596,modified,success,filesystem
597,deleted,success,filesystem
598,created,success,filesystem
5302,failure,,
5303,modified,success,AAA
5304,modified,success,AAA
5402,success,,authentication
5502,success,,authentication
5503,failure,,authentication
5715,success,,authentication
5716,failure,,authentication
18106,failure,,authentication
18107,success,,authentication
18149,success,,authentication
18130,failure,,authentication
5710,failure,,authentication
5557,failure,,authentication
10100,success,,authentication
5405,failure,,authentication
11205,success,,authentication
18105,blocked,,
18153,blocked,,
502,started,started,
2932,modified,success,configs
2933,modified,success,configs
2934,deleted,success,configs
5501,success,,
11201,added,,
5555,modified,success,AAA
5901,created,success,AAA
5902,created,success,AAA
5403,success,,
18145,modified,success,service
18103,failure,stopped,
18147,,started,
