vendor_action_id,vendor_action_description,action,object_category,object,change_type,object_attrs,status
10024,LINK_PRINCIPAL_ADMIN_ROLE,modified,user,,AAA,,
10025,UNLINK_PRINCIPAL_ADMIN_ROLE,modified,user,,AAA,,
10047,LINK_GROUP_PRINCIPAL,modified,user,,AAA,,
10048,UNLINK_GROUP_PRINCIPAL,modified,user,,AAA,,
10051,CREATE_PRINCIPAL,created,user,,AAA,,
10054,DELETE_PRINCIPAL,deleted,user,,AAA,PRINCIPAL,
10055,UPDATE_PRINCIPAL,modified,user,,AAA,,
20117,REMOTE_PRINCIPAL_CREATE,created,user,,AAA,,
20118,REMOTE_PRINCIPAL_UPDATE,modified,user,,AAA,,
20119,REMOTE_PRINCIPAL_DELETE,deleted,user,,AAA,,
20015,AM_ASSIGN_FIXED_PASSCODE,modified,user,,AAA,,
10292,CREATE_SYSTEMFIELDS_USER,created,user,,AAA,,
10244,RESET_SYSTEMFIELDS_USER_PASSWORD,modified,user,,AAA,,
10293,DELETE_SYSTEMFIELDS_USER,deleted,user,,AAA,,
20110,TRUSTED_USER_GROUP_CREATE,created,group,,AAA,,
20220,TRUSTED_USER_GROUP_REMOTE_PRINCIPAL_UNLINK,modified,group,,AAA,,
20114,TRUSTED_USER_GROUP_REMOTE_PRINCIPAL_LINK,modified,group,,AAA,,
20112,TRUSTED_USER_GROUP_DELETE,deleted,group,,AAA,,
20111,TRUSTED_USER_GROUP_UPDATE,modified,group,,AAA,,
20221,TRUSTED_USER_GROUP_AGENT_LINK,modified,group,,AAA,,
20020,AUTHMGR_AGENT_UPDATE,modified,user,,AAA,,
20014,AUTHMGR_AGENT_CREATE,created,user,,AAA,,
20115,TRUSTED_USER_GROUP_AGENT_UNLINK,modified,group,,AAA,,
10021,DELETE_ADMIN_ROLE,deleted,user,,AAA,,
10023,UPDATE_ADMIN_ROLE,modified,user,,AAA,,
10020,CREATE_ADMIN_ROLE,created,user,,AAA,,
10087,UPDATE_SECURITY_QUESTIONS_POLICY,modified,policy,,filesystem,,
10059,CREATE_PRINCIPAL_PREFERENCES,modified,user,,AAA,,
10061,UPDATE_PRINCIPAL_PREFERENCES,modified,user,,AAA,,
26010,IMPORT_TOKEN,modified,policy,token,AAA,,
20052,AUTHMGR_TOKEN_POLICY_CREATE,created,policy,,filesystem,,
20053,AUTHMGR_TOKEN_POLICY_UPDATE,modified,policy,,AAA,,
20054,AUTHMGR_TOKEN_POLICY_DELETE,deleted,policy,,filesystem,,
20125,AUTHMGR_SELFSERVICETOKEN_MANAGEMENT,modified,token,,filesystem,,
16257,SYNC_PROPERTIES,modified,system,synchronize properties,AAA,,
16256,CONF_VALUE_UPDATED,modified,conf parameter,configuration,AAA,,
10005,CREATE_SECURITY_DOMAIN,created,domain,,AAA,,
10007,UPDATE_SECURITY_DOMAIN,modified,domain,,AAA,,
10212,ADD_BATCH_JOB,modified,batch job,,AAA,,
16032,DELETE_BATCH_JOB,deleted,batch job,BATCH_JOB,AAA,,
51001,RBA_UPDATE_MANAGER_INFO,modified,system,system configuration,AAA,,success
16332,FILE_SERVICE_DELETE_FILE,deleted,file,file,filesystem,,
10039,CREATE_GROUP,created,group,,AAA,,
10040,UPDATE_GROUP,modified,group,,AAA,,
10015,UPDATE_ATTRIBUTE,modified,attribute,,AAA,,
10045,LINK_GROUP_GROUP,modified,group,,AAA,,
10017,CREATE_ATTRIBUTE_MAPPING,created,attribute,,AAA,,
26101,CLEANUP_EXPIRED_AUTHENTICATORS_JOB,modified,system,system configuration,AAA,,
10065,UPDATE_REALM_PREFERENCES,modified,preferences,,AAA,,
20051,AUTHMGR_OFFLINE_AUTHN_POLICY_UPDATE,modified,policy,,filesystem,,
10032,UPDATE_PWD_POLICY,modified,policy,,filesystem,,
10034,CREATE_LOCKOUT_POLICY,created,policy,,filesystem,,
20248,AUTHMGR_TOKENPROFILES_ADD,modified,token profile,,AAA,,
10006,DELETE_SECURITY_DOMAIN,deleted,security domain,,AAA,,
16033,EXECUTE_BATCH_JOB,modified,batch job,BATCH_JOB,AAA,,
16334,FILE_SERVICE_OPEN_FILE,read,file,file,filesystem,,
16331,FILE_SERVICE_CREATE_FILE,created,file,file,filesystem,,
10044,DELETE_GROUP,deleted,group,,AAA,,
10046,UNLINK_GROUP_GROUP,modified,group,,AAA,,
10013,CREATE_ATTRIBUTE,created,attribute,,AAA,,
10016,DELETE_ATTRIBUTE,deleted,attribute,,AAA,,
10019,DELETE_ATTRIBUTE_MAPPING,deleted,attribute mapping,,AAA,,
10030,CREATE_PWD_POLICY,created,policy,,filesystem,,
10031,DELETE_PWD_POLICY,deleted,policy,,filesystem,,
20048,AUTHMGR_OFFLINE_AUTHN_POLICY_CREATE,created,policy,,filesystem,,
20049,AUTHMGR_OFFLINE_AUTHN_POLICY_DELETE,deleted,policy,,filesystem,,
10036,UPDATE_LOCKOUT_POLICY,modified,policy,,filesystem,,
10035,DELETE_LOCKOUT_POLICY,deleted,policy,,filesystem,,
10081,CREATE_SELFSERVICE_POLICY,created,policy,,filesystem,,
10083,UPDATE_SELFSERVICE_POLICY,modified,policy,,filesystem,,
10082,DELETE_SELFSERVICE_POLICY,deleted,policy,,filesystem,,
20099,SD_OAPOL_ASSOC,modified,domain,,AAA,,
20100,SD_OAPOL_DISASSOC,modified,domain,,AAA,,
20101,SD_TKNPOL_ASSOC,modified,domain,,AAA,,
20102,SD_TKNPOL_DISASSOC,modified,domain,,AAA,,
