vendor_action_id,vendor_action_description,event_type
10024,LINK_PRINCIPAL_ADMIN_ROLE,principal_event
10025,UNLINK_PRINCIPAL_ADMIN_ROLE,principal_event
10047,LINK_GROUP_PRINCIPAL,principal_event
10048,UNLINK_GROUP_PRINCIPAL,principal_event
10051,CREATE_PRINCIPAL,principal_event
10054,DELETE_PRINCIPAL,principal_event
10055,UPDATE_PRINCIPAL,principal_event
20117,REMOTE_PRINCIPAL_CREATE,principal_event
20118,REMOTE_PRINCIPAL_UPDATE,principal_event
20119,REMOTE_PRINCIPAL_DELETE,principal_event
20015,AM_ASSIGN_FIXED_PASSCODE,principal_event
10292,CREATE_SYSTEMFIELDS_USER,principal_event
10244,RESET_SYSTEMFIELDS_USER_PASSWORD,principal_event
10293,DELETE_SYSTEMFIELDS_USER,principal_event
20110,TRUSTED_USER_GROUP_CREATE,principal_event
20220,TRUSTED_USER_GROUP_REMOTE_PRINCIPAL_UNLINK,principal_event
20114,TRUSTED_USER_GROUP_REMOTE_PRINCIPAL_LINK,principal_event
20112,TRUSTED_USER_GROUP_DELETE,principal_event
20111,TRUSTED_USER_GROUP_UPDATE,principal_event
20221,TRUSTED_USER_GROUP_AGENT_LINK,principal_event
20020,AUTHMGR_AGENT_UPDATE,principal_event
20014,AUTHMGR_AGENT_CREATE,principal_event
20115,TRUSTED_USER_GROUP_AGENT_UNLINK,principal_event
10021,DELETE_ADMIN_ROLE,principal_event
10023,UPDATE_ADMIN_ROLE,principal_event
10020,CREATE_ADMIN_ROLE,principal_event
10087,UPDATE_SECURITY_QUESTIONS_POLICY,audit_event
10059,CREATE_PRINCIPAL_PREFERENCES,all_changes_event
10061,UPDATE_PRINCIPAL_PREFERENCES,all_changes_event
20052,AUTHMGR_TOKEN_POLICY_CREATE,all_changes_event
20053,AUTHMGR_TOKEN_POLICY_UPDATE,all_changes_event
20054,AUTHMGR_TOKEN_POLICY_DELETE,all_changes_event
20125,AUTHMGR_SELFSERVICETOKEN_MANAGEMENT,all_changes_event
10005,CREATE_SECURITY_DOMAIN,all_changes_event
10007,UPDATE_SECURITY_DOMAIN,all_changes_event
10212,ADD_BATCH_JOB,all_changes_event
10039,CREATE_GROUP,principal_event
10040,UPDATE_GROUP,principal_event
10015,UPDATE_ATTRIBUTE,all_changes_event
10045,LINK_GROUP_GROUP,principal_event
10017,CREATE_ATTRIBUTE_MAPPING,all_changes_event
10065,UPDATE_REALM_PREFERENCES,all_changes_event
20051,AUTHMGR_OFFLINE_AUTHN_POLICY_UPDATE,all_changes_event
10032,UPDATE_PWD_POLICY,all_changes_event
10034,CREATE_LOCKOUT_POLICY,all_changes_event
20248,AUTHMGR_TOKENPROFILES_ADD,all_changes_event
10006,DELETE_SECURITY_DOMAIN,all_changes_event
10044,DELETE_GROUP,principal_event
10046,UNLINK_GROUP_GROUP,principal_event
10013,CREATE_ATTRIBUTE,all_changes_event
10016,DELETE_ATTRIBUTE,all_changes_event
10019,DELETE_ATTRIBUTE_MAPPING,all_changes_event
10030,CREATE_PWD_POLICY,all_changes_event
10031,DELETE_PWD_POLICY,all_changes_event
20048,AUTHMGR_OFFLINE_AUTHN_POLICY_CREATE,all_changes_event
20049,AUTHMGR_OFFLINE_AUTHN_POLICY_DELETE,all_changes_event
10036,UPDATE_LOCKOUT_POLICY,all_changes_event
10035,DELETE_LOCKOUT_POLICY,all_changes_event
10081,CREATE_SELFSERVICE_POLICY,all_changes_event
10083,UPDATE_SELFSERVICE_POLICY,all_changes_event
10082,DELETE_SELFSERVICE_POLICY,all_changes_event
20099,SD_OAPOL_ASSOC,all_changes_event
20100,SD_OAPOL_DISASSOC,all_changes_event
20101,SD_TKNPOL_ASSOC,all_changes_event
20102,SD_TKNPOL_DISASSOC,all_changes_event
10204,MANAGE_ATTR_CATEGORY,all_changes_event
10215,CANCEL_BATCH_JOB,all_changes_event
20156,AM_TOKEN_ATTRDEF_CREATE,all_changes_event
20157,AM_TOKEN_ATTRDEF_UPDATE,all_changes_event
20158,AM_TOKEN_ATTRDEF_DELETE,all_changes_event
10068,CREATE_REPORT_QUERY,all_changes_event
10069,DELETE_REPORT_QUERY,all_changes_event
10070,UPDATE_REPORT_QUERY,all_changes_event
10243,ASSIGN_SYSTEMFIELDS_USER_ROLE,principal_event
20250,AUTHMGR_TOKENPROFILES_DELETE,all_changes_event
20249,AUTHMGR_TOKENPROFILES_UPDATE,all_changes_event
10271,UPDATE_SECURITY_QUESTIONS_LIST,all_changes_event
20178,AM_RADIUS_UPDATE_POLICY,all_changes_event
20142,AM_RADIUS_ATTRDEF_CREATE,all_changes_event
20143,AM_RADIUS_ATTRDEF_UPDATE,all_changes_event
20144,AM_RADIUS_ATTRDEF_DELETE,all_changes_event
10273,ADD_CERTIFICATE,all_changes_event
10274,DELETE_CERTIFICATE,all_changes_event
10200,CREATE_TRUST,all_changes_event
10202,UPDATE_TRUST,all_changes_event
10201,DELETE_TRUST,all_changes_event
20137,TRUSTED_USER_GROUP_ACCESS_HOURS_LINK_UNLINK,all_changes_event
10217,READ_REPORT_DATA,all_changes_event
10213,SCHEDULE_BATCH_JOB,all_changes_event
10214,DELETE_SCHEDULE_JOB,all_changes_event
20163,REALM_SETTINGS_READ,all_changes_event
20162,REALM_SETTINGS_UPDATE,all_changes_event
20058,AUTHMGR_AGENT_GROUP_LINK,all_changes_event
20059,AUTHMGR_AGENT_GROUP_UNLINK,all_changes_event
20081,AUTHMGR_FILE_CREATE,all_changes_event
20061,AUTHMGR_NODE_SECRET_EXPORTED,all_changes_event
20087,AUTH_NODE_SECRET_FILE_DOWNLOADED,all_changes_event
20063,AUTHMGR_AGENT_CLEAR_NODESECRET,all_changes_event
20070,AUTHMGR_APS_LIST_CREATE,all_changes_event
20072,AUTHMGR_APS_LIST_UPDATE,all_changes_event
20071,AUTHMGR_APS_LIST_DELETE,all_changes_event
20088,AUTHMGR_SERVER_CONFIG_DOWNLOAD,all_changes_event
30055,UCM_CREATE_WORKFLOW_POLICY,audit_event
30056,UCM_UPDATE_WORKFLOW_POLICY,audit_event
30057,UCM_DELETE_WORKFLOW_POLICY,audit_event
10028,UPDATE_AUTH_POLICY,audit_event
30062,ASSOCIATE_WORK_FLOW_POLICIES_TO_SECURITY_DOMAIN,audit_event
30008,UCM_MAIL_RESEND,email_event
20181,AM_RADIUS_LINK_PROFILE_PRINCIPAL,principal_event
