activityKey,action,change_type,object,object_attrs,object_category,command,cim_data_model
ADD_ADMIN_API_KEY,created,AAA,ADMIN_API_KEY,API_KEY,user,web,change account
REGENERATE_ADMIN_API_KEY,modified,API Key,,,,REGENERATE_ADMIN_API_KEY,change
EDIT_ADMIN_API_KEY,modified,AAA,ADMIN_API_KEY,API_KEY,user,web,change account
DELETE_ADMIN_API_KEY,deleted,AAA,ADMIN_API_KEY,API_KEY,user,web,change account
PUBLISH,modified,publish,,,,PUBLISH,change
EDIT_CLUSTER_RELATIONSHIPS,modified,edit,Cluster Relationships,,,EDIT_CLUSTER_RELATIONSHIPS,change
DOWNLOAD_USER_REPORT,read,user reports download,User Reports,,User,DOWNLOAD_USER_REPORT,change
GENERATE_USER_REPORT,read,user reports generated,User Reports,,User,GENERATE_USER_REPORT,change
DOWNLOAD_IDR_IMAGE,read,IDR router image download,Identity Router,,IDR,DOWNLOAD_IDR_IMAGE,change
ENABLE_SUPPORT_ADMIN,started,enable support access,RSA Support Access,,,ENABLE_SUPPORT_ADMIN,change
DISABLE_SUPPORT_ADMIN,stopped,disable support access,RSA Support Access,,,DISABLE_SUPPORT_ADMIN,change
ENABLE_HA_TOKENCODE,started,enable HA tokencode,High Availability Tokencode,,,ENABLE_HA_TOKENCODE,change
EDIT_AUDIT_CONFIGURATION,modified,edit configuration,Audit Log,,,EDIT_AUDIT_CONFIGURATION,change
SYNC_IDENTITY_SOURCE_MANUAL,started,synchronization,,,,SYNC_IDENTITY_SOURCE_MANUAL,change audit
UPDATE_CLUSTER,modified,identity Router Software,,,,UPDATE_CLUSTER,change
EDIT_APPLICATION,modified,,,,,EDIT_APPLICATION,change
RESET_PASSWORD,modified,password,,,user,RESET_PASSWORD,change
REQUESTED_PASSWORD_RESET,created,password,,,user,REQUESTED_PASSWORD_RESET,change
LOCKED_ADMIN_ACCOUNT,modified,locked,,,user,LOCKED_ADMIN_ACCOUNT,change
UPDATE_IDR,modified,software update,,,,UPDATE_IDR,change
TEST_IDR,modified,testing,,,,TEST_IDR,change
EDIT_CLUSTER,modified,editing,,,,EDIT_CLUSTER,change
ADD_APPLICATION,created,,,,,ADD_APPLICATION,change
DELETE_APPLICATION,deleted,,,,,DELETE_APPLICATION,change
DELETE_IDENTITY_PROVIDER,deleted,delete,,,,DELETE_IDENTITY_PROVIDER,change
EDIT_COMPANY_SETTINGS,modified,company settings,,,,EDIT_COMPANY_SETTINGS,change
DELETE_CERTIFICATE_CHAIN,deleted,certificate chain,,,,DELETE_CERTIFICATE_CHAIN,change
EDIT_IDR,modified,edit,,,,EDIT_IDR,change
ADD_IDENTITY_PROVIDER,created,added,,,,ADD_IDENTITY_PROVIDER,change
VIEW_IDR_LOG,read,read the logs,,,,VIEW_IDR_LOG,change
EDIT_IDENTITY_PROVIDER,modified,edit,,,,EDIT_IDENTITY_PROVIDER,change
EDIT_RELYING_PARTY,modified,edit,,,,EDIT_RELYING_PARTY,change
EDIT_POLICY,modified,edit,,,,EDIT_POLICY,change
EDIT_ADMIN_USER_PROFILE,modified,edit,,,,EDIT_ADMIN_USER_PROFILE,change
ADD_POLICY,created,policy,,,,ADD_POLICY,change
RESTART_IDR,restarted,restart,,,,RESTART_IDR,change
DELETE_IDR,deleted,delete,,,,DELETE_IDR,change
REBOOT_IDR,restarted,reboot,,,,REBOOT_IDR,change
ENABLE_SYNC_IDENTITY_SOURCE_SCHEDULE,modified,synchronization,,,,ENABLE_SYNC_IDENTITY_SOURCE_SCHEDULE,change
ADD_IDR,created,added,,,,ADD_IDR,change
DELETE_IDENTITY_SOURCE,deleted,delete,,,,DELETE_IDENTITY_SOURCE,change
ADD_IDENTITY_SOURCE,created,added,,,,ADD_IDENTITY_SOURCE,change
UNLOCK_ADMIN_USER,modified,unlock user,,,,UNLOCK_ADMIN_USER,change
EDIT_IDENTITY_SOURCE,modified,edit,,,,EDIT_IDENTITY_SOURCE,change
ENABLE_ADMIN_IDR_REST_API_ACCESS,modified,enable user,,,,ENABLE_ADMIN_IDR_REST_API_ACCESS,change
ADD_ADMIN_USER,created,add user,,,,ADD_ADMIN_USER,change
DELETE_RELYING_PARTY,deleted,delete,,,,DELETE_RELYING_PARTY,change
ADD_RADIUS_CLIENT,created,added,,,,ADD_RADIUS_CLIENT,change
DELETE_RADIUS_CLIENT,deleted,delete,,,,DELETE_RADIUS_CLIENT,change
ADD_RELYING_PARTY,created,added,,,,ADD_RELYING_PARTY,change
DELETE_AM_CONFIGURATION,deleted,delete,,,,DELETE_AM_CONFIGURATION,change
ADD_AM_CONFIGURATION,created,added,,,,ADD_AM_CONFIGURATION,change
DELETE_ADMIN_USER,deleted,delete user,,,,DELETE_ADMIN_USER,change
OPERATIONS_EDIT_COMPANY,modified,company settings,,,,OPERATIONS_EDIT_COMPANY,change
