action,ErrorNumber,Description
failure,26000,The provided access grant requires interaction
failure,29200,QR Code requested. Generate QR code and display on UX page for interactive sign-ins
failure,29201,Invalid QR Code request. Client Id ({clientId}) or target client Id ({targetClientId}) is invalid
failure,29202,Invalid scope and response_type request parameters. scope=qrcode can only be used with response_type=none
failure,29203,Invalid target_client_id ‘{targetClientId}’ argument value
failure,29204,Failed to write QR Code token to Store
failure,29205,Generated QR Code string has exceeded maximum supported length
failure,29206,Invalid QR Code redemption request. Client Id ({clientId}) is invalid
failure,29207,Error processing session data. QR Code is either invalid or expired
failure,29208,Error processing session data. QR Code was already redeemed
failure,29210,QR Code sign-in is disabled via user credential policy
failure,29211,QR Code sign-in is not supported for passthrough users
failure,29212,QR Code sign-in is not supported for consumer user scenarios
failure,40002,The identity provider returned an error. The status returned was ‘{status}’ and the message was ‘{message}’
failure,40003,A required token was not emitted by an external Identity Provider
failure,40004,A required token was not emitted by an external Identity Provider
failure,40005,"Invalid token received from external Identity Provider. Current time: {curTime}, expiry time of assertion {expTime}"
failure,40008,There was an unexpected error from the external identity provider
failure,40009,The identity provider returned an error
failure,40010,The identity provider has failed with a transient error
failure,40013,Social IDP MicroService Federation disabled
failure,40014,Federated Identity Provider is unavailable
failure,40015,The identity provider returned an error
failure,40016,The Identity Provider returned an error
failure,50000,There was an error issuing a token or an issue with our sign-in service
failure,50001,"The resource is disabled or the resource named could not be found. This can happen if the application has not been installed by the administrator of the tenant, or if the resource principal was not found in the directory or is invalid due to a typo"
failure,50002,This tenant isn’t supported for this authentication method yet
failure,50003,Certificate roll is in progress. Please retry the operation later
failure,50004,A transient error has occurred. Please try again
failure,50005,"User tried to log in to a device from a platform ({platform}) that’s currently not supported through Conditional Access policy. Supported device platforms are: iOS, Android, Mac, and Windows flavors"
failure,50006,Signature verification failed because of an invalid signature
failure,50007,Encryption certificate was not found in the directory
failure,50008,The SAML token is invalid
failure,50010,Audience URI validation failed since no token audiences were configured
failure,50011,The {redirectTerm} ‘{replyAddress}’ specified in the request does not match the {redirectTerm}s configured for the application ‘{identifier}’. Make sure the {redirectTerm} sent in the request matches one added to your application in the Azure portal. Navigate to {akamsLink} to learn more about how to fix this. {detail}
failure,50012,Authentication failed
failure,50013,"Assertion failed signature validation. Possibly because the token issuer doesn’t match the API version within its valid time range, it’s expired or malformed, or the refresh token in the assertion is not a primary refresh token"
failure,50014,The user’s redemption is in a pending state. The guest user account is not fully created yet
failure,50015,The user requires legal age group consent
failure,50016,Invalid Argument Redirect ErrorCode value
failure,50017,Validation of given certificate for certificate based authentication failed
failure,50019,This occurred due to an interrupt to select a certificate before the user signs in
failure,50020,User account ‘{email}’ from identity provider ‘{idp}’ does not exist in tenant ‘{tenant}’ and cannot access the application ‘{appId}’({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account
failure,50023,ClaimType ‘{claimType}’ is reserved for system use
failure,50024,Unable to decrypt client state
failure,50025,The issuer name must be specified
failure,50026,"The mail is too long, maximum length is {length}"
failure,50027,JWT token is invalid or malformed
failure,50029,The reply URI specified in the request contains invalid characters. Domain names of this form are not supported
failure,50030,Either forwardableOnBehalfOfOriginsAcceptedAudiencesList or ForwardableOnBehalfOfOriginsAcceptedPrecedingAppsList property in the first party app registration is not set. Both fields need to be filled on first party app portal for PFT OBO to be successful
failure,50032,RSA key size {actualSize} is less than the minimum required {minSize} bits
failure,50033,A transient error has occurred. Please try again
failure,50034,"The user account {identifier} does not exist in the {tenant} directory. To sign into this application, the account must be added to the directory"
failure,50035,ECC key size {actualSize} is less than the minimum required {minSize} bits
failure,50038,The API version isn’t supported
failure,50042,The salt required to generate a pairwise identifier is missing in the principal
failure,50043,Unable to generate a pairwise identifier with more than one salt in principal
