Workload,Operation,dataset_name,action,change_type,object_category
AzureActiveDirectory,Add delegation entry*,account_management,modified,AAA,user
AzureActiveDirectory,Add group*,all_changes,created,AAA,group
AzureActiveDirectory,Add member to group*,account_management,modified,AAA,user
AzureActiveDirectory,Add member to role*,account_management,modified,AAA,user
AzureActiveDirectory,Add role member to role*,account_management,modified,AAA,user
AzureActiveDirectory,Add owner to application*,account_management,modified,AAA,user
AzureActiveDirectory,Add owner to group*,account_management,modified,AAA,user
AzureActiveDirectory,Add owner to service principal*,account_management,modified,AAA,user
AzureActiveDirectory,Add service principal credentials*,account_management,modified,AAA,user
AzureActiveDirectory,Add service principal*,account_management,created,AAA,ServicePrincipal
AzureActiveDirectory,Add user*,account_management,created,AAA,user
AzureActiveDirectory,Change user password*,account_management,modified,AAA,user
AzureActiveDirectory,Delete group.,all_changes,deleted,AAA,group
AzureActiveDirectory,Delete group*,account_management,deleted,AAA,user
AzureActiveDirectory,Remove delegation entry*,account_management,modified,AAA,user
AzureActiveDirectory,Remove member from group*,account_management,modified,AAA,user
AzureActiveDirectory,Reset user password*,account_management,modified,AAA,user
AzureActiveDirectory,Set Company Information*,account_management,modified,AAA,user
AzureActiveDirectory,Set delegation entry*,account_management,modified,AAA,user
AzureActiveDirectory,Update user*,account_management,modified,AAA,user
AzureActiveDirectory,Change user license*,account_management,modified,AAA,user
AzureActiveDirectory,Delete user*,account_management,deleted,AAA,user
AzureActiveDirectory,Set force change user password*,account_management,modified,AAA,user
AzureActiveDirectory,Set license properties*,account_management,modified,AAA,user
AzureActiveDirectory,Update group*,all_changes,modified,AAA,group
AzureActiveDirectory,Remove service principal credentials*,account_management,modified,AAA,user
AzureActiveDirectory,Remove service principal.,account_management,deleted,AAA,ServicePrincipal
AzureActiveDirectory,Remove service principal*,account_management,deleted,AAA,user
AzureActiveDirectory,Remove role member from role*,account_management,modified,AAA,user
AzureActiveDirectory,Set company contact information*,account_management,modified,AAA,user
AzureActiveDirectory,Add domain to company*,account_management,modified,AAA,user
AzureActiveDirectory,Add partner to company*,account_management,modified,AAA,user
AzureActiveDirectory,Remove domain from company*,account_management,modified,AAA,user
AzureActiveDirectory,Remove partner from company*,account_management,modified,AAA,user
AzureActiveDirectory,Set domain authentication*,account_management,modified,AAA,user
AzureActiveDirectory,Set federation settings on domain*,account_management,modified,AAA,user
AzureActiveDirectory,Set password policy*,account_management,modified,AAA,user
AzureActiveDirectory,Set DirSyncEnabled flag on company*,account_management,modified,AAA,user
AzureActiveDirectory,Update domain*,account_management,modified,AAA,user
AzureActiveDirectory,Verify email verified domain*,account_management,read,AAA,user
AzureActiveDirectory,Add device*,account_management,created,endpoint,device
AzureActiveDirectory,Update device*,account_management,modified,endpoint,device
AzureActiveDirectory,Add application*,all_changes,created,cloud,application
AzureActiveDirectory,Update application – Certificates and secrets management*,all_changes,modified,AAA,application
AzureActiveDirectory,Update application*,all_changes,modified,cloud,application
SharePoint,AccessInvitationCreated,endpoint_changes,created,user,user
SharePoint,FileRenamed,endpoint_changes,modified,filesystem,file
SharePoint,FileSyncDownloadedFull,endpoint_changes,unknown,filesystem,file
SharePoint,FileSyncDownloadedPartial,endpoint_changes,unknown,filesystem,file
SharePoint,FileSyncUploadedFull,endpoint_changes,unknown,filesystem,file
SharePoint,FileViewed,endpoint_changes,read,filesystem,file
SharePoint,GroupAdded,all_changes,created,group,site
SharePoint,SharedLinkCreated,endpoint_changes,created,user,user
SharePoint,SharedLinkDisabled,endpoint_changes,modified,user,user
SharePoint,UserAddedToGroup,endpoint_changes,created,user,group
SharePoint,AddedToGroup,all_changes,modified,user,SecurityGroup
SharePoint,VideoRequested,endpoint_changes,unknown,user,object
SharePoint,FileRestored,endpoint_changes,modified,filesystem,file
SharePoint,SharingRevoked,endpoint_changes,modified,user,user
SharePoint,AccessInvitationAccepted,endpoint_changes,modified,user,user
SharePoint,AccessRequestApproved,endpoint_changes,modified,AAA,site
SharePoint,AccessRequestAccepted,endpoint_changes,modified,user,user
SharePoint,AccessRequestCreated,endpoint_changes,created,user,site
SharePoint,AccessRequestRejected,endpoint_changes,deleted,AAA,site
SharePoint,AccessRequestDenied,endpoint_changes,unknown,user,user
