Workload,Operation,dataset_name,action,object_category
SharePoint,FileAccessed,data_access,read,file
SharePoint,ListViewed,data_access,read,list
SharePoint,FileAccessedExtended,data_access,read,file
SharePoint,PageViewedExtended,data_access,read,page
SharePoint,FilePreviewed,data_access,read,file
SharePoint,PagePrefetched,data_access,read,site
SharePoint,PageViewed,data_access,read,page
SharePoint,SharingInheritanceBroken,data_access,stopped,sharing
SharePoint,FileCheckOutDiscarded,data_access,read,file
SharePoint,FileCheckedOut,data_access,read,file
SharePoint,FileCopied,data_access,copied,file
SharePoint,FileCheckedIn,data_access,read,file
SharePoint,FileDownloaded,data_access,downloaded,file
SharePoint,ClientViewSignaled,data_access,read,site
SharePoint,ListColumnDeleted,data_access,deleted,list
MicrosoftForms,ViewRuntimeForm,data_access,read,form
MicrosoftForms,EditForm,data_access,modified,form
MicrosoftForms,ListForms,data_access,read,form
MicrosoftForms,ViewForm,data_access,read,form
MicrosoftForms,CreateForm,data_access,created,form
MicrosoftForms,DeleteSummaryLink,data_access,deleted,form
MicrosoftForms,GetSummaryLink,data_access,read,form
MicrosoftForms,EnableSpecificResponse,data_access,modified,form
MicrosoftForms,UpdateFormSetting,data_access,modified,form
MicrosoftForms,DisallowAnonymousResponse,data_access,modified,form
MicrosoftForms,DisableSpecificResponse,data_access,modified,form
MicrosoftForms,DeleteResponse,data_access,deleted,form
MicrosoftForms,UpdateResponse,data_access,modified,form
MicrosoftForms,ViewResponses,data_access,read,form
MicrosoftForms,CreateResponse,data_access,created,form
MicrosoftForms,AllowAnonymousResponse,data_access,modified,form
MicrosoftForms,AllowShareFormForCopy,data_access,modified,form
MicrosoftForms,EnableWorkOrSchoolCollaboration,data_access,modified,form
MicrosoftForms,DeleteAllResponses,data_access,deleted,form
Exchange,Create,data_access,created,mail
Exchange,Move,data_access,moved,contact
Exchange,MoveToDeletedItems,data_access,deleted,meeting
Exchange,Update,data_access,modified,meeting
Exchange,SoftDelete,data_access,deleted,mail
Yammer,MessageDeleted,data_access,deleted,message
Yammer,GroupCreation,data_access,created,group
OneDrive,ListViewed,data_access,read,list
OneDrive,FileAccessed,data_access,read,file
OneDrive,SharingInheritanceBroken,data_access,stopped,file
OneDrive,SharingSet,data_access,shared,file
OneDrive,FileModified,data_access,modified,file
OneDrive,FileUploaded,data_access,uploaded,file
OneDrive,FolderCreated,data_access,created,directory
OneDrive,FileAccessedExtended,data_access,read,file
OneDrive,PageViewed,data_access,read,page
OneDrive,PageViewedExtended,data_access,read,page
OneDrive,FileDeleted,data_access,deleted,file
OneDrive,FolderRecycled,data_access,modified,directory
OneDrive,FileRecycled,data_access,modified,file
OneDrive,FilePreviewed,data_access,read,file
OneDrive,SearchQueryPerformed,data_access,read,site
OneDrive,ListItemCreated,data_access,created,list
OneDrive,ListColumnCreated,data_access,created,list
OneDrive,ListCreated,data_access,created,list
OneDrive,CompanyLinkCreated,data_access,created,directory
OneDrive,FolderModified,data_access,modified,directory
OneDrive,SiteLocksChanged,data_access,modified,site
OneDrive,FileDownloaded,data_access,downloaded,file
OneDrive,FileModifiedExtended,data_access,modified,file
OneDrive,AnonymousLinkCreated,data_access,created,file
SharePoint,SiteDesignInvoked,data_access,modified,site
SharePoint,SiteLocksChanged,data_access,modified,site
SharePoint,AnonymousLinkCreated,data_access,created,file
SharePoint,AnonymousLinkUpdated,data_access,modified,link
SharePoint,FolderRecycled,data_access,modified,directory
SharePoint,FolderCopied,data_access,modified,directory
SharePoint,FolderRenamed,data_access,modified,directory
SharePoint,FileRecycled,data_access,modified,file
SharePoint,SearchQueryPerformed,data_access,read,site
SharePoint,FileDeletedFirstStageRecycleBin,data_access,deleted,file
SharePoint,FolderDeletedFirstStageRecycleBin,data_access,deleted,directory
SharePoint,FolderMoved,data_access,modified,directory
SharePoint,FolderRestored,data_access,modified,directory
SharePoint,ListItemRestored,data_access,modified,list item
SharePoint,ListItemRecycled,data_access,modified,list item
SharePoint,ListRestored,data_access,modified,list
SharePoint,ListDeleted,data_access,deleted,list
SharePoint,FileTranscriptRequested,data_access,requested,file
SharePoint,ListItemCreated,data_access,created,list
SharePoint,FileModified,data_access,modified,file
SharePoint,FileUploaded,data_access,uploaded,file
SharePoint,FolderCreated,data_access,created,folder
SharePoint,FolderDeleted,data_access,deleted,folder
SharePoint,FileDeleted,data_access,deleted,file
SharePoint,ListColumnUpdated,data_access,modified,list
SharePoint,ListColumnCreated,data_access,created,list
SharePoint,ListCreated,data_access,created,list
SharePoint,ListUpdated,data_access,modified,list
SharePoint,SharingSet,data_access,shared,file
SharePoint,CompanyLinkCreated,data_access,created,file
SharePoint,FolderModified,data_access,modified,folder
SharePoint,FileModifiedExtended,data_access,modified,file
SharePoint,FileMoved,data_access,modified,file
SharePoint,CommentCreated,data_access,created,site
SharePoint,CommentsDisabled,data_access,modified,site
